category,run,BCM2_I,Nnet,Nnet_err,norm_factor,yield,yield_err,BCM2_Q_mC,comp_livetime,h_esing_Eff,boil_corr,ps_choice,ps_factor,PeakCenterNs,CoinLoNs,CoinHiNs,RandomWindowListNs,rootfile,status,fit_included,fit_excluded_reason
signal,25423,59.184,1079.14,13.4574,0.00942599,10.1719,0.126849,108.43,1,0.9992,1.02124,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_25423_-1.root",OK,1,""
signal,25424,55.254,1014.9,13.0291,0.0100628,10.2128,0.131109,101.62,1,0.9989,1.02146,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_25424_-1.root",OK,1,""
signal,25425,59.153,1025.51,13.1246,0.00973208,9.98037,0.12773,105.11,1,0.9991,1.02202,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_25425_-1.root",OK,1,""
signal,25426,56.127,973.463,12.7776,0.0102796,10.0068,0.131348,99.628,1,0.9993,1.02342,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_25426_-1.root",OK,1,""
signal,25427,57.841,981.187,12.83,0.00995843,9.77109,0.127767,102.81,1,0.9989,1.0227,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_25427_-1.root",OK,1,""
signal,25428,60.204,1160.25,13.974,0.00849426,9.85547,0.118699,120.35,1,0.999,1.02126,"ps5",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_25428_-1.root",OK,1,""
signal,25429,29.716,532.875,9.21387,0.0189909,10.1198,0.174979,53.594,1,0.9992,1.01698,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_25429_-1.root",OK,1,""
signal,25430,28.973,491.662,8.83513,0.0201775,9.9205,0.17827,50.475,1,0.9989,1.01734,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_25430_-1.root",OK,1,""
#FIT,fit_const,fit_const_err,chi2,ndf,chi2_ndf,prob,n_fit_points
#FIT,9.99858,0.0478946,9.85593,7,1.40799,0.196886,8
