category,run,P1X_rate_kHz,P1Y_rate_kHz,P2X_rate_kHz,P2Y_rate_kHz,DPR_ns,P1X_dead_prob,P1Y_dead_prob,P2X_dead_prob,P2Y_dead_prob,P1X_live_prob,P1Y_live_prob,P2X_live_prob,P2Y_live_prob,hodo3of4_LT,reportfile,status
signal,25083,1087.619,1046.058,930.888,834.042,50,0.05438095,0.0523029,0.0465444,0.0417021,0.94561905,0.9476971,0.9534556,0.9582979,0.986699823069,"./Pass0p1_REPORTfiles/COIN/PRODUCTION/replay_coin_production_25083_-1.report",OK
signal,25084,1104.361,1062.246,945.15,846.831,50,0.05521805,0.0531123,0.0472575,0.04234155,0.94478195,0.9468877,0.9527425,0.95765845,0.986301458243,"./Pass0p1_REPORTfiles/COIN/PRODUCTION/replay_coin_production_25084_-1.report",OK
signal,25085,1119.517,1064.001,947.243,848.593,50,0.05597585,0.05320005,0.04736215,0.04242965,0.94402415,0.94679995,0.95263785,0.95757035,0.986165045207,"./Pass0p1_REPORTfiles/COIN/PRODUCTION/replay_coin_production_25085_-1.report",OK
signal,25086,1111.94,1068.083,949.927,848.311,50,0.055597,0.05340415,0.04749635,0.04241555,0.944403,0.94659585,0.95250365,0.95758445,0.986170961241,"./Pass0p1_REPORTfiles/COIN/PRODUCTION/replay_coin_production_25086_-1.report",OK
signal,25087,566.542,544.226,483.837,429.563,50,0.0283271,0.0272113,0.02419185,0.02147815,0.9716729,0.9727887,0.97580815,0.97852185,0.996300067857,"./Pass0p1_REPORTfiles/COIN/PRODUCTION/replay_coin_production_25087_-1.report",OK
signal,25088,576.324,551.158,489.994,435.129,50,0.0288162,0.0275579,0.0244997,0.02175645,0.9711838,0.9724421,0.9755003,0.97824355,0.996197503954,"./Pass0p1_REPORTfiles/COIN/PRODUCTION/replay_coin_production_25088_-1.report",OK
signal,25091,1118.507,1074.927,956.293,855.545,50,0.05592535,0.05374635,0.04781465,0.04277725,0.94407465,0.94625365,0.95218535,0.95722275,0.985988265449,"./Pass0p1_REPORTfiles/COIN/PRODUCTION/replay_coin_production_25091_-1.report",OK
signal,25114,1444.522,1389.526,1237.525,1113.704,50,0.0722261,0.0694763,0.06187625,0.0556852,0.9277739,0.9305237,0.93812375,0.9443148,0.976982141241,"./Pass0p1_REPORTfiles/COIN/PRODUCTION/replay_coin_production_25114_-1.report",OK
signal,25115,1466.596,1410.083,1256.678,1130.887,50,0.0733298,0.07050415,0.0628339,0.05654435,0.9266702,0.92949585,0.9371661,0.94345565,0.976307731563,"./Pass0p1_REPORTfiles/COIN/PRODUCTION/replay_coin_production_25115_-1.report",OK
signal,25116,1421.491,1366.473,1217.795,1096.15,50,0.07107455,0.06832365,0.06088975,0.0548075,0.92892545,0.93167635,0.93911025,0.9451925,0.977684178708,"./Pass0p1_REPORTfiles/COIN/PRODUCTION/replay_coin_production_25116_-1.report",OK
signal,25117,745.203,717.131,637.697,569.355,50,0.03726015,0.03585655,0.03188485,0.02846775,0.96273985,0.96414345,0.96811515,0.97153225,0.993633867804,"./Pass0p1_REPORTfiles/COIN/PRODUCTION/replay_coin_production_25117_-1.report",OK
signal,25119,754.432,725.967,645.311,575.807,50,0.0377216,0.03629835,0.03226555,0.02879035,0.9622784,0.96370165,0.96773445,0.97120965,0.993483380258,"./Pass0p1_REPORTfiles/COIN/PRODUCTION/replay_coin_production_25119_-1.report",OK
dummy,25092,959.016,918.509,827.672,729.804,50,0.0479508,0.04592545,0.0413836,0.0364902,0.9520492,0.95407455,0.9586164,0.9635098,0.989593771073,"./Pass0p1_REPORTfiles/COIN/PRODUCTION/replay_coin_production_25092_-1.report",OK
dummy,25093,989.973,946.965,853.821,752.576,50,0.04949865,0.04734825,0.04269105,0.0376288,0.95050135,0.95265175,0.95730895,0.9623712,0.988947528751,"./Pass0p1_REPORTfiles/COIN/PRODUCTION/replay_coin_production_25093_-1.report",OK
dummy,25120,1006.266,964.34,869.331,767.067,50,0.0503133,0.048217,0.04346655,0.03835335,0.9496867,0.951783,0.95653345,0.96164665,0.98855858401,"./Pass0p1_REPORTfiles/COIN/PRODUCTION/replay_coin_production_25120_-1.report",OK
dummy,25121,1006.623,964.936,869.851,767.71,50,0.05033115,0.0482468,0.04349255,0.0383855,0.94966885,0.9517532,0.95650745,0.9616145,0.98854546756,"./Pass0p1_REPORTfiles/COIN/PRODUCTION/replay_coin_production_25121_-1.report",OK
