category,run,P1X_rate_kHz,P1Y_rate_kHz,P2X_rate_kHz,P2Y_rate_kHz,DPR_ns,P1X_dead_prob,P1Y_dead_prob,P2X_dead_prob,P2Y_dead_prob,P1X_live_prob,P1Y_live_prob,P2X_live_prob,P2Y_live_prob,hodo3of4_LT,reportfile,status
signal,25146,694.675,661.771,534.072,432.649,50,0.03473375,0.03308855,0.0267036,0.02163245,0.96526625,0.96691145,0.9732964,0.97836755,0.995182253754,"./Pass0p1_REPORTfiles/COIN/PRODUCTION/replay_coin_production_25146_-1.report",OK
signal,25147,639.754,609.559,491.941,398.01,50,0.0319877,0.03047795,0.02459705,0.0199005,0.9680123,0.96952205,0.97540295,0.9800995,0.995902502982,"./Pass0p1_REPORTfiles/COIN/PRODUCTION/replay_coin_production_25147_-1.report",OK
signal,25148,677.977,645.954,521.286,421.89,50,0.03389885,0.0322977,0.0260643,0.0210945,0.96610115,0.9677023,0.9739357,0.9789055,0.995407831559,"./Pass0p1_REPORTfiles/COIN/PRODUCTION/replay_coin_production_25148_-1.report",OK
signal,25149,724.928,690.32,557.435,451.052,50,0.0362464,0.034516,0.02787175,0.0225526,0.9637536,0.965484,0.97212825,0.9774474,0.994764961175,"./Pass0p1_REPORTfiles/COIN/PRODUCTION/replay_coin_production_25149_-1.report",OK
signal,25150,756.182,719.63,580.958,470.275,50,0.0378091,0.0359815,0.0290479,0.02351375,0.9621909,0.9640185,0.9709521,0.97648625,0.994319017852,"./Pass0p1_REPORTfiles/COIN/PRODUCTION/replay_coin_production_25150_-1.report",OK
signal,25151,431.961,412.112,332.213,265.909,50,0.02159805,0.0206056,0.01661065,0.01329545,0.97840195,0.9793944,0.98338935,0.98670455,0.998116931609,"./Pass0p1_REPORTfiles/COIN/PRODUCTION/replay_coin_production_25151_-1.report",OK
signal,25167,740.282,704.736,569.134,459.375,50,0.0370141,0.0352368,0.0284567,0.02296875,0.9629859,0.9647632,0.9715433,0.97703125,0.994552626913,"./Pass0p1_REPORTfiles/COIN/PRODUCTION/replay_coin_production_25167_-1.report",OK
signal,25168,745.646,710.1,573.339,462.955,50,0.0372823,0.035505,0.02866695,0.02314775,0.9627177,0.964495,0.97133305,0.97685225,0.994472404087,"./Pass0p1_REPORTfiles/COIN/PRODUCTION/replay_coin_production_25168_-1.report",OK
signal,25169,720.966,686.77,554.289,447.71,50,0.0360483,0.0343385,0.02771445,0.0223855,0.9639517,0.9656615,0.97228555,0.9776145,0.994824442684,"./Pass0p1_REPORTfiles/COIN/PRODUCTION/replay_coin_production_25169_-1.report",OK
signal,25170,432.865,413.164,333.065,266.525,50,0.02164325,0.0206582,0.01665325,0.01332625,0.97835675,0.9793418,0.98334675,0.98667375,0.998108073878,"./Pass0p1_REPORTfiles/COIN/PRODUCTION/replay_coin_production_25170_-1.report",OK
dummy,25154,514.539,488.352,402.245,316.528,50,0.02572695,0.0244176,0.02011225,0.0158264,0.97427305,0.9755824,0.97988775,0.9841736,0.997327852914,"./Pass0p1_REPORTfiles/COIN/PRODUCTION/replay_coin_production_25154_-1.report",OK
dummy,25171,518.158,491.965,405.025,318.957,50,0.0259079,0.02459825,0.02025125,0.01594785,0.9740921,0.97540175,0.97974875,0.98405215,0.997289614366,"./Pass0p1_REPORTfiles/COIN/PRODUCTION/replay_coin_production_25171_-1.report",OK
