category,run,BCM2_I,Nnet,Nnet_err,norm_factor,yield,yield_err,yield_no_CB_corr,yield_no_CB_corr_err,yield_CB_corr,yield_CB_corr_err,yield_no_hodo3of4_corr,yield_no_hodo3of4_corr_err,yield_hodo3of4_corr,yield_hodo3of4_corr_err,BCM2_Q_mC,comp_livetime,h_esing_Eff,coincidence_blocking_ratio,hodo3of4_LT,DPR_ns,P1X_rate_kHz,P1Y_rate_kHz,P2X_rate_kHz,P2Y_rate_kHz,boil_corr,ps_choice,ps_factor,PeakCenterNs,CoinLoNs,CoinHiNs,RandomWindowListNs,rootfile,status,fit_included,fit_excluded_reason
signal,25049,35.752,1399.05,17.9206,0.0168184,23.5297,0.301395,21.8248,0.279557,22.9058,0.293403,22.9058,0.293403,23.5297,0.301395,65.812,1,0.9992,0.952807,0.973483,50,1589.81,1525.85,1303.31,1169.36,1.02583,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_25049_-1.root",OK,1,""
signal,25050,37.143,1540.8,18.885,0.0154582,23.818,0.291927,21.9804,0.269405,23.1404,0.283623,23.1404,0.283623,23.818,0.291927,72.063,1,0.999,0.949873,0.971553,50,1649.45,1582.55,1352.67,1213.89,1.02699,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_25050_-1.root",OK,1,""
signal,25051,36.296,868.537,14.1469,0.029419,25.5515,0.416189,21.7601,0.354434,24.8537,0.404823,24.8537,0.404823,25.5515,0.416189,41.009,1,0.9991,0.875527,0.97269,50,1619.52,1546.85,1322.45,1186.82,1.0265,"ps5",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_25051_-1.root",OK,1,""
signal,25052,23.909,961.312,13.9943,0.0249348,23.9702,0.348947,22.6728,0.330059,23.6618,0.344457,23.6618,0.344457,23.9702,0.348947,43.183,1,0.999,0.958201,0.987135,50,1093.15,1050.56,895.279,796.021,1.01746,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_25052_-1.root",OK,1,""
signal,25053,12.086,502.65,9.43153,0.0481161,24.1856,0.453809,23.325,0.437662,24.0998,0.452199,24.0998,0.452199,24.1856,0.453809,21.749,1,0.9996,0.967852,0.996453,50,565.748,545.104,463.672,408.378,1.00884,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_25053_-1.root",OK,1,""
signal,25069,35.982,1425.38,18.1312,0.0165527,23.5938,0.30012,21.8599,0.278064,22.9616,0.292078,22.9616,0.292078,23.5938,0.30012,66.961,1,0.9992,0.952018,0.973206,50,1597.49,1534.8,1310.82,1175.75,1.02611,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_25069_-1.root",OK,1,""
signal,25070,35.245,1356.6,17.6379,0.0176431,23.9347,0.311188,22.1432,0.287896,23.3181,0.303172,23.3181,0.303172,23.9347,0.311188,62.893,1,0.9991,0.949614,0.97424,50,1564.81,1502.86,1284.29,1151.99,1.02565,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_25070_-1.root",OK,1,""
signal,25071,36.807,1536.71,18.8816,0.015266,23.4594,0.288245,21.6818,0.266404,22.8041,0.280193,22.8041,0.280193,23.4594,0.288245,72.841,1,0.9991,0.950785,0.972065,50,1632.59,1567.84,1340.11,1202.78,1.0268,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_25071_-1.root",OK,1,""
signal,25072,24.363,919.838,13.7022,0.026256,24.1513,0.359765,22.8228,0.339976,23.83,0.35498,23.83,0.35498,24.1513,0.359765,41.058,1,0.9991,0.957733,0.986699,50,1110.91,1069.14,911.262,810.264,1.01781,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_25072_-1.root",OK,1,""
signal,25073,12.103,565.088,9.94358,0.0456447,25.7933,0.453872,24.8508,0.437289,25.7018,0.452262,25.7018,0.452262,25.7933,0.453872,22.956,1,0.9993,0.966892,0.996453,50,565.484,545.165,463.683,408.433,1.00883,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_25073_-1.root",OK,1,""
#FIT,fit_const,fit_const_err,chi2,ndf,chi2_ndf,prob,n_fit_points
#FIT,24.0055,0.106826,38.0733,9,4.23036,1.69115e-05,10
