category,run,BCM2_I,BCM2_Q_mC,hms_elclean_counts,hms_elclean_counts_per_mC,yield,yield_err,rootfile,status
signal,25126,27.577,4.978,695088,139631.9807,8.18079,0.519519,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_25126_-1.root",OK
signal,25127,41.711,67.147,9351064,139262.5732,9.02861,0.148405,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_25127_-1.root",OK
signal,25128,41.493,64.522,8968728,139002.6348,8.97645,0.151099,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_25128_-1.root",OK
signal,25129,42.251,69.984,9725542,138968.0784,9.18546,0.146738,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_25129_-1.root",OK
signal,25130,21.578,2.69,378971,140881.4126,9.51418,0.743423,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_25130_-1.root",OK
signal,25131,24.214,43.756,6158935,140756.3534,9.20189,0.182165,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_25131_-1.root",OK
# FIT_MODEL,pol0
# FIT_c,139750.505518
# FIT_cerr,351.866918956
# FIT_chi2,3714309.85967
# FIT_ndf,5
# FIT_chi2ndf,742861.971934
# FIT_prob,0
