category,run,BCM2_I,Nnet,Nnet_err,norm_factor,yield,yield_err,BCM2_Q_mC,comp_livetime,h_esing_Eff,boil_corr,ps_choice,ps_factor,PeakCenterNs,CoinLoNs,CoinHiNs,RandomWindowListNs,rootfile,status,fit_included,fit_excluded_reason
signal,24213,33.912,616.125,11.6135,0.0175145,10.7911,0.203404,57.853,1,0.9986,1.01185,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24213_-1.root",OK,1,""
signal,24214,34.227,484.538,10.293,0.0216857,10.5075,0.223211,46.716,1,0.9989,1.01195,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24214_-1.root",OK,1,""
signal,24215,36.025,624.938,11.7379,0.0166908,10.4307,0.195915,60.746,1,0.9987,1.01258,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24215_-1.root",OK,1,""
signal,24216,36.64,640.537,12.028,0.0154278,9.88209,0.185566,65.733,1,0.9987,1.0128,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24216_-1.root",OK,1,""
signal,24217,34.639,613.725,11.6681,0.0168462,10.3389,0.196563,60.163,1,0.9986,1.0121,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24217_-1.root",OK,1,""
signal,24218,33.942,611.775,11.6664,0.0174397,10.6692,0.203459,58.09,1,0.9988,1.01186,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24218_-1.root",OK,1,""
signal,24219,24.482,497.512,9.87419,0.0232913,11.5877,0.229983,43.358,1,0.9987,1.00855,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24219_-1.root",OK,1,""
signal,24220,12.054,242.55,6.47046,0.0495207,12.0112,0.320422,20.305,1,0.9987,1.00421,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24220_-1.root",OK,1,""
signal,24250,32.898,617.55,11.5627,0.0179265,11.0705,0.207278,56.509,1,0.9985,1.01149,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24250_-1.root",OK,1,""
signal,24251,33.405,636.6,11.7862,0.0170198,10.8348,0.200599,59.518,1,0.9987,1.01167,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24251_-1.root",OK,1,""
signal,24252,34.148,612.637,11.5779,0.0167313,10.2502,0.193713,60.566,1,0.9986,1.01193,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24252_-1.root",OK,1,""
signal,24253,35.224,653.025,12.0319,0.0161999,10.5789,0.194916,62.576,1,0.9986,1.0123,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24253_-1.root",OK,1,""
signal,24254,34.877,679.275,12.0844,0.0164479,11.1727,0.198764,61.631,1,0.9985,1.01218,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24254_-1.root",OK,1,""
signal,24255,33.503,619.537,11.5959,0.016909,10.4758,0.196075,59.892,1,0.999,1.0117,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24255_-1.root",OK,1,""
signal,24266,24.016,443.475,9.38355,0.0248048,11.0003,0.232757,40.71,1,0.9986,1.00839,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24266_-1.root",OK,1,""
signal,24267,12.178,252.262,6.63369,0.0475468,11.9943,0.31541,21.151,1,0.9986,1.00425,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24267_-1.root",OK,1,""
#FIT,fit_const,fit_const_err,chi2,ndf,chi2_ndf,prob,n_fit_points
#FIT,10.7237,0.0527817,91.9909,15,6.13272,4.21122e-13,16
