category,run,ctime_raw_withstart,ctime_good_withstart,coinc_blocking_ratio,rootfile,status
signal,24779,nan,nan,nan,"./Pass0_ROOTfiles/coin_replay_production_24779_-1.root",NOFILE
signal,24780,nan,nan,nan,"./Pass0_ROOTfiles/coin_replay_production_24780_-1.root",NOFILE
signal,24781,nan,nan,nan,"./Pass0_ROOTfiles/coin_replay_production_24781_-1.root",NOFILE
signal,24782,nan,nan,nan,"./Pass0_ROOTfiles/coin_replay_production_24782_-1.root",NOFILE
signal,24783,nan,nan,nan,"./Pass0_ROOTfiles/coin_replay_production_24783_-1.root",NOFILE
signal,24784,nan,nan,nan,"./Pass0_ROOTfiles/coin_replay_production_24784_-1.root",NOFILE
signal,24785,nan,nan,nan,"./Pass0_ROOTfiles/coin_replay_production_24785_-1.root",NOFILE
signal,24786,nan,nan,nan,"./Pass0_ROOTfiles/coin_replay_production_24786_-1.root",NOFILE
signal,24787,nan,nan,nan,"./Pass0_ROOTfiles/coin_replay_production_24787_-1.root",NOFILE
signal,24788,nan,nan,nan,"./Pass0_ROOTfiles/coin_replay_production_24788_-1.root",NOFILE
signal,24789,nan,nan,nan,"./Pass0_ROOTfiles/coin_replay_production_24789_-1.root",NOFILE
signal,24790,nan,nan,nan,"./Pass0_ROOTfiles/coin_replay_production_24790_-1.root",NOFILE
signal,24791,nan,nan,nan,"./Pass0_ROOTfiles/coin_replay_production_24791_-1.root",NOFILE
signal,24803,nan,nan,nan,"./Pass0_ROOTfiles/coin_replay_production_24803_-1.root",NOFILE
signal,24804,nan,nan,nan,"./Pass0_ROOTfiles/coin_replay_production_24804_-1.root",NOFILE
signal,24805,nan,nan,nan,"./Pass0_ROOTfiles/coin_replay_production_24805_-1.root",NOFILE
signal,24806,nan,nan,nan,"./Pass0_ROOTfiles/coin_replay_production_24806_-1.root",NOFILE
signal,24807,nan,nan,nan,"./Pass0_ROOTfiles/coin_replay_production_24807_-1.root",NOFILE
signal,24808,nan,nan,nan,"./Pass0_ROOTfiles/coin_replay_production_24808_-1.root",NOFILE
signal,24809,nan,nan,nan,"./Pass0_ROOTfiles/coin_replay_production_24809_-1.root",NOFILE
signal,24810,nan,nan,nan,"./Pass0_ROOTfiles/coin_replay_production_24810_-1.root",NOFILE
signal,24811,nan,nan,nan,"./Pass0_ROOTfiles/coin_replay_production_24811_-1.root",NOFILE
signal,24812,nan,nan,nan,"./Pass0_ROOTfiles/coin_replay_production_24812_-1.root",NOFILE
signal,24813,nan,nan,nan,"./Pass0_ROOTfiles/coin_replay_production_24813_-1.root",NOFILE
positron,24821,nan,nan,nan,"./Pass0_ROOTfiles/coin_replay_production_24821_-1.root",NOFILE
positron,24822,nan,nan,nan,"./Pass0_ROOTfiles/coin_replay_production_24822_-1.root",NOFILE
positron,24823,nan,nan,nan,"./Pass0_ROOTfiles/coin_replay_production_24823_-1.root",NOFILE
dummy,24794,nan,nan,nan,"./Pass0_ROOTfiles/coin_replay_production_24794_-1.root",NOFILE
dummy,24795,nan,nan,nan,"./Pass0_ROOTfiles/coin_replay_production_24795_-1.root",NOFILE
dummy,24796,nan,nan,nan,"./Pass0_ROOTfiles/coin_replay_production_24796_-1.root",NOFILE
dummy,24797,nan,nan,nan,"./Pass0_ROOTfiles/coin_replay_production_24797_-1.root",NOFILE
dummy,24798,nan,nan,nan,"./Pass0_ROOTfiles/coin_replay_production_24798_-1.root",NOFILE
dummy,24814,nan,nan,nan,"./Pass0_ROOTfiles/coin_replay_production_24814_-1.root",NOFILE
dummy,24815,nan,nan,nan,"./Pass0_ROOTfiles/coin_replay_production_24815_-1.root",NOFILE
dummy,24816,nan,nan,nan,"./Pass0_ROOTfiles/coin_replay_production_24816_-1.root",NOFILE
dummy,24817,nan,nan,nan,"./Pass0_ROOTfiles/coin_replay_production_24817_-1.root",NOFILE
