category,run,ctime_raw_withstart,ctime_good_withstart,coinc_blocking_ratio,rootfile,status
signal,24222,nan,nan,nan,"./Pass0_ROOTfiles/coin_replay_production_24222_-1.root",NOFILE
signal,24223,nan,nan,nan,"./Pass0_ROOTfiles/coin_replay_production_24223_-1.root",NOFILE
signal,24224,nan,nan,nan,"./Pass0_ROOTfiles/coin_replay_production_24224_-1.root",NOFILE
signal,24225,nan,nan,nan,"./Pass0_ROOTfiles/coin_replay_production_24225_-1.root",NOFILE
signal,24226,nan,nan,nan,"./Pass0_ROOTfiles/coin_replay_production_24226_-1.root",NOFILE
signal,24227,nan,nan,nan,"./Pass0_ROOTfiles/coin_replay_production_24227_-1.root",NOFILE
signal,24228,nan,nan,nan,"./Pass0_ROOTfiles/coin_replay_production_24228_-1.root",NOFILE
signal,24229,nan,nan,nan,"./Pass0_ROOTfiles/coin_replay_production_24229_-1.root",NOFILE
signal,24230,nan,nan,nan,"./Pass0_ROOTfiles/coin_replay_production_24230_-1.root",NOFILE
signal,24257,nan,nan,nan,"./Pass0_ROOTfiles/coin_replay_production_24257_-1.root",NOFILE
signal,24258,nan,nan,nan,"./Pass0_ROOTfiles/coin_replay_production_24258_-1.root",NOFILE
signal,24259,nan,nan,nan,"./Pass0_ROOTfiles/coin_replay_production_24259_-1.root",NOFILE
signal,24260,nan,nan,nan,"./Pass0_ROOTfiles/coin_replay_production_24260_-1.root",NOFILE
signal,24261,nan,nan,nan,"./Pass0_ROOTfiles/coin_replay_production_24261_-1.root",NOFILE
signal,24262,nan,nan,nan,"./Pass0_ROOTfiles/coin_replay_production_24262_-1.root",NOFILE
signal,24263,nan,nan,nan,"./Pass0_ROOTfiles/coin_replay_production_24263_-1.root",NOFILE
signal,24264,nan,nan,nan,"./Pass0_ROOTfiles/coin_replay_production_24264_-1.root",NOFILE
positron,24554,nan,nan,nan,"./Pass0_ROOTfiles/coin_replay_production_24554_-1.root",NOFILE
dummy,24232,nan,nan,nan,"./Pass0_ROOTfiles/coin_replay_production_24232_-1.root",NOFILE
dummy,24233,nan,nan,nan,"./Pass0_ROOTfiles/coin_replay_production_24233_-1.root",NOFILE
dummy,24234,nan,nan,nan,"./Pass0_ROOTfiles/coin_replay_production_24234_-1.root",NOFILE
dummy,24268,nan,nan,nan,"./Pass0_ROOTfiles/coin_replay_production_24268_-1.root",NOFILE
dummy,24269,nan,nan,nan,"./Pass0_ROOTfiles/coin_replay_production_24269_-1.root",NOFILE
positron_dummy,24555,nan,nan,nan,"./Pass0_ROOTfiles/coin_replay_production_24555_-1.root",NOFILE
