category,run,BCM2_I,Nnet,Nnet_err,norm_factor,yield,yield_err,BCM2_Q_mC,comp_livetime,h_esing_Eff,boil_corr,ps_choice,ps_factor,PeakCenterNs,CoinLoNs,CoinHiNs,RandomWindowListNs,rootfile,status,fit_included,fit_excluded_reason
signal,24222,47.482,504.15,9.975,0.012371,6.23683,0.123401,83.849,1,0.9988,1.03605,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24222_-1.root",OK,1,""
signal,24223,50.928,263.738,7.21395,0.0251696,6.63817,0.181572,41.27,1,0.9987,1.0374,"ps5",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24223_-1.root",OK,1,""
signal,24224,49.107,516.45,10.0796,0.0124081,6.40816,0.125069,83.475,1,0.9988,1.03452,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24224_-1.root",OK,1,""
signal,24225,50.88,196.838,6.18364,0.0339319,6.67907,0.209822,30.522,1,0.9988,1.03443,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24225_-1.root",OK,1,""
signal,24226,47.516,548.288,10.3651,0.0118844,6.51608,0.123184,86.906,1,0.9986,1.03138,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24226_-1.root",OK,1,""
signal,24227,47.347,681.975,11.5409,0.00972077,6.62932,0.112186,106.18,1,0.9986,1.03071,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24227_-1.root",OK,1,""
signal,24228,48.278,485.662,9.79956,0.0130006,6.3139,0.1274,79.823,1,0.9989,1.0366,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24228_-1.root",OK,1,""
signal,24229,31.926,360.862,8.10356,0.0177677,6.4117,0.143982,57.677,1,0.9988,1.02356,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24229_-1.root",OK,1,""
signal,24230,17.017,228.637,6.14394,0.0323986,7.40753,0.199055,31.29,1,0.9987,1.01243,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24230_-1.root",OK,1,""
signal,24257,48.261,533.7,10.247,0.012217,6.5202,0.125188,84.84,1,0.9985,1.03493,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24257_-1.root",OK,1,""
signal,24258,44.119,495.562,9.82078,0.0133854,6.63332,0.131455,77.132,1,0.9988,1.03121,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24258_-1.root",OK,1,""
signal,24259,46.179,503.662,9.9491,0.0131308,6.6135,0.13064,78.569,1,0.9984,1.03002,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24259_-1.root",OK,1,""
signal,24260,45.837,461.775,9.50505,0.0143053,6.60581,0.135972,72.234,1,0.9988,1.03209,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24260_-1.root",OK,1,""
signal,24261,42.636,390.563,8.71784,0.0171973,6.71664,0.149924,59.827,1,0.9989,1.02773,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24261_-1.root",OK,1,""
signal,24262,43.866,415.5,9.09172,0.0146859,6.10199,0.13352,70.08,1,0.9989,1.02806,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24262_-1.root",OK,1,""
signal,24263,32.774,368.1,8.16812,0.0177365,6.52879,0.144873,57.764,1,0.9986,1.02309,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24263_-1.root",OK,1,""
signal,24264,17.18,211.162,5.92559,0.0336741,7.11071,0.199539,30.099,1,0.999,1.01254,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24264_-1.root",OK,1,""
#FIT,fit_const,fit_const_err,chi2,ndf,chi2_ndf,prob,n_fit_points
#FIT,6.53332,0.0338878,52.8653,16,3.30408,7.93485e-06,17
