category,run,ctime_raw_withstart,ctime_good_withstart,coinc_blocking_ratio,rootfile,status
signal,23980,nan,nan,nan,"./Pass0_ROOTfiles/coin_replay_production_23980_-1.root",NOFILE
signal,23992,nan,nan,nan,"./Pass0_ROOTfiles/coin_replay_production_23992_-1.root",NOFILE
signal,23993,nan,nan,nan,"./Pass0_ROOTfiles/coin_replay_production_23993_-1.root",NOFILE
signal,23994,nan,nan,nan,"./Pass0_ROOTfiles/coin_replay_production_23994_-1.root",NOFILE
signal,23995,nan,nan,nan,"./Pass0_ROOTfiles/coin_replay_production_23995_-1.root",NOFILE
signal,23996,nan,nan,nan,"./Pass0_ROOTfiles/coin_replay_production_23996_-1.root",NOFILE
signal,23998,nan,nan,nan,"./Pass0_ROOTfiles/coin_replay_production_23998_-1.root",NOFILE
signal,24019,nan,nan,nan,"./Pass0_ROOTfiles/coin_replay_production_24019_-1.root",NOFILE
signal,24020,nan,nan,nan,"./Pass0_ROOTfiles/coin_replay_production_24020_-1.root",NOFILE
signal,24021,nan,nan,nan,"./Pass0_ROOTfiles/coin_replay_production_24021_-1.root",NOFILE
signal,24022,nan,nan,nan,"./Pass0_ROOTfiles/coin_replay_production_24022_-1.root",NOFILE
signal,24023,nan,nan,nan,"./Pass0_ROOTfiles/coin_replay_production_24023_-1.root",NOFILE
signal,24024,nan,nan,nan,"./Pass0_ROOTfiles/coin_replay_production_24024_-1.root",NOFILE
signal,24026,nan,nan,nan,"./Pass0_ROOTfiles/coin_replay_production_24026_-1.root",NOFILE
signal,24060,nan,nan,nan,"./Pass0_ROOTfiles/coin_replay_production_24060_-1.root",NOFILE
signal,24061,nan,nan,nan,"./Pass0_ROOTfiles/coin_replay_production_24061_-1.root",NOFILE
signal,24062,nan,nan,nan,"./Pass0_ROOTfiles/coin_replay_production_24062_-1.root",NOFILE
signal,24063,nan,nan,nan,"./Pass0_ROOTfiles/coin_replay_production_24063_-1.root",NOFILE
signal,24064,nan,nan,nan,"./Pass0_ROOTfiles/coin_replay_production_24064_-1.root",NOFILE
signal,24065,nan,nan,nan,"./Pass0_ROOTfiles/coin_replay_production_24065_-1.root",NOFILE
positron,24583,nan,nan,nan,"./Pass0_ROOTfiles/coin_replay_production_24583_-1.root",NOFILE
dummy,23981,nan,nan,nan,"./Pass0_ROOTfiles/coin_replay_production_23981_-1.root",NOFILE
dummy,23999,nan,nan,nan,"./Pass0_ROOTfiles/coin_replay_production_23999_-1.root",NOFILE
dummy,24032,nan,nan,nan,"./Pass0_ROOTfiles/coin_replay_production_24032_-1.root",NOFILE
dummy,24066,nan,nan,nan,"./Pass0_ROOTfiles/coin_replay_production_24066_-1.root",NOFILE
dummy,24084,nan,nan,nan,"./Pass0_ROOTfiles/coin_replay_production_24084_-1.root",NOFILE
dummy,24085,nan,nan,nan,"./Pass0_ROOTfiles/coin_replay_production_24085_-1.root",NOFILE
dummy,24086,nan,nan,nan,"./Pass0_ROOTfiles/coin_replay_production_24086_-1.root",NOFILE
positron_dummy,24585,nan,nan,nan,"./Pass0_ROOTfiles/coin_replay_production_24585_-1.root",NOFILE
positron_dummy,24587,nan,nan,nan,"./Pass0_ROOTfiles/coin_replay_production_24587_-1.root",NOFILE
