category,run,BCM2_I,Nnet,Nnet_err,norm_factor,yield,yield_err,BCM2_Q_mC,comp_livetime,h_esing_Eff,boil_corr,ps_choice,ps_factor,PeakCenterNs,CoinLoNs,CoinHiNs,RandomWindowListNs,rootfile,status,fit_included,fit_excluded_reason
signal,24734,50.571,86.8875,4.01145,0.0139561,1.21261,0.0559843,74.41,1,0.9987,1.03713,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24734_-1.root",OK,1,""
signal,24736,51.647,105.187,4.4331,nan,nan,nan,92.877,1,0.9985,-999,"ps5",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24736_-1.root",BADMETA,0,"NONFINITE_XY"
signal,24737,51.705,57.7125,3.28227,0.0213767,1.2337,0.070164,48.649,1,0.9996,1.03954,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24737_-1.root",OK,1,""
signal,24738,53.277,121.912,4.80951,0.0097188,1.18484,0.0467427,107.03,1,0.9988,1.03896,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24738_-1.root",OK,1,""
signal,24739,49.43,119.737,4.66977,0.0105332,1.26121,0.0491874,98.504,1,0.9981,1.03559,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24739_-1.root",OK,1,""
signal,24740,52.465,120.75,4.73154,0.0104915,1.26685,0.0496412,99.1,1,0.9982,1.03784,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24740_-1.root",OK,1,""
signal,24741,52.564,117.262,4.65257,0.0107991,1.26633,0.0502437,96.298,1,0.9982,1.03806,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24741_-1.root",OK,1,""
signal,24742,51.191,141.037,5.05889,0.00897474,1.26577,0.0454022,115.7,1,0.9982,1.03651,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24742_-1.root",OK,1,""
signal,24743,49.859,119.362,4.6562,0.0108263,1.29226,0.0504096,95.861,1,0.9988,1.03658,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24743_-1.root",OK,1,""
signal,24744,51.183,19.3875,1.8229,0.0741758,1.43808,0.135215,14.005,1,0.9987,1.03748,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24744_-1.root",OK,1,""
signal,24745,48.415,79.65,3.83088,0.0157884,1.25755,0.0604836,65.65,1,0.9982,1.03465,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24745_-1.root",OK,1,""
signal,24746,51.818,108.788,4.47163,0.0112068,1.21916,0.0501128,92.724,1,0.9983,1.03737,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24746_-1.root",OK,1,""
signal,24747,35.865,80.6625,3.74794,0.0150494,1.21393,0.0564043,68.257,1,0.9984,1.02559,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24747_-1.root",OK,1,""
signal,24748,17.239,38.925,2.51614,0.0294048,1.14458,0.0739864,34.457,1,0.9994,1.01259,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24748_-1.root",OK,1,""
signal,24766,49.617,110.738,4.5198,0.011333,1.25499,0.0512229,91.465,1,0.9988,1.03533,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24766_-1.root",OK,1,""
signal,24767,51.862,121.725,4.69185,0.0108579,1.32168,0.0509437,95.647,1,0.998,1.03645,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24767_-1.root",OK,1,""
signal,24768,46.046,104.662,4.38109,0.0114344,1.19676,0.0500952,90.451,1,0.9981,1.03229,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24768_-1.root",OK,1,""
signal,24769,48.934,48.45,2.9689,0.0271178,1.31386,0.08051,38.201,1,0.9988,1.03468,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24769_-1.root",OK,1,""
signal,24770,51.264,187.425,5.82905,0.00703729,1.31896,0.0410207,147.41,1,0.9986,1.03591,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24770_-1.root",OK,1,""
signal,24772,55.698,119.362,4.70427,0.0103395,1.23415,0.0486397,100.77,1,0.9989,1.04076,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24772_-1.root",OK,1,""
signal,24773,35.073,69.7125,3.47376,0.0167807,1.16983,0.0582923,61.213,1,0.9986,1.02576,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24773_-1.root",OK,1,""
signal,24774,17.944,38.5125,2.51362,0.0315285,1.21424,0.0792506,32.194,1,0.9981,1.0131,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24774_-1.root",OK,1,""
#FIT,fit_const,fit_const_err,chi2,ndf,chi2_ndf,prob,n_fit_points
#FIT,1.24856,0.0118789,17.069,20,0.853451,0.648487,21
