category,run,BCM2_I,yield,yield_err,shms34_rate_kHz,rootfile,status
signal,25363,37.665,69.3945,0.478535,553.303,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_25363_-1.root",OK
signal,25364,45.637,69.5893,0.447415,668.508,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_25364_-1.root",OK
signal,25365,22.169,72.5501,0.558318,330.531,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_25365_-1.root",OK
signal,25366,20.86,72.4792,0.797045,311.196,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_25366_-1.root",OK
signal,25379,55.659,68.3719,0.51959,809.338,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_25379_-1.root",OK
signal,25380,28.75,71.2201,0.502309,425.609,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_25380_-1.root",OK
# FIT_MODEL,pol0
# FIT_C,70.2839064087
# FIT_Cerr,0.214118077219
# FIT_chi2,46.9408176546
# FIT_ndf,5
# FIT_chi2ndf,9.38816353093
# FIT_prob,5.84150858318e-09
