# YieldRatioVsTrigger
# manifest: /home/cdaq/users/rparvez/RP_Scripts/rate_dependence_v1/settings/pass5/pi+sidis/LD2/z0p5/x0p25/Q23p3/hmsPneg3p642_shmsP3p632_hmsTh16p75_shmsTh7p51_thpqneg0p8/manifest.json
# rel_under_settings: pass5/pi+sidis/LD2/z0p5/x0p25/Q23p3/hmsPneg3p642_shmsP3p632_hmsTh16p75_shmsTh7p51_thpqneg0p8
# inputs:
#   /home/cdaq/users/rparvez/RP_Scripts/rate_dependence_v1/results/pass5/pi+sidis/LD2/z0p5/x0p25/Q23p3/hmsPneg3p642_shmsP3p632_hmsTh16p75_shmsTh7p51_thpqneg0p8/tables/yield_vs_trigger_shms34.csv
#   /home/cdaq/users/rparvez/RP_Scripts/rate_dependence_v1/results/pass5/pi+sidis/LD2/z0p5/x0p25/Q23p3/hmsPneg3p642_shmsP3p632_hmsTh16p75_shmsTh7p51_thpqneg0p8/tables/hms_elclean_chargeNorm_vs_current.csv
# N_total: 12
# N_valid_for_fit1: 12
# N_valid_for_fit2: 12
# fit1_model: raw_ratio = a + b*x   (x in kHz)
# fit1_a: 0.000361877649078
# fit1_a_err: 5.76132942453e-06
# fit1_b_per_kHz: -3.24817928684e-08
# fit1_b_err_per_kHz: 8.25967801122e-09
# fit1_chi2: 22.8439017689
# fit1_ndf: 10
# fit1_prob: 0.0113376607959
# fit2_model: y_norm = 1 + m*x   (x in kHz)
# fit2_m_per_kHz: -9.3769531391e-05
# fit2_m_err_per_kHz: 8.83697696853e-06
# tau_ns: 93.769531391
# tau_ns_err: 8.83697696853
# fit2_chi2: 12.5121119821
# fit2_ndf: 11
# fit2_prob: 0.326404541578

run,shms34_rate_kHz,yield,yield_err,hms_elclean_counts_per_mC,hms_elclean_counts_per_mC_err,raw_ratio,raw_ratio_err,ynorm,ynorm_err,status_yield_csv,status_elclean_csv,join_flag,use_in_fit,reason
24960,819.452,83.2989,2.72106,268552.2627,327.9481133,0.0003101776137,1.013940699e-05,0.857133936,0.03116528042,OK,OK,OK,1,""
24961,796.221,90.779,1.14569,268420.699,134.9686585,0.0003381967201,4.271648738e-06,0.9345609516,0.01899254394,OK,OK,OK,1,""
24962,786.52,88.783,1.17418,268149.0301,139.3147028,0.0003310957342,4.382211144e-06,0.9149383364,0.01894265361,OK,OK,OK,1,""
24964,770.782,91.9788,1.14453,268439.723,134.3458025,0.0003426422847,4.267085806e-06,0.946845669,0.01913837719,OK,OK,OK,1,""
24965,390.962,96.9691,1.37902,270774.0568,171.5854399,0.0003581181342,5.097934297e-06,0.9896110884,0.02113491092,OK,OK,OK,1,""
24966,397.146,94.0297,1.51781,270459.8678,191.0092572,0.0003476659985,5.617328926e-06,0.9607280234,0.02179231538,OK,OK,OK,1,""
24998,777.471,89.8759,1.09762,268242.5138,129.9032086,0.0003350546441,4.095110064e-06,0.9258782491,0.01858341272,OK,OK,OK,1,""
24999,778.084,89.4744,1.10383,268315.4204,130.7834736,0.00033346723,4.117136507e-06,0.9214916445,0.0185653035,OK,OK,OK,1,""
25000,396.768,94.3838,1.47889,270772.3962,186.0201632,0.0003485724591,5.466993005e-06,0.9632329048,0.02152676982,OK,OK,OK,1,""
25001,398.625,91.6953,1.52961,270664.2488,194.3059758,0.0003387787652,5.656549684e-06,0.9361693547,0.0215980013,OK,OK,OK,1,""
25007,784.121,92.6228,1.1455,268096.35,134.1201498,0.0003454832563,4.276211832e-06,0.9546963101,0.0192524463,OK,OK,OK,1,""
25008,767.99,86.6434,3.0758,268714.9414,370.1750219,0.0003224361085,1.145494545e-05,0.8910086305,0.03468738639,OK,OK,OK,1,""
