category,run,ctime_raw_withstart,ctime_good_withstart,coinc_blocking_ratio,rootfile,status
signal,25076,nan,nan,nan,"./Pass0_ROOTfiles/coin_replay_production_25076_-1.root",NOFILE
signal,25077,nan,nan,nan,"./Pass0_ROOTfiles/coin_replay_production_25077_-1.root",NOFILE
signal,25078,nan,nan,nan,"./Pass0_ROOTfiles/coin_replay_production_25078_-1.root",NOFILE
signal,25079,nan,nan,nan,"./Pass0_ROOTfiles/coin_replay_production_25079_-1.root",NOFILE
signal,25080,nan,nan,nan,"./Pass0_ROOTfiles/coin_replay_production_25080_-1.root",NOFILE
signal,25108,nan,nan,nan,"./Pass0_ROOTfiles/coin_replay_production_25108_-1.root",NOFILE
signal,25109,nan,nan,nan,"./Pass0_ROOTfiles/coin_replay_production_25109_-1.root",NOFILE
signal,25110,nan,nan,nan,"./Pass0_ROOTfiles/coin_replay_production_25110_-1.root",NOFILE
signal,25111,nan,nan,nan,"./Pass0_ROOTfiles/coin_replay_production_25111_-1.root",NOFILE
signal,25112,nan,nan,nan,"./Pass0_ROOTfiles/coin_replay_production_25112_-1.root",NOFILE
dummy,25092,nan,nan,nan,"./Pass0_ROOTfiles/coin_replay_production_25092_-1.root",NOFILE
dummy,25093,nan,nan,nan,"./Pass0_ROOTfiles/coin_replay_production_25093_-1.root",NOFILE
dummy,25120,nan,nan,nan,"./Pass0_ROOTfiles/coin_replay_production_25120_-1.root",NOFILE
dummy,25121,nan,nan,nan,"./Pass0_ROOTfiles/coin_replay_production_25121_-1.root",NOFILE
