category,run,BCM2_I,BCM2_Q_mC,hms_elclean_counts,hms_elclean_counts_per_mC,hms_elclean_counts_per_mC_err,yield,yield_err,rootfile,status
signal,25138,35.658,59.196,15658002,264511.1494,66.84605941,45.0674,0.386687,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_25138_-1.root",OK
signal,25139,42.61,65.141,17225193,264429.3609,63.71293725,44.5639,0.374087,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_25139_-1.root",OK
signal,25140,43.835,68.992,18239459,264370.6372,61.90236497,44.5411,0.364004,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_25140_-1.root",OK
signal,25141,24.177,41.154,10924341,265450.2843,80.31294859,47.3925,0.453454,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_25141_-1.root",OK
# FIT_MODEL,pol0
# FIT_c,264611.337956
# FIT_cerr,33.5929809311
# FIT_chi2,134.642094203
# FIT_ndf,3
# FIT_chi2ndf,44.8806980678
# FIT_prob,5.40208703834e-29
