category,run,BCM2_I,BCM2_Q_mC,hms_elclean_counts,hms_elclean_counts_per_mC,hms_elclean_counts_per_mC_err,yield,yield_err,rootfile,status
signal,25010,25.699,46.421,12318207,265358.5015,75.60652143,35.9211,0.379637,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_25010_-1.root",OK
signal,25011,26.12,47.639,12631121,265142.4463,74.60334685,36.2193,0.375259,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_25011_-1.root",OK
signal,25012,13.007,23.143,6174033,266777.5569,107.3655165,38.0552,0.526215,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_25012_-1.root",OK
# FIT_MODEL,pol0
# FIT_c,265549.465608
# FIT_cerr,47.5996053237
# FIT_chi2,166.982320401
# FIT_ndf,2
# FIT_chi2ndf,83.4911602004
# FIT_prob,5.49857100018e-37
