category,run,ctime_raw_withstart,ctime_good_withstart,coinc_blocking_ratio,rootfile,status
signal,25181,nan,nan,nan,"./Pass0_ROOTfiles/coin_replay_production_25181_-1.root",NOFILE
signal,25182,nan,nan,nan,"./Pass0_ROOTfiles/coin_replay_production_25182_-1.root",NOFILE
signal,25183,nan,nan,nan,"./Pass0_ROOTfiles/coin_replay_production_25183_-1.root",NOFILE
signal,25184,nan,nan,nan,"./Pass0_ROOTfiles/coin_replay_production_25184_-1.root",NOFILE
signal,25185,nan,nan,nan,"./Pass0_ROOTfiles/coin_replay_production_25185_-1.root",NOFILE
signal,25187,nan,nan,nan,"./Pass0_ROOTfiles/coin_replay_production_25187_-1.root",NOFILE
signal,25203,nan,nan,nan,"./Pass0_ROOTfiles/coin_replay_production_25203_-1.root",NOFILE
signal,25204,nan,nan,nan,"./Pass0_ROOTfiles/coin_replay_production_25204_-1.root",NOFILE
dummy,25189,nan,nan,nan,"./Pass0_ROOTfiles/coin_replay_production_25189_-1.root",NOFILE
dummy,25190,nan,nan,nan,"./Pass0_ROOTfiles/coin_replay_production_25190_-1.root",NOFILE
