category,run,BCM2_I,Nnet,Nnet_err,norm_factor,yield,yield_err,BCM2_Q_mC,comp_livetime,h_esing_Eff,boil_corr,ps_choice,ps_factor,PeakCenterNs,CoinLoNs,CoinHiNs,RandomWindowListNs,rootfile,status,fit_included,fit_excluded_reason
signal,25181,47.163,2062.01,21.8536,0.0123914,25.5512,0.270797,83.611,1,0.9984,1.0344,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_25181_-1.root",OK,1,""
signal,25182,44.808,1704.71,19.8991,0.0146948,25.0503,0.292412,70.387,1,0.9984,1.03266,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_25182_-1.root",OK,1,""
signal,25183,47.043,1518.15,18.7978,0.0165835,25.1763,0.311734,62.432,1,0.9983,1.03358,"ps5",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_25183_-1.root",OK,1,""
signal,25184,25.059,1144.76,14.8565,0.0230949,26.4381,0.343108,44.155,1,0.9984,1.01812,"ps5",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_25184_-1.root",OK,1,""
signal,25185,24.653,1106.51,14.6035,0.0239964,26.5524,0.350432,42.465,1,0.9985,1.01748,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_25185_-1.root",OK,1,""
signal,25187,25.082,1088.74,14.553,0.0237478,25.8551,0.345602,42.956,1,0.9984,1.01848,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_25187_-1.root",OK,1,""
signal,25203,43.508,2658.86,24.4515,0.00957493,25.4584,0.234122,108.53,1,0.9983,1.0374,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_25203_-1.root",OK,1,""
signal,25204,22.278,1163.4,14.774,0.0228801,26.6187,0.338032,44.496,1,0.9983,1.01634,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_25204_-1.root",OK,1,""
#FIT,fit_const,fit_const_err,chi2,ndf,chi2_ndf,prob,n_fit_points
#FIT,25.7357,0.106827,27.1455,7,3.87792,0.000313772,8
