category,run,BCM2_I,BCM2_Q_mC,hms_elclean_counts,hms_elclean_counts_per_mC,hms_elclean_counts_per_mC_err,yield,yield_err,rootfile,status
signal,25083,17.662,21.398,3027396,141480.3253,81.31327126,27.0122,0.554891,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_25083_-1.root",OK
signal,25084,17.992,43.99,6224007,141486.8607,56.71279799,26.7005,0.386465,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_25084_-1.root",OK
signal,25085,18.009,26.493,3749660,141533.9901,73.09115176,26.5085,0.494621,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_25085_-1.root",OK
signal,25086,18.072,35.588,5029476,141325.0534,63.01700928,26.965,0.429998,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_25086_-1.root",OK
signal,25087,8.937,15.04,2145319,142640.891,97.38635321,26.9437,0.598215,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_25087_-1.root",OK
signal,25088,9.071,16.256,2316432,142497.0472,93.62591764,26.9096,0.574589,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_25088_-1.root",OK
signal,25091,18.209,4.107,580123,141252.2523,185.4536303,25.5162,1.2407,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_25091_-1.root",OK
signal,25114,23.938,47.548,6694439,140793.2826,54.41577768,25.7316,0.386137,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_25114_-1.root",OK
signal,25115,24.354,47.446,6683587,140867.2385,54.48854339,25.6849,0.38856,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_25115_-1.root",OK
signal,25116,23.488,46.228,6511722,140860.9933,55.20047579,24.8901,0.389235,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_25116_-1.root",OK
signal,25117,11.867,20.667,2934554,141992.2582,82.88837267,26.9893,0.529486,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_25117_-1.root",OK
signal,25119,12.028,22.828,3245425,142168.6087,78.91651981,26.9156,0.503882,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_25119_-1.root",OK
# FIT_MODEL,pol0
# FIT_c,141377.810152
# FIT_cerr,20.1677576166
# FIT_chi2,768.347113833
# FIT_ndf,11
# FIT_chi2ndf,69.8497376212
# FIT_prob,1.18076810174e-157
