category,run,BCM2_I,Nnet,Nnet_err,norm_factor,yield,yield_err,BCM2_Q_mC,comp_livetime,h_esing_Eff,boil_corr,ps_choice,ps_factor,PeakCenterNs,CoinLoNs,CoinHiNs,RandomWindowListNs,rootfile,status,fit_included,fit_excluded_reason
signal,25049,35.59,1397.81,17.8748,0.0156289,21.8462,0.279362,65.728,1,0.9985,1.02571,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_25049_-1.root",OK,1,""
signal,25050,37.054,1526.93,18.7875,0.0142927,21.8239,0.268525,71.965,1,0.9984,1.02693,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_25050_-1.root",OK,1,""
signal,25051,36.245,867.45,14.0896,0.0251059,21.7781,0.353732,40.951,1,0.9984,1.02646,"ps5",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_25051_-1.root",OK,1,""
signal,25052,23.856,956.025,13.939,0.0236529,22.6128,0.329698,43.088,1,0.9983,1.01742,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_25052_-1.root",OK,1,""
signal,25053,11.997,498.225,9.38804,0.0466524,23.2434,0.437975,21.66,1,0.9983,1.00877,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_25053_-1.root",OK,1,""
signal,25069,35.93,1420.46,18.0515,0.01537,21.8325,0.277452,66.865,1,0.9984,1.02607,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_25069_-1.root",OK,1,""
signal,25070,35.081,1335.64,17.5042,0.0163551,21.8445,0.286283,62.811,1,0.9983,1.02553,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_25070_-1.root",OK,1,""
signal,25071,36.719,1527.26,18.7894,0.0141376,21.5918,0.265638,72.741,1,0.9984,1.02674,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_25071_-1.root",OK,1,""
signal,25072,24.31,918.75,13.6584,0.0248772,22.8559,0.339784,40.969,1,0.9986,1.01777,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_25072_-1.root",OK,1,""
signal,25073,12.049,557.137,9.87774,0.0442133,24.6329,0.436728,22.853,1,0.9984,1.00879,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_25073_-1.root",OK,1,""
#FIT,fit_const,fit_const_err,chi2,ndf,chi2_ndf,prob,n_fit_points
#FIT,22.169,0.0988431,55.43,9,6.15889,1.00844e-08,10
