run,category,target_raw,run_type_raw,BCM2_I,BCM2_Q,h_esing_Eff,comp_livetime,boil_corr,ps5,ps6,ps_choice,ps_factor,normyield,normyield_err
24779,signal,LH2,PI+SIDIS,54.26,97.933,0.9995,1.0,1.038188,-1.0,1.0,ps6,1.0,15.3102,0.435164
24780,signal,LH2,PI+SIDIS,48.654,60.697,0.9996,1.0,1.034333,1.0,-1.0,ps5,1.0,17.0198,0.575591
24781,signal,LH2,PI+SIDIS,53.304,92.747,0.9998,1.0,1.03702,-1.0,1.0,ps6,1.0,15.2987,0.447255
24782,signal,LH2,PI+SIDIS,50.912,98.871,0.9997,1.0,1.034721,-1.0,1.0,ps6,1.0,15.5763,0.436592
24783,signal,LH2,PI+SIDIS,48.016,78.618,0.9997,1.0,1.032952,-1.0,1.0,ps6,1.0,15.6538,0.49013
24784,signal,LH2,PI+SIDIS,54.182,92.615,0.9997,1.0,1.037018,-1.0,1.0,ps6,1.0,15.5153,0.451253
24785,signal,LH2,PI+SIDIS,46.988,78.725,0.9999,1.0,1.032536,-1.0,1.0,ps6,1.0,15.3505,0.484167
24786,signal,LH2,PI+SIDIS,45.446,70.68,0.9999,1.0,1.031984,-1.0,1.0,ps6,1.0,15.1028,0.507998
24787,signal,LH2,PI+SIDIS,53.115,90.919,0.9997,1.0,1.037242,-1.0,1.0,ps6,1.0,15.4893,0.453405
24788,signal,LH2,PI+SIDIS,47.481,74.276,0.9998,1.0,1.033475,-1.0,1.0,ps6,1.0,15.4933,0.503455
24789,signal,LH2,PI+SIDIS,49.435,79.336,0.9998,1.0,1.034913,-1.0,1.0,ps6,1.0,15.8776,0.488969
24790,signal,LH2,PI+SIDIS,36.964,62.62,0.9998,1.0,1.026586,-1.0,1.0,ps6,1.0,15.9902,0.54336
24791,signal,LH2,PI+SIDIS,18.183,31.436,0.9997,1.0,1.013268,-1.0,1.0,ps6,1.0,15.849,0.740501
24803,signal,LH2,PI+SIDIS,49.437,75.05,0.9999,1.0,1.035087,-1.0,1.0,ps6,1.0,15.3826,0.498659
24804,signal,LH2,PI+SIDIS,51.441,85.749,0.9998,1.0,1.036514,-1.0,1.0,ps6,1.0,15.0663,0.462454
24805,signal,LH2,PI+SIDIS,55.848,103.96,0.9996,1.0,1.040031,-1.0,1.0,ps6,1.0,14.6377,0.413705
24806,signal,LH2,PI+SIDIS,52.466,88.218,0.9998,1.0,1.037908,-1.0,1.0,ps6,1.0,15.0508,0.457538
24807,signal,LH2,PI+SIDIS,54.17,93.72,0.9995,1.0,1.039053,-1.0,1.0,ps6,1.0,15.6842,0.449187
24808,signal,LH2,PI+SIDIS,51.418,97.897,0.9998,1.0,1.037077,-1.0,1.0,ps6,1.0,14.9395,0.43285
24809,signal,LH2,PI+SIDIS,49.997,88.13,0.9997,1.0,1.035701,-1.0,1.0,ps6,1.0,15.1934,0.4569
24810,signal,LH2,PI+SIDIS,50.847,85.002,0.9998,1.0,1.036453,-1.0,1.0,ps6,1.0,15.5107,0.472143
24811,signal,LH2,PI+SIDIS,51.171,71.835,0.9996,1.0,1.036579,-1.0,1.0,ps6,1.0,14.5454,0.499674
24812,signal,LH2,PI+SIDIS,37.358,71.445,0.9997,1.0,1.026913,-1.0,1.0,ps6,1.0,14.9788,0.493589
24813,signal,LH2,PI+SIDIS,18.252,19.196,1.0,1.0,1.01332,-1.0,1.0,ps6,1.0,17.3539,0.988238
24821,positron,LH2,PI+SIDIS,51.023,91.288,0.9977,1.0,1.036161,-1.0,1.0,ps6,1.0,0.097209,0.0565166
24822,positron,LH2,PI+SIDIS,52.53,90.692,0.9983,1.0,1.036415,-1.0,1.0,ps6,1.0,0.103296,0.0604799
24823,positron,LH2,PI+SIDIS,53.493,100.23,0.9945,1.0,1.038466,-1.0,1.0,ps6,1.0,0.227134,0.071584
24794,dummy,Dummy,PI+SIDIS,36.896,34.858,1.0,1.0,1.0,-1.0,1.0,ps6,1.0,8.27672,0.522044
24795,dummy,Dummy,PI+SIDIS,38.083,54.097,0.9992,1.0,1.0,-1.0,1.0,ps6,1.0,7.85439,0.410123
24796,dummy,Dummy,PI+SIDIS,40.656,4.639,1.0,1.0,1.0,-1.0,1.0,ps6,1.0,9.4355,1.50259
24797,dummy,Dummy,PI+SIDIS,38.716,65.18,0.9995,1.0,1.0,-1.0,1.0,ps6,1.0,8.37995,0.385323
24798,dummy,Dummy,PI+SIDIS,37.607,55.465,0.9998,1.0,1.0,-1.0,1.0,ps6,1.0,8.46684,0.418699
24814,dummy,Dummy,PI+SIDIS,38.978,67.534,0.9995,1.0,1.0,-1.0,1.0,ps6,1.0,7.86468,0.370484
24815,dummy,Dummy,PI+SIDIS,39.918,68.309,0.9997,1.0,1.0,-1.0,1.0,ps6,1.0,7.81625,0.364819
24816,dummy,Dummy,PI+SIDIS,39.382,67.62,0.9995,1.0,1.0,-1.0,1.0,ps6,1.0,8.12094,0.372317
24817,dummy,Dummy,PI+SIDIS,36.976,68.025,0.9995,1.0,1.0,-1.0,1.0,ps6,1.0,7.95356,0.367784
