run,category,target_raw,run_type_raw,BCM2_I,BCM2_Q,h_esing_Eff,comp_livetime,boil_corr,ps5,ps6,ps_choice,ps_factor,normyield,normyield_err
24222,signal,LH2,PI+SIDIS,48.745,83.874,0.9998,1.0,1.037073,-1.0,1.0,ps6,1.0,34.0154,0.750948
24223,signal,LH2,PI+SIDIS,50.98,41.312,1.0,1.0,1.037439,1.0,-1.0,ps5,1.0,40.2455,1.15456
24224,signal,LH2,PI+SIDIS,50.299,83.482,0.9997,1.0,1.035306,-1.0,1.0,ps6,1.0,35.3805,0.765659
24225,signal,LH2,PI+SIDIS,50.932,30.553,0.9999,1.0,1.034456,-1.0,1.0,ps6,1.0,35.9502,1.27433
24226,signal,LH2,PI+SIDIS,48.252,86.956,0.9998,1.0,1.031782,-1.0,1.0,ps6,1.0,35.8177,0.752328
24227,signal,LH2,PI+SIDIS,48.59,106.18,0.9998,1.0,1.031344,-1.0,1.0,ps6,1.0,35.0758,0.676006
24228,signal,LH2,PI+SIDIS,48.463,79.903,0.9997,1.0,1.036753,-1.0,1.0,ps6,1.0,34.3816,0.77017
24229,signal,LH2,PI+SIDIS,33.004,57.67,0.9998,1.0,1.024374,-1.0,1.0,ps6,1.0,34.396,0.869516
24230,signal,LH2,PI+SIDIS,17.164,31.372,1.0,1.0,1.012539,-1.0,1.0,ps6,1.0,37.3856,1.16532
24257,signal,LH2,PI+SIDIS,48.528,84.917,0.9996,1.0,1.035124,-1.0,1.0,ps6,1.0,34.4337,0.750572
24258,signal,LH2,PI+SIDIS,46.078,77.114,0.9998,1.0,1.032511,-1.0,1.0,ps6,1.0,35.0075,0.789826
24259,signal,LH2,PI+SIDIS,47.618,78.551,0.9997,1.0,1.030767,-1.0,1.0,ps6,1.0,35.4901,0.790567
24260,signal,LH2,PI+SIDIS,47.723,72.201,0.9998,1.0,1.033306,-1.0,1.0,ps6,1.0,35.1901,0.822226
24261,signal,LH2,PI+SIDIS,43.215,59.873,0.9999,1.0,1.028031,-1.0,1.0,ps6,1.0,35.834,0.907574
24262,signal,LH2,PI+SIDIS,46.449,70.011,0.9998,1.0,1.029297,-1.0,1.0,ps6,1.0,34.7298,0.828175
24263,signal,LH2,PI+SIDIS,32.952,57.843,0.9996,1.0,1.02321,-1.0,1.0,ps6,1.0,34.6076,0.870035
24264,signal,LH2,PI+SIDIS,17.271,30.185,1.0,1.0,1.01261,-1.0,1.0,ps6,1.0,36.9604,1.18152
24554,positron,LH2,PI+SIDIS,48.764,79.924,0.9971,1.0,1.039703,-1.0,1.0,ps6,1.0,0.457188,0.133288
24232,dummy,Dummy,PI+SIDIS,38.805,71.043,0.9997,1.0,1.0,-1.0,1.0,ps6,1.0,18.2115,0.56592
24233,dummy,Dummy,PI+SIDIS,39.196,67.806,0.9997,1.0,1.0,-1.0,1.0,ps6,1.0,18.0474,0.575235
24234,dummy,Dummy,PI+SIDIS,39.744,70.176,0.9997,1.0,1.0,-1.0,1.0,ps6,1.0,17.3957,0.558242
24268,dummy,Dummy,PI+SIDIS,38.763,68.715,0.9998,1.0,1.0,-1.0,1.0,ps6,1.0,16.9577,0.554407
24269,dummy,Dummy,PI+SIDIS,39.994,59.223,0.9999,1.0,1.0,-1.0,1.0,ps6,1.0,17.7326,0.607646
24555,positron_dummy,Dummy,PI+SIDIS,38.899,56.964,0.9941,1.0,1.0,-1.0,1.0,ps6,1.0,0.114797,0.0899217
