run,category,target_raw,run_type_raw,BCM2_I,BCM2_Q,h_esing_Eff,comp_livetime,boil_corr,ps5,ps6,ps_choice,ps_factor,normyield,normyield_err
23878,signal,LD2,PI-SIDIS,7.345,12.343,0.9987,1.0,1.002566,-1.0,1.0,ps6,1.0,45.3503,2.89965
23886,signal,LD2,PI-SIDIS,6.902,11.854,0.9986,1.0,1.002411,-1.0,1.0,ps6,1.0,49.9233,2.9967
23887,signal,LD2,PI-SIDIS,6.811,11.634,0.9989,1.0,1.002379,-1.0,1.0,ps6,1.0,59.8307,3.19285
23888,signal,LD2,PI-SIDIS,6.77,9.953,0.9982,1.0,1.002365,-1.0,1.0,ps6,1.0,50.074,3.29674
23889,signal,LD2,PI-SIDIS,6.696,10.701,0.9989,1.0,1.002339,-1.0,1.0,ps6,1.0,47.03,3.13124
23897,signal,LD2,PI-SIDIS,9.555,15.448,0.9983,1.0,1.003338,-1.0,1.0,ps6,1.0,41.0438,2.68647
23898,signal,LD2,PI-SIDIS,9.801,18.867,0.9984,1.0,1.003423,-1.0,1.0,ps6,1.0,46.0926,2.50791
23899,signal,LD2,PI-SIDIS,9.857,18.02,0.9989,1.0,1.003443,-1.0,1.0,ps6,1.0,46.7288,2.5402
23900,signal,LD2,PI-SIDIS,9.79,22.649,0.9989,1.0,1.00342,-1.0,1.0,ps6,1.0,44.3887,2.27363
23879,dummy,Dummy,PI-SIDIS,14.284,27.905,0.9985,1.0,1.0,-1.0,1.0,ps6,1.0,16.2504,1.12556
23890,dummy,Dummy,PI-SIDIS,14.069,19.101,0.9988,1.0,1.0,-1.0,1.0,ps6,1.0,14.3612,1.30604
23891,dummy,Dummy,PI-SIDIS,7.688,14.984,0.9994,1.0,1.0,-1.0,1.0,ps6,1.0,15.6313,1.34869
23901,dummy,Dummy,PI-SIDIS,9.302,10.685,0.9977,1.0,1.0,-1.0,1.0,ps6,1.0,20.6796,1.88102
23902,dummy,Dummy,PI-SIDIS,19.601,35.807,0.9986,1.0,1.0,-1.0,1.0,ps6,1.0,15.2223,1.0261
23903,dummy,Dummy,PI-SIDIS,18.859,4.76,0.9977,1.0,1.0,-1.0,1.0,ps6,1.0,14.9584,2.83076
23948,dummy,Dummy,PI-SIDIS,20.349,45.08,0.9988,1.0,1.0,-1.0,1.0,ps6,1.0,14.6905,0.829516
23949,dummy,Dummy,PI-SIDIS,9.693,8.138,0.9995,1.0,1.0,-1.0,1.0,ps6,1.0,12.0707,1.59419
23955,dummy,Dummy,PI-SIDIS,19.13,31.615,0.9988,1.0,1.0,-1.0,1.0,ps6,1.0,15.3499,1.01083
23956,dummy,Dummy,PI-SIDIS,9.707,11.018,0.9996,1.0,1.0,-1.0,1.0,ps6,1.0,15.0816,1.46594
24600,positron_dummy,Dummy,PI-SIDIS,24.477,72.708,0.9958,1.0,1.0,-1.0,1.0,ps6,1.0,0.559299,0.179389
