run,category,target_raw,run_type_raw,BCM2_I,BCM2_Q,h_esing_Eff,comp_livetime,boil_corr,ps5,ps6,ps_choice,ps_factor,normyield,normyield_err
24734,signal,LH2,PI-SIDIS,51.728,74.508,0.9996,1.0,1.037983,-1.0,1.0,ps6,1.0,6.8742,0.337445
24736,signal,LH2,PI-SIDIS,52.731,93.002,0.9995,1.0,1.039886,1.0,-1.0,ps5,1.0,7.16497,0.306729
24737,signal,LH2,PI-SIDIS,51.808,48.746,0.9996,1.0,1.039624,-1.0,1.0,ps6,1.0,7.07616,0.426409
24738,signal,LH2,PI-SIDIS,54.274,107.2,0.9997,1.0,1.039685,-1.0,1.0,ps6,1.0,6.86746,0.283336
24739,signal,LH2,PI-SIDIS,51.838,98.523,0.9993,1.0,1.037277,-1.0,1.0,ps6,1.0,7.39481,0.30209
24740,signal,LH2,PI-SIDIS,53.448,99.231,0.9997,1.0,1.038535,-1.0,1.0,ps6,1.0,7.19022,0.299801
24741,signal,LH2,PI-SIDIS,53.594,96.437,0.9997,1.0,1.038798,-1.0,1.0,ps6,1.0,7.19314,0.303658
24742,signal,LH2,PI-SIDIS,52.05,115.89,0.9998,1.0,1.037097,-1.0,1.0,ps6,1.0,7.26882,0.27799
24743,signal,LH2,PI-SIDIS,53.613,95.876,0.9994,1.0,1.039355,-1.0,1.0,ps6,1.0,7.24523,0.306411
24744,signal,LH2,PI-SIDIS,51.288,14.034,0.9987,1.0,1.03756,-1.0,1.0,ps6,1.0,8.02779,0.821391
24745,signal,LH2,PI-SIDIS,52.829,65.616,0.9999,1.0,1.037686,-1.0,1.0,ps6,1.0,7.12062,0.366752
24746,signal,LH2,PI-SIDIS,52.825,92.864,0.9996,1.0,1.038086,-1.0,1.0,ps6,1.0,7.25314,0.310796
24747,signal,LH2,PI-SIDIS,36.501,68.292,0.9998,1.0,1.026018,-1.0,1.0,ps6,1.0,7.04877,0.346452
24748,signal,LH2,PI-SIDIS,18.001,34.467,0.9994,1.0,1.013138,-1.0,1.0,ps6,1.0,6.66739,0.460344
24766,signal,LH2,PI-SIDIS,51.309,91.557,0.9998,1.0,1.036481,-1.0,1.0,ps6,1.0,7.20296,0.31127
24767,signal,LH2,PI-SIDIS,52.463,95.806,0.9996,1.0,1.036846,-1.0,1.0,ps6,1.0,7.64841,0.313596
24768,signal,LH2,PI-SIDIS,47.757,90.525,0.9999,1.0,1.033402,-1.0,1.0,ps6,1.0,7.05656,0.307962
24769,signal,LH2,PI-SIDIS,51.988,38.223,0.9998,1.0,1.036732,-1.0,1.0,ps6,1.0,7.3567,0.487282
24770,signal,LH2,PI-SIDIS,52.838,147.61,0.9996,1.0,1.036939,-1.0,1.0,ps6,1.0,7.46475,0.248969
24772,signal,LH2,PI-SIDIS,55.814,100.98,0.9996,1.0,1.040849,-1.0,1.0,ps6,1.0,6.83791,0.291008
24773,signal,LH2,PI-SIDIS,36.751,61.183,1.0,1.0,1.02701,-1.0,1.0,ps6,1.0,6.86401,0.360909
24774,signal,LH2,PI-SIDIS,18.228,32.244,1.0,1.0,1.013307,-1.0,1.0,ps6,1.0,7.34531,0.500494
24829,positron,LH2,PI-SIDIS,53.137,94.067,0.9991,1.0,1.036347,-1.0,1.0,ps6,1.0,0.0270014,0.04614
24830,positron,LH2,PI-SIDIS,48.495,77.697,1.0,1.0,1.034359,-1.0,1.0,ps6,1.0,-0.130433,0.0219552
24831,positron,LH2,PI-SIDIS,54.114,91.96,0.9964,1.0,1.038763,-1.0,1.0,ps6,1.0,0.090333,0.0490185
24832,positron,LH2,PI-SIDIS,49.398,79.605,1.0,1.0,1.03566,-1.0,1.0,ps6,1.0,0.241691,0.0677106
24753,dummy,Dummy,PI-SIDIS,21.219,5.445,1.0,1.0,1.0,-1.0,1.0,ps6,1.0,4.75193,0.993382
24755,dummy,Dummy,PI-SIDIS,37.121,74.643,0.9997,1.0,1.0,-1.0,1.0,ps6,1.0,4.65913,0.270489
24756,dummy,Dummy,PI-SIDIS,39.225,84.262,0.9993,1.0,1.0,-1.0,1.0,ps6,1.0,5.03797,0.266289
24758,dummy,Dummy,PI-SIDIS,38.541,92.038,0.9998,1.0,1.0,-1.0,1.0,ps6,1.0,4.28157,0.235617
24759,dummy,Dummy,PI-SIDIS,20.222,37.028,1.0,1.0,1.0,-1.0,1.0,ps6,1.0,5.0587,0.388377
24775,dummy,Dummy,PI-SIDIS,37.896,67.803,0.9997,1.0,1.0,-1.0,1.0,ps6,1.0,5.14754,0.298064
24776,dummy,Dummy,PI-SIDIS,38.931,70.494,1.0,1.0,1.0,-1.0,1.0,ps6,1.0,5.0064,0.287148
24777,dummy,Dummy,PI-SIDIS,38.505,67.871,0.9997,1.0,1.0,-1.0,1.0,ps6,1.0,5.19571,0.298402
24778,dummy,Dummy,PI-SIDIS,20.349,38.438,1.0,1.0,1.0,-1.0,1.0,ps6,1.0,5.16247,0.383794
