run,category,target_raw,run_type_raw,BCM2_I,BCM2_Q,h_esing_Eff,comp_livetime,boil_corr,ps5,ps6,ps_choice,ps_factor,normyield,normyield_err
24907,signal,LD2,PI+SIDIS,18.679,31.34,0.9991,1.0,1.006525,-1.0,1.0,ps6,1.0,508.241,4.90025
24908,signal,LD2,PI+SIDIS,19.031,35.9,0.9991,1.0,1.006648,-1.0,1.0,ps6,1.0,506.738,4.5753
24909,signal,LD2,PI+SIDIS,9.518,18.318,0.9992,1.0,1.003325,-1.0,1.0,ps6,1.0,511.859,5.90855
24910,signal,LD2,PI+SIDIS,9.58,17.288,0.9991,1.0,1.003346,-1.0,1.0,ps6,1.0,510.782,6.0827
24938,signal,LD2,PI+SIDIS,19.171,35.872,0.9991,1.0,1.006696,-1.0,1.0,ps6,1.0,502.472,4.56003
24939,signal,LD2,PI+SIDIS,18.873,15.829,0.9991,1.0,1.006592,-1.0,1.0,ps6,1.0,503.801,6.84522
24943,signal,LD2,PI+SIDIS,18.992,40.045,0.9991,1.0,1.006634,-1.0,1.0,ps6,1.0,495.053,4.28775
24944,signal,LD2,PI+SIDIS,18.977,37.254,0.9991,1.0,1.006629,-1.0,1.0,ps6,1.0,509.949,4.49081
24945,signal,LD2,PI+SIDIS,18.956,25.983,0.9991,1.0,1.006621,-1.0,1.0,ps6,1.0,502.92,5.37074
24946,signal,LD2,PI+SIDIS,9.664,18.399,0.9991,1.0,1.003376,-1.0,1.0,ps6,1.0,504.772,5.88512
24947,signal,LD2,PI+SIDIS,9.57,17.864,0.9992,1.0,1.003343,-1.0,1.0,ps6,1.0,510.311,5.96219
24924,dummy,Dummy,PI+SIDIS,38.193,74.271,0.9991,1.0,1.0,-1.0,1.0,ps6,1.0,148.828,1.66317
24952,dummy,Dummy,PI+SIDIS,39.47,89.419,0.9991,1.0,1.0,-1.0,1.0,ps6,1.0,146.506,1.51268
