run,category,target_raw,run_type_raw,BCM2_I,BCM2_Q,h_esing_Eff,comp_livetime,boil_corr,ps5,ps6,ps_choice,ps_factor,normyield,normyield_err
25539,signal,LH2,PI+SIDIS,22.216,34.599,0.9994,1.0,1.014875,-1.0,1.0,ps6,1.0,305.175,3.63817
25540,signal,LH2,PI+SIDIS,21.756,37.683,0.9994,1.0,1.01467,-1.0,1.0,ps6,1.0,307.663,3.48625
25541,signal,LH2,PI+SIDIS,21.594,34.546,0.9995,1.0,1.014654,-1.0,1.0,ps6,1.0,307.221,3.64357
25542,signal,LH2,PI+SIDIS,22.245,39.589,0.9995,1.0,1.015066,-1.0,1.0,ps6,1.0,305.556,3.41794
25543,signal,LH2,PI+SIDIS,21.95,38.38,0.9995,1.0,1.014959,-1.0,1.0,ps6,1.0,304.294,3.46216
25544,signal,LH2,PI+SIDIS,22.113,36.977,0.9994,1.0,1.014994,-1.0,1.0,ps6,1.0,301.268,3.49956
25545,signal,LH2,PI+SIDIS,21.023,30.288,0.9996,1.0,1.014471,-1.0,1.0,ps6,1.0,306.528,3.87867
25547,signal,LH2,PI+SIDIS,22.245,40.379,0.9995,1.0,1.015123,-1.0,1.0,ps6,1.0,305.759,3.36682
25548,signal,LH2,PI+SIDIS,22.011,20.759,0.9993,1.0,1.014972,-1.0,1.0,ps6,1.0,305.892,4.6863
25546,dummy,Dummy,PI+SIDIS,29.175,59.802,0.9994,1.0,1.0,-1.0,1.0,ps6,1.0,163.64,2.07778
