run,category,target_raw,run_type_raw,BCM2_I,BCM2_Q,h_esing_Eff,comp_livetime,boil_corr,ps5,ps6,ps_choice,ps_factor,normyield,normyield_err
25499,signal,LD2,PI-SIDIS,14.115,25.06,0.9994,1.0,1.00493,-1.0,1.0,ps6,1.0,337.833,4.96868
25500,signal,LD2,PI-SIDIS,14.07,23.424,0.9994,1.0,1.004915,-1.0,1.0,ps6,1.0,338.324,5.13043
25501,signal,LD2,PI-SIDIS,14.095,25.65,0.9994,1.0,1.004923,-1.0,1.0,ps6,1.0,343.187,4.96682
25502,signal,LD2,PI-SIDIS,14.114,25.717,0.9994,1.0,1.00493,-1.0,1.0,ps6,1.0,342.494,4.94338
25503,signal,LD2,PI-SIDIS,14.075,25.051,0.9994,1.0,1.004916,-1.0,1.0,ps6,1.0,340.039,4.98092
25504,signal,LD2,PI-SIDIS,7.089,12.622,0.9995,1.0,1.002476,-1.0,1.0,ps6,1.0,345.618,6.24049
25505,signal,LD2,PI-SIDIS,7.101,12.68,0.9996,1.0,1.00248,-1.0,1.0,ps6,1.0,347.06,6.25661
25515,signal,LD2,PI-SIDIS,11.157,3.003,0.9991,1.0,1.003897,-1.0,1.0,ps6,1.0,361.315,14.1905
25516,signal,LD2,PI-SIDIS,12.98,20.684,0.9994,1.0,1.004534,-1.0,1.0,ps6,1.0,325.518,5.29632
25517,signal,LD2,PI-SIDIS,13.098,21.688,0.9994,1.0,1.004575,-1.0,1.0,ps6,1.0,347.636,5.32948
25518,signal,LD2,PI-SIDIS,13.235,24.228,0.9995,1.0,1.004623,-1.0,1.0,ps6,1.0,342.541,5.01556
25519,signal,LD2,PI-SIDIS,13.109,22.785,0.9994,1.0,1.004579,-1.0,1.0,ps6,1.0,332.484,5.09417
25520,signal,LD2,PI-SIDIS,13.118,24.822,0.9995,1.0,1.004582,-1.0,1.0,ps6,1.0,345.289,4.9543
25514,dummy,Dummy,PI-SIDIS,20.131,34.645,0.9995,1.0,1.0,-1.0,1.0,ps6,1.0,106.546,2.13482
