run,category,target_raw,run_type_raw,BCM2_I,BCM2_Q,h_esing_Eff,comp_livetime,boil_corr,ps5,ps6,ps_choice,ps_factor,normyield,normyield_err
25506,signal,LH2,PI-SIDIS,29.789,53.98,0.9994,1.0,1.017204,-1.0,1.0,ps6,1.0,162.268,2.37644
25507,signal,LH2,PI-SIDIS,30.258,61.058,0.9993,1.0,1.017091,-1.0,1.0,ps6,1.0,159.945,2.218
25508,signal,LH2,PI-SIDIS,30.281,54.02,0.9994,1.0,1.016951,-1.0,1.0,ps6,1.0,157.208,2.3436
25509,signal,LH2,PI-SIDIS,30.284,53.572,0.9994,1.0,1.01722,-1.0,1.0,ps6,1.0,154.611,2.35685
25510,signal,LH2,PI-SIDIS,29.124,18.856,0.9995,1.0,1.016979,-1.0,1.0,ps6,1.0,163.408,4.0169
25511,signal,LH2,PI-SIDIS,30.137,34.006,0.9993,1.0,1.017124,-1.0,1.0,ps6,1.0,155.708,2.96924
25512,signal,LH2,PI-SIDIS,15.089,27.081,0.9997,1.0,1.01002,-1.0,1.0,ps6,1.0,163.988,2.96717
25513,signal,LH2,PI-SIDIS,15.223,26.778,0.9995,1.0,1.010237,-1.0,1.0,ps6,1.0,163.645,2.97293
25532,signal,LH2,PI-SIDIS,29.946,52.579,0.9994,1.0,1.017297,-1.0,1.0,ps6,1.0,159.627,2.39309
25533,signal,LH2,PI-SIDIS,29.995,30.622,0.9993,1.0,1.017282,-1.0,1.0,ps6,1.0,159.224,3.12724
25534,signal,LH2,PI-SIDIS,29.454,40.299,0.9994,1.0,1.01658,-1.0,1.0,ps6,1.0,160.364,2.7173
25536,signal,LH2,PI-SIDIS,28.447,13.434,0.9995,1.0,1.016238,-1.0,1.0,ps6,1.0,160.135,4.72171
25538,signal,LH2,PI-SIDIS,28.263,49.644,0.9995,1.0,1.017924,-1.0,1.0,ps6,1.0,156.425,2.42644
25514,dummy,Dummy,PI-SIDIS,20.131,34.645,0.9995,1.0,1.0,-1.0,1.0,ps6,1.0,106.546,2.13482
