run,category,target_raw,run_type_raw,BCM2_I,BCM2_Q,h_esing_Eff,comp_livetime,boil_corr,ps5,ps6,ps_choice,ps_factor,normyield,normyield_err
25181,signal,LH2,PI-SIDIS,47.421,83.689,0.999,1.0,1.034588,-1.0,1.0,ps6,1.0,148.998,1.68589
25182,signal,LH2,PI-SIDIS,45.137,70.45,0.9991,1.0,1.032904,-1.0,1.0,ps6,1.0,146.532,1.82041
25183,signal,LH2,PI-SIDIS,47.445,62.486,0.999,1.0,1.03386,1.0,-1.0,ps5,1.0,161.289,1.99631
25184,signal,LH2,PI-SIDIS,25.139,44.246,0.999,1.0,1.018178,1.0,-1.0,ps5,1.0,159.736,2.15992
25185,signal,LH2,PI-SIDIS,24.787,42.547,0.9991,1.0,1.017566,-1.0,1.0,ps6,1.0,154.79,2.17802
25187,signal,LH2,PI-SIDIS,25.162,43.043,0.9991,1.0,1.018538,-1.0,1.0,ps6,1.0,150.07,2.14036
25203,signal,LH2,PI-SIDIS,43.626,108.65,0.999,1.0,1.037532,-1.0,1.0,ps6,1.0,147.265,1.44459
25204,signal,LH2,PI-SIDIS,22.351,44.598,0.9991,1.0,1.016398,-1.0,1.0,ps6,1.0,153.258,2.09832
25189,dummy,Dummy,PI-SIDIS,39.666,69.676,0.999,1.0,1.0,-1.0,1.0,ps6,1.0,100.888,1.41769
25190,dummy,Dummy,PI-SIDIS,39.935,67.836,0.9992,1.0,1.0,-1.0,1.0,ps6,1.0,99.2409,1.42918
