run,category,target_raw,run_type_raw,BCM4A_Q,h_esing_Eff,comp_livetime,electr_deadtime,fan_mean,boil_corr,ps5,ps6,ps_choice,ps_factor
24213,signal,LD2,PI+SIDIS,58.021,0.9986,1.0,99.9554,36.1919,1.011845,-1.0,1.0,ps6,1.0
24214,signal,LD2,PI+SIDIS,46.853,0.9989,1.0,99.9556,34.5378,1.011955,-1.0,1.0,ps6,1.0
24215,signal,LD2,PI+SIDIS,60.952,0.9987,1.0,99.9538,34.1701,1.012584,-1.0,1.0,ps6,1.0
24216,signal,LD2,PI+SIDIS,65.986,0.9987,1.0,99.9534,34.5458,1.012798,-1.0,1.0,ps6,1.0
24217,signal,LD2,PI+SIDIS,60.453,0.9986,1.0,99.9539,33.0287,1.012099,-1.0,1.0,ps6,1.0
24218,signal,LD2,PI+SIDIS,58.398,0.9988,1.0,99.9541,32.2015,1.011856,-1.0,1.0,ps6,1.0
24219,signal,LD2,PI+SIDIS,43.573,0.9987,1.0,99.9693,34.1559,1.008552,-1.0,1.0,ps6,1.0
24220,signal,LD2,PI+SIDIS,20.435,0.9987,1.0,99.985,34.8859,1.00421,-1.0,1.0,ps6,1.0
24250,signal,LD2,PI+SIDIS,56.564,0.9985,1.0,99.9557,33.112,1.011491,-1.0,1.0,ps6,1.0
24251,signal,LD2,PI+SIDIS,59.595,0.9987,1.0,99.9556,35.7939,1.011668,-1.0,1.0,ps6,1.0
24252,signal,LD2,PI+SIDIS,60.684,0.9986,1.0,99.9553,34.0269,1.011928,-1.0,1.0,ps6,1.0
24253,signal,LD2,PI+SIDIS,62.75,0.9986,1.0,99.955,36.2641,1.012304,-1.0,1.0,ps6,1.0
24254,signal,LD2,PI+SIDIS,61.862,0.9985,1.0,99.9552,33.8859,1.012183,-1.0,1.0,ps6,1.0
24255,signal,LD2,PI+SIDIS,60.176,0.999,1.0,99.9553,34.8673,1.011703,-1.0,1.0,ps6,1.0
24266,signal,LD2,PI+SIDIS,41.019,0.9986,1.0,99.9694,36.1936,1.008389,-1.0,1.0,ps6,1.0
24267,signal,LD2,PI+SIDIS,21.327,0.9986,1.0,99.9849,37.1668,1.004254,-1.0,1.0,ps6,1.0
24232,dummy,Dummy,PI+SIDIS,71.377,0.9984,1.0,99.984,35.3867,1.0,-1.0,1.0,ps6,1.0
24233,dummy,Dummy,PI+SIDIS,68.004,0.9983,1.0,99.984,35.7771,1.0,-1.0,1.0,ps6,1.0
24234,dummy,Dummy,PI+SIDIS,70.338,0.9988,1.0,99.9839,37.8635,1.0,-1.0,1.0,ps6,1.0
24268,dummy,Dummy,PI+SIDIS,69.271,0.9988,1.0,99.9839,34.9599,1.0,-1.0,1.0,ps6,1.0
24269,dummy,Dummy,PI+SIDIS,59.712,0.9988,1.0,99.9839,32.1047,1.0,-1.0,1.0,ps6,1.0
24553,positron,LD2,PI+SIDIS,41.121,0.9963,1.0,99.956,32.4016,1.010561,-1.0,1.0,ps6,1.0
24555,positron_dummy,Dummy,PI+SIDIS,57.277,0.995,1.0,99.9843,30.7592,1.0,-1.0,1.0,ps6,1.0
