run,category,target_raw,run_type_raw,BCM4A_Q,h_esing_Eff,comp_livetime,electr_deadtime,fan_mean,boil_corr,ps5,ps6,ps_choice,ps_factor
23876,signal,LH2,PI-SIDIS,31.895,0.9984,1.0,99.9656,38.5871,1.011334,-1.0,1.0,ps6,1.0
23880,signal,LH2,PI-SIDIS,17.939,0.9987,1.0,99.9675,37.9578,1.01095,1.0,-1.0,ps5,1.0
23881,signal,LH2,PI-SIDIS,22.029,0.9991,1.0,99.9699,42.3853,1.009454,-1.0,1.0,ps6,1.0
23882,signal,LH2,PI-SIDIS,25.025,0.9987,1.0,99.9699,39.5891,1.010214,-1.0,1.0,ps6,1.0
23883,signal,LH2,PI-SIDIS,24.638,0.9985,1.0,99.97,38.1712,1.010174,-1.0,1.0,ps6,1.0
23884,signal,LH2,PI-SIDIS,25.831,0.9989,1.0,99.9691,36.4863,1.010628,-1.0,1.0,ps6,1.0
23885,signal,LH2,PI-SIDIS,12.7,0.9989,1.0,99.9848,37.2879,1.005397,-1.0,1.0,ps6,1.0
23892,signal,LH2,PI-SIDIS,40.049,0.9986,1.0,99.9565,40.2993,1.014189,-1.0,1.0,ps6,1.0
23893,signal,LH2,PI-SIDIS,35.891,0.9989,1.0,99.9565,41.8859,1.013767,-1.0,1.0,ps6,1.0
23894,signal,LH2,PI-SIDIS,35.845,0.9986,1.0,99.9568,42.5618,1.013729,-1.0,1.0,ps6,1.0
23895,signal,LH2,PI-SIDIS,36.62,0.9991,1.0,99.957,37.7279,1.013943,-1.0,1.0,ps6,1.0
23896,signal,LH2,PI-SIDIS,22.419,0.9987,1.0,99.9785,37.8592,1.007501,-1.0,1.0,ps6,1.0
23904,signal,LH2,PI-SIDIS,33.892,0.9986,1.0,99.9566,-999.0,-999.0,-1.0,1.0,ps6,1.0
23905,signal,LH2,PI-SIDIS,33.055,0.9987,1.0,99.957,37.6976,1.013591,-1.0,1.0,ps6,1.0
23906,signal,LH2,PI-SIDIS,32.935,0.9984,1.0,99.9568,37.8195,1.013833,-1.0,1.0,ps6,1.0
23907,signal,LH2,PI-SIDIS,35.007,0.9989,1.0,99.9567,39.4729,1.0141,-1.0,1.0,ps6,1.0
23908,signal,LH2,PI-SIDIS,18.929,0.9979,1.0,99.9781,37.7488,1.007591,-1.0,1.0,ps6,1.0
23942,signal,LH2,PI-SIDIS,16.082,0.9983,1.0,99.9782,36.572,1.007503,-1.0,1.0,ps6,1.0
23943,signal,LH2,PI-SIDIS,4.968,0.9975,1.0,99.9784,36.3402,1.007469,-1.0,1.0,ps6,1.0
23944,signal,LH2,PI-SIDIS,33.909,0.9986,1.0,99.9566,36.2271,1.014414,-1.0,1.0,ps6,1.0
23945,signal,LH2,PI-SIDIS,21.652,0.9992,1.0,99.957,37.2301,1.013696,-1.0,1.0,ps6,1.0
23946,signal,LH2,PI-SIDIS,35.0,0.9984,1.0,99.9562,39.1764,1.014291,-1.0,1.0,ps6,1.0
23947,signal,LH2,PI-SIDIS,34.594,0.9985,1.0,99.9563,40.3642,1.014109,-1.0,1.0,ps6,1.0
23950,signal,LH2,PI-SIDIS,40.742,0.9987,1.0,99.9565,37.2608,1.014434,-1.0,1.0,ps6,1.0
23951,signal,LH2,PI-SIDIS,43.628,0.9988,1.0,99.9561,39.2851,1.014197,-1.0,1.0,ps6,1.0
23952,signal,LH2,PI-SIDIS,35.486,0.9985,1.0,99.9567,36.372,1.013986,-1.0,1.0,ps6,1.0
23953,signal,LH2,PI-SIDIS,34.879,0.999,1.0,99.9567,36.4497,1.014368,-1.0,1.0,ps6,1.0
23954,signal,LH2,PI-SIDIS,17.907,0.9987,1.0,99.9786,36.8086,1.007433,-1.0,1.0,ps6,1.0
23879,dummy,Dummy,PI-SIDIS,27.95,0.9985,1.0,99.9705,39.395,1.0,-1.0,1.0,ps6,1.0
23890,dummy,Dummy,PI-SIDIS,19.229,0.9988,1.0,99.9708,35.6972,1.0,-1.0,1.0,ps6,1.0
23891,dummy,Dummy,PI-SIDIS,15.083,0.9994,1.0,99.9846,38.372,1.0,-1.0,1.0,ps6,1.0
23901,dummy,Dummy,PI-SIDIS,10.644,0.9977,1.0,99.9808,39.5951,1.0,-1.0,1.0,ps6,1.0
23902,dummy,Dummy,PI-SIDIS,35.617,0.9986,1.0,99.9605,-999.0,1.0,-1.0,1.0,ps6,1.0
23903,dummy,Dummy,PI-SIDIS,4.741,0.9977,1.0,99.9602,35.8506,1.0,-1.0,1.0,ps6,1.0
23948,dummy,Dummy,PI-SIDIS,45.318,0.9988,1.0,99.9598,37.7785,1.0,-1.0,1.0,ps6,1.0
23949,dummy,Dummy,PI-SIDIS,8.2,0.9995,1.0,99.9805,35.9732,1.0,-1.0,1.0,ps6,1.0
23955,dummy,Dummy,PI-SIDIS,31.694,0.9988,1.0,99.9606,37.5945,1.0,-1.0,1.0,ps6,1.0
23956,dummy,Dummy,PI-SIDIS,11.048,0.9996,1.0,99.9804,39.7245,1.0,-1.0,1.0,ps6,1.0
24598,positron,LH2,PI-SIDIS,57.338,0.9952,1.0,99.9567,35.102,1.013855,-1.0,1.0,ps6,1.0
24599,positron,LH2,PI-SIDIS,58.117,0.9961,1.0,99.9565,33.7828,1.014698,-1.0,1.0,ps6,1.0
24600,positron_dummy,Dummy,PI-SIDIS,73.034,0.9958,1.0,99.9501,35.668,1.0,-1.0,1.0,ps6,1.0
