run,category,target_raw,run_type_raw,BCM4A_Q,h_esing_Eff,comp_livetime,electr_deadtime,fan_mean,boil_corr,ps5,ps6,ps_choice,ps_factor
24310,signal,LD2,PI+SIDIS,25.083,0.9991,1.0,99.9574,33.8533,1.004785,-1.0,1.0,ps6,1.0
24311,signal,LD2,PI+SIDIS,24.94,0.9986,1.0,99.9561,36.1576,1.004928,-1.0,1.0,ps6,1.0
24312,signal,LD2,PI+SIDIS,27.578,0.9985,1.0,99.9559,34.1614,1.004994,-1.0,1.0,ps6,1.0
24313,signal,LD2,PI+SIDIS,35.371,0.9984,1.0,99.9566,33.6503,1.004833,-1.0,1.0,ps6,1.0
24314,signal,LD2,PI+SIDIS,23.304,0.9987,1.0,99.9566,33.5876,1.004819,-1.0,1.0,ps6,1.0
24315,signal,LD2,PI+SIDIS,20.054,0.9989,1.0,99.9564,34.3751,1.004909,-1.0,1.0,ps6,1.0
24316,signal,LD2,PI+SIDIS,23.525,0.9986,1.0,99.9565,36.9632,1.004786,-1.0,1.0,ps6,1.0
24317,signal,LD2,PI+SIDIS,24.749,0.9987,1.0,99.9563,35.4047,1.004902,-1.0,1.0,ps6,1.0
24318,signal,LD2,PI+SIDIS,4.696,0.9985,1.0,99.9793,36.2855,1.002261,-1.0,1.0,ps6,1.0
24376,signal,LD2,PI+SIDIS,15.812,0.999,1.0,99.9567,30.7463,1.004827,-1.0,1.0,ps6,1.0
24377,signal,LD2,PI+SIDIS,24.389,0.9986,1.0,99.9564,28.8714,1.004847,-1.0,1.0,ps6,1.0
24378,signal,LD2,PI+SIDIS,20.112,0.9989,1.0,99.9565,31.7633,1.004841,-1.0,1.0,ps6,1.0
24379,signal,LD2,PI+SIDIS,24.206,0.9986,1.0,99.9563,35.9283,1.004886,-1.0,1.0,ps6,1.0
24380,signal,LD2,PI+SIDIS,24.495,0.9987,1.0,99.9566,35.6112,1.004861,-1.0,1.0,ps6,1.0
24381,signal,LD2,PI+SIDIS,24.749,0.9986,1.0,99.9566,33.8938,1.00489,-1.0,1.0,ps6,1.0
24382,signal,LD2,PI+SIDIS,25.104,0.9986,1.0,99.9562,36.3702,1.004901,-1.0,1.0,ps6,1.0
24383,signal,LD2,PI+SIDIS,25.356,0.9988,1.0,99.9562,31.175,1.004949,-1.0,1.0,ps6,1.0
24384,signal,LD2,PI+SIDIS,12.762,0.9986,1.0,99.9785,36.0157,1.002428,-1.0,1.0,ps6,1.0
24415,signal,LD2,PI+SIDIS,3.277,0.9986,1.0,99.9565,35.176,1.004846,-1.0,1.0,ps6,1.0
24416,signal,LD2,PI+SIDIS,21.448,0.9987,1.0,99.9563,35.4191,1.004675,-1.0,1.0,ps6,1.0
24417,signal,LD2,PI+SIDIS,25.705,0.9983,1.0,99.956,39.1664,1.004966,-1.0,1.0,ps6,1.0
24418,signal,LD2,PI+SIDIS,26.25,0.9988,1.0,99.9561,34.6732,1.004815,-1.0,1.0,ps6,1.0
24419,signal,LD2,PI+SIDIS,23.798,0.9987,1.0,99.9562,32.6157,1.004919,-1.0,1.0,ps6,1.0
24421,signal,LD2,PI+SIDIS,3.361,0.9984,1.0,99.9572,35.2685,1.004789,-1.0,1.0,ps6,1.0
24422,signal,LD2,PI+SIDIS,15.311,0.9987,1.0,99.9565,31.9101,1.004795,-1.0,1.0,ps6,1.0
24423,signal,LD2,PI+SIDIS,12.142,0.9989,1.0,99.9784,31.8747,1.002429,-1.0,1.0,ps6,1.0
24335,dummy,Dummy,PI+SIDIS,8.613,0.9981,1.0,99.9613,32.6288,1.0,-1.0,1.0,ps6,1.0
24336,dummy,Dummy,PI+SIDIS,61.238,0.9986,1.0,99.9573,34.2478,1.0,-1.0,1.0,ps6,1.0
24337,dummy,Dummy,PI+SIDIS,68.839,0.9988,1.0,99.9552,37.2274,1.0,-1.0,1.0,ps6,1.0
24338,dummy,Dummy,PI+SIDIS,76.174,0.9986,1.0,99.9546,35.5818,1.0,-1.0,1.0,ps6,1.0
24339,dummy,Dummy,PI+SIDIS,69.995,0.9985,1.0,99.955,32.1439,1.0,-1.0,1.0,ps6,1.0
24400,dummy,Dummy,PI+SIDIS,49.973,0.9986,1.0,99.9557,34.8614,1.0,-1.0,1.0,ps6,1.0
24401,dummy,Dummy,PI+SIDIS,52.828,0.9989,1.0,99.9559,34.9086,1.0,-1.0,1.0,ps6,1.0
24402,dummy,Dummy,PI+SIDIS,70.313,0.9986,1.0,99.9553,33.901,1.0,-1.0,1.0,ps6,1.0
24558,positron,LD2,PI+SIDIS,34.88,0.9949,1.0,99.9529,31.8798,1.005233,-1.0,1.0,ps6,1.0
24602,positron,LD2,PI+SIDIS,34.896,0.9972,1.0,99.953,33.2232,1.005288,-1.0,1.0,ps6,1.0
