run,category,target_raw,run_type_raw,BCM4A_Q,h_esing_Eff,comp_livetime,electr_deadtime,fan_mean,boil_corr,ps5,ps6,ps_choice,ps_factor
24187,signal,LH2,PI+SIDIS,76.37,0.9985,1.0,99.9897,37.2565,1.028493,-1.0,1.0,ps6,1.0
24188,signal,LH2,PI+SIDIS,81.301,0.9984,1.0,99.9896,40.4055,1.026365,1.0,-1.0,ps5,1.0
24189,signal,LH2,PI+SIDIS,73.895,0.999,1.0,99.9899,39.8076,1.025271,-1.0,1.0,ps6,1.0
24190,signal,LH2,PI+SIDIS,82.126,0.9989,1.0,99.9896,40.0233,1.026398,-1.0,1.0,ps6,1.0
24191,signal,LH2,PI+SIDIS,71.296,0.9985,1.0,99.9901,40.2543,1.023552,-1.0,1.0,ps6,1.0
24192,signal,LH2,PI+SIDIS,80.29,0.9988,1.0,99.9898,33.6464,1.031806,-1.0,1.0,ps6,1.0
24193,signal,LH2,PI+SIDIS,71.497,0.9982,1.0,99.9901,32.9648,1.031022,-1.0,1.0,ps6,1.0
24194,signal,LH2,PI+SIDIS,78.843,0.9986,1.0,99.9898,33.4279,1.032629,-1.0,1.0,ps6,1.0
24195,signal,LH2,PI+SIDIS,82.122,0.9984,1.0,99.99,33.5419,1.030051,-1.0,1.0,ps6,1.0
24196,signal,LH2,PI+SIDIS,49.704,0.9992,1.0,99.9937,32.2506,1.022711,-1.0,1.0,ps6,1.0
24197,signal,LH2,PI+SIDIS,31.425,0.9997,1.0,99.9969,33.2201,1.012354,-1.0,1.0,ps6,1.0
24206,dummy,Dummy,PI+SIDIS,64.783,0.9984,1.0,99.9954,39.0776,1.0,-1.0,1.0,ps6,1.0
24543,positron,LH2,PI+SIDIS,40.984,0.9911,1.0,99.9897,36.5307,1.029963,-1.0,1.0,ps6,1.0
