run,category,target_raw,run_type_raw,BCM4A_Q,h_esing_Eff,comp_livetime,electr_deadtime,fan_mean,boil_corr,ps5,ps6,ps_choice,ps_factor
24969,signal,LH2,PI+SIDIS,30.936,0.9984,1.0,99.9562,33.7588,1.013166,-1.0,1.0,ps6,1.0
24970,signal,LH2,PI+SIDIS,34.356,0.9985,1.0,99.9562,33.1689,1.013162,-1.0,1.0,ps6,1.0
24971,signal,LH2,PI+SIDIS,33.625,0.9984,1.0,99.9563,33.1536,1.013112,-1.0,1.0,ps6,1.0
24972,signal,LH2,PI+SIDIS,33.914,0.9985,1.0,99.9561,33.4505,1.013307,1.0,-1.0,ps5,1.0
24974,signal,LH2,PI+SIDIS,17.177,0.9983,1.0,99.9781,33.403,1.006617,-1.0,1.0,ps6,1.0
24975,signal,LH2,PI+SIDIS,16.875,0.9984,1.0,99.9781,33.741,1.00666,-1.0,1.0,ps6,1.0
25002,signal,LH2,PI+SIDIS,16.877,0.9984,1.0,99.9783,33.0587,1.006514,-1.0,1.0,ps6,1.0
25003,signal,LH2,PI+SIDIS,15.641,0.9985,1.0,99.9781,33.1301,1.0066,-1.0,1.0,ps6,1.0
24981,dummy,Dummy,PI+SIDIS,36.719,0.9985,1.0,99.9634,33.372,1.0,-1.0,1.0,ps6,1.0
24982,dummy,Dummy,PI+SIDIS,37.342,0.9983,1.0,99.9633,32.9517,1.0,-1.0,1.0,ps6,1.0
25004,dummy,Dummy,PI+SIDIS,38.405,0.9984,1.0,99.9632,33.2403,1.0,-1.0,1.0,ps6,1.0
25005,dummy,Dummy,PI+SIDIS,34.274,0.9983,1.0,99.963,33.368,1.0,-1.0,1.0,ps6,1.0
