run,category,target_raw,run_type_raw,BCM4A_Q,h_esing_Eff,comp_livetime,electr_deadtime,fan_mean,boil_corr,ps5,ps6,ps_choice,ps_factor
25076,signal,LD2,PI-SIDIS,14.234,0.9986,1.0,99.966,33.245,1.002807,-1.0,1.0,ps6,1.0
25077,signal,LD2,PI-SIDIS,13.724,0.9986,1.0,99.966,33.4734,1.002811,-1.0,1.0,ps6,1.0
25078,signal,LD2,PI-SIDIS,15.095,0.9985,1.0,99.9662,34.0202,1.002796,-1.0,1.0,ps6,1.0
25079,signal,LD2,PI-SIDIS,9.242,0.9985,1.0,99.9789,34.8896,1.001753,-1.0,1.0,ps6,1.0
25080,signal,LD2,PI-SIDIS,9.191,0.9986,1.0,99.9789,34.4772,1.001741,-1.0,1.0,ps6,1.0
25108,signal,LD2,PI-SIDIS,18.086,0.9984,1.0,99.9575,31.2333,1.0035,-1.0,1.0,ps6,1.0
25109,signal,LD2,PI-SIDIS,18.994,0.9985,1.0,99.9576,30.7604,1.003493,-1.0,1.0,ps6,1.0
25110,signal,LD2,PI-SIDIS,19.116,0.9984,1.0,99.9574,30.3129,1.00352,-1.0,1.0,ps6,1.0
25111,signal,LD2,PI-SIDIS,11.222,0.9984,1.0,99.9743,29.7047,1.002126,-1.0,1.0,ps6,1.0
25112,signal,LD2,PI-SIDIS,11.158,0.9983,1.0,99.9744,29.6293,1.002116,-1.0,1.0,ps6,1.0
25092,dummy,Dummy,PI-SIDIS,35.582,0.9986,1.0,99.9687,35.599,1.0,-1.0,1.0,ps6,1.0
25093,dummy,Dummy,PI-SIDIS,37.356,0.9985,1.0,99.9682,35.6573,1.0,-1.0,1.0,ps6,1.0
25120,dummy,Dummy,PI-SIDIS,36.568,0.9984,1.0,99.9681,35.1815,1.0,-1.0,1.0,ps6,1.0
25121,dummy,Dummy,PI-SIDIS,38.761,0.9985,1.0,99.9682,35.3519,1.0,-1.0,1.0,ps6,1.0
