run,category,target_raw,run_type_raw,BCM4A_Q,h_esing_Eff,comp_livetime,electr_deadtime,fan_mean,boil_corr,ps5,ps6,ps_choice,ps_factor
25205,signal,LH2,PI-SIDIS,58.14,0.9983,1.0,99.9575,27.1018,1.025173,-1.0,1.0,ps6,1.0
25206,signal,LH2,PI-SIDIS,56.739,0.9985,1.0,99.9573,29.3934,1.023924,-1.0,1.0,ps6,1.0
25207,signal,LH2,PI-SIDIS,61.321,0.9982,1.0,99.9569,30.9665,1.024198,-1.0,1.0,ps6,1.0
25208,signal,LH2,PI-SIDIS,47.736,0.9984,1.0,99.957,31.029,1.024287,1.0,-1.0,ps5,1.0
25210,signal,LH2,PI-SIDIS,29.19,0.9985,1.0,99.9785,32.6804,1.011461,-1.0,1.0,ps6,1.0
25211,signal,LH2,PI-SIDIS,28.872,0.9985,1.0,99.9783,34.3097,1.011631,-1.0,1.0,ps6,1.0
25217,signal,LH2,PI-SIDIS,57.156,0.9983,1.0,99.957,35.9442,1.022073,-1.0,1.0,ps6,1.0
25218,signal,LH2,PI-SIDIS,63.042,0.9985,1.0,99.9573,35.972,1.021408,-1.0,1.0,ps6,1.0
25219,signal,LH2,PI-SIDIS,64.788,0.9984,1.0,99.9569,34.902,1.022493,-1.0,1.0,ps6,1.0
25220,signal,LH2,PI-SIDIS,31.209,0.9984,1.0,99.9783,35.4332,1.011715,-1.0,1.0,ps6,1.0
25221,signal,LH2,PI-SIDIS,28.558,0.9984,1.0,99.9783,36.6142,1.011738,-1.0,1.0,ps6,1.0
25214,dummy,Dummy,PI-SIDIS,65.873,0.9985,1.0,99.9574,35.2306,1.0,-1.0,1.0,ps6,1.0
25222,dummy,Dummy,PI-SIDIS,73.728,0.9983,1.0,99.9575,34.5883,1.0,-1.0,1.0,ps6,1.0
