setting_id,pt_bin,z_bin,phibin,pt_lo,pt_hi,pt_center,z_lo,z_hi,z_center,phi_lo,phi_hi,phi_center,yield_sig,yield_pos,yield_dum,yield_posdum,yield_net,yield_net_err,yield_sim,yield_sim_err,xsec,xsec_stat
pass4/pi+sidis/LH2/z0p5/x0p25/q23p3/hmsPneg1p531_shmsP3p632_hmsTh29p045_shmsTh7p865_thpq2,0,0,0,0,0.1,0.05,0.3,0.4,0.35,0,0.785398,0.392699,0,0,0,0,0,0,0,0,0,0
pass4/pi+sidis/LH2/z0p5/x0p25/q23p3/hmsPneg1p531_shmsP3p632_hmsTh29p045_shmsTh7p865_thpq2,0,0,1,0,0.1,0.05,0.3,0.4,0.35,0.785398,1.5708,1.1781,0,0,0,0,0,0,0,0,0,0
pass4/pi+sidis/LH2/z0p5/x0p25/q23p3/hmsPneg1p531_shmsP3p632_hmsTh29p045_shmsTh7p865_thpq2,0,0,2,0,0.1,0.05,0.3,0.4,0.35,1.5708,2.35619,1.9635,0,0,0,0,0,0,0,0,0,0
pass4/pi+sidis/LH2/z0p5/x0p25/q23p3/hmsPneg1p531_shmsP3p632_hmsTh29p045_shmsTh7p865_thpq2,0,0,3,0,0.1,0.05,0.3,0.4,0.35,2.35619,3.14159,2.74889,0,0,0,0,0,0,0,0,0,0
pass4/pi+sidis/LH2/z0p5/x0p25/q23p3/hmsPneg1p531_shmsP3p632_hmsTh29p045_shmsTh7p865_thpq2,0,0,4,0,0.1,0.05,0.3,0.4,0.35,3.14159,3.92699,3.53429,0,0,0,0,0,0,0,0,0,0
pass4/pi+sidis/LH2/z0p5/x0p25/q23p3/hmsPneg1p531_shmsP3p632_hmsTh29p045_shmsTh7p865_thpq2,0,0,5,0,0.1,0.05,0.3,0.4,0.35,3.92699,4.71239,4.31969,0,0,0,0,0,0,0,0,0,0
pass4/pi+sidis/LH2/z0p5/x0p25/q23p3/hmsPneg1p531_shmsP3p632_hmsTh29p045_shmsTh7p865_thpq2,0,0,6,0,0.1,0.05,0.3,0.4,0.35,4.71239,5.49779,5.10509,0,0,0,0,0,0,0,0,0,0
pass4/pi+sidis/LH2/z0p5/x0p25/q23p3/hmsPneg1p531_shmsP3p632_hmsTh29p045_shmsTh7p865_thpq2,0,0,7,0,0.1,0.05,0.3,0.4,0.35,5.49779,6.28319,5.89049,0,0,0,0,0,0,0,0,0,0
pass4/pi+sidis/LH2/z0p5/x0p25/q23p3/hmsPneg1p531_shmsP3p632_hmsTh29p045_shmsTh7p865_thpq2,0,1,0,0,0.1,0.05,0.4,0.5,0.45,0,0.785398,0.392699,0,0,0,0,0,0,767.453,391.376,0,0
pass4/pi+sidis/LH2/z0p5/x0p25/q23p3/hmsPneg1p531_shmsP3p632_hmsTh29p045_shmsTh7p865_thpq2,0,1,1,0,0.1,0.05,0.4,0.5,0.45,0.785398,1.5708,1.1781,0,0,0,0,0,0,2404.61,671.539,0,0
pass4/pi+sidis/LH2/z0p5/x0p25/q23p3/hmsPneg1p531_shmsP3p632_hmsTh29p045_shmsTh7p865_thpq2,0,1,2,0,0.1,0.05,0.4,0.5,0.45,1.5708,2.35619,1.9635,0,0,0,0,0,0,34816.3,2645.1,0,0
pass4/pi+sidis/LH2/z0p5/x0p25/q23p3/hmsPneg1p531_shmsP3p632_hmsTh29p045_shmsTh7p865_thpq2,0,1,3,0,0.1,0.05,0.4,0.5,0.45,2.35619,3.14159,2.74889,0,0,0,0,0,0,73740.2,3987.01,0,0
