run,category,target_raw,run_type_raw,BCM4A_Q,h_esing_Eff,comp_livetime,electr_deadtime,fan_mean,boil_corr,ps5,ps6,ps_choice,ps_factor
24221,signal,LD2,HMSDIS,9224.967,0.9987,0.99649,98.4986,34.7077,1.004199,-1.0,-1.0,ps5,-1.0
24256,signal,LD2,HMSDIS,26826.394,0.9985,0.99874,95.481,36.2925,1.012452,-1.0,-1.0,ps5,-1.0
24284,signal,LD2,HMSDIS,39278.539,0.9986,1.0,93.5597,38.142,1.017055,-1.0,-1.0,ps5,-1.0
24285,signal,LD2,HMSDIS,25134.224,0.9986,0.99943,94.8497,38.7477,1.014059,-1.0,-1.0,ps5,-1.0
24286,signal,LD2,HMSDIS,27041.962,0.9985,1.0,96.179,38.4708,1.01054,-1.0,-1.0,ps5,-1.0
24287,signal,LD2,HMSDIS,19657.08,0.9986,1.0,97.5111,40.2503,1.006666,-1.0,-1.0,ps5,-1.0
24289,signal,LD2,HMSDIS,10809.725,0.9987,0.99819,98.752,38.3954,1.003511,-1.0,-1.0,ps5,-1.0
24290,signal,LD2,HMSDIS,11138.295,0.9987,0.99938,99.1358,36.4609,1.002429,-1.0,-1.0,ps5,-1.0
24291,signal,LD2,HMSDIS,1832.83,0.9986,1.0,99.6123,34.9195,1.001091,-1.0,-1.0,ps5,-1.0
24235,dummy,Dummy,HMSDIS,18830.199,0.9987,0.99966,99.2097,36.3026,1.0,-1.0,-1.0,ps5,-1.0
