mode,group_id,curve_label,setting_id,pt_bin,z_bin,pt_lo,pt_hi,pt_center,z_lo,z_hi,z_center,npts,npts_fit,phi_min,phi_max,phi_span,phi_occ,phi_nsectors,dominant_wfrac,M0,M0_err,A,A_err,B,B_err,A_sig,B_sig,chi2,ndf,chi2_ndf,prob,fit_tier,fit_status,cov_status,fit_flag_bits,valid_fit_default,valid_M0_default,valid_A_default,valid_B_default,attempts,note
group,grp_pass4_piminus_LH2_zOv_x0p25_q23p3_thpq2,z = 0.36,pass4/pi-sidis/LH2/z0p36/x0p25/q23p3/hmsPneg1p531_shmsPneg2p615_hmsTh29p045_shmsTh7p865_thpq2,0,-1,0,0.1,0.05,-999,-999,0.36,11,11,0.981748,4.90874,3.92699,6,8,0.203059,0.00110876,0.00014544,0.295528,0.163889,0.0388013,0.0867392,1.80322,0.447333,8.40991,8,1.05124,0.394487,2,0,3,131072,1,1,1,0,t2:ok_or_best,B_SIG_LOW
group,grp_pass4_piminus_LH2_zOv_x0p25_q23p3_thpq2,z = 0.50,pass4/pi-sidis/LH2/z0p5/x0p25/q23p3/hmsPneg1p531_shmsPneg3p632_hmsTh29p045_shmsTh7p865_thpq2,0,-1,0,0.1,0.05,-999,-999,0.5,8,8,1.76715,4.51604,2.74889,4,8,0.223741,0.000894667,0.000105889,0.289332,0.107273,-999,-999,2.69715,-999,12.1401,6,2.02335,0.0589159,1,0,3,0,1,1,1,0,t1:ok_or_best,
group,grp_pass4_piminus_LH2_zOv_x0p25_q23p3_thpq2,z = 0.67,pass4/pi-sidis/LH2/z0p67/x0p25/q23p3/hmsPneg1p531_shmsPneg4p868_hmsTh29p045_shmsTh7p865_thpq2,0,-1,0,0.1,0.05,-999,-999,0.67,8,8,1.76715,4.51604,2.74889,4,8,0.283833,0.000852396,8.15667e-05,0.523691,0.0656048,-999,-999,7.98251,-999,2.34013,6,0.390022,0.885913,1,0,3,0,1,1,1,0,t1:ok_or_best,
group,grp_pass4_piminus_LH2_zOv_x0p25_q23p3_thpq2,z = 0.90,pass4/pi-sidis/LH2/z0p9/x0p25/q23p3/hmsPneg1p531_shmsPneg6p538_hmsTh29p045_shmsTh7p865_thpq2,0,-1,0,0.1,0.05,-999,-999,0.9,2,2,2.94524,3.33794,0.3927,2,8,0.519664,0.000571839,0.000145199,-999,-999,-999,-999,-999,-999,0.0148443,1,0.0148443,0.903028,0,0,3,0,1,1,0,0,t0:ok_or_best,
group,grp_pass4_piminus_LH2_zOv_x0p25_q23p3_thpq2,z = 0.36,pass4/pi-sidis/LH2/z0p36/x0p25/q23p3/hmsPneg1p531_shmsPneg2p615_hmsTh29p045_shmsTh7p865_thpq2,1,-1,0.1,0.2,0.15,-999,-999,0.36,9,9,1.76715,4.90874,3.14159,5,8,0.214978,0.00108563,7.08266e-05,0.332809,0.0565015,-999,-999,5.89026,-999,14.9079,7,2.1297,0.0371979,1,0,3,0,1,1,1,0,t1:ok_or_best,
group,grp_pass4_piminus_LH2_zOv_x0p25_q23p3_thpq2,z = 0.50,pass4/pi-sidis/LH2/z0p5/x0p25/q23p3/hmsPneg1p531_shmsPneg3p632_hmsTh29p045_shmsTh7p865_thpq2,1,-1,0.1,0.2,0.15,-999,-999,0.5,8,8,1.76715,4.51604,2.74889,4,8,0.212873,0.00077868,5.18879e-05,0.314586,0.0588079,-999,-999,5.34938,-999,21.9778,6,3.66297,0.00122214,1,0,3,0,1,1,1,0,t1:ok_or_best,
group,grp_pass4_piminus_LH2_zOv_x0p25_q23p3_thpq2,z = 0.67,pass4/pi-sidis/LH2/z0p67/x0p25/q23p3/hmsPneg1p531_shmsPneg4p868_hmsTh29p045_shmsTh7p865_thpq2,1,-1,0.1,0.2,0.15,-999,-999,0.67,8,8,1.76715,4.51604,2.74889,4,8,0.286334,0.000549986,3.89514e-05,0.365992,0.0589506,-999,-999,6.20846,-999,1.01344,6,0.168907,0.985098,1,0,3,0,1,1,1,0,t1:ok_or_best,
group,grp_pass4_piminus_LH2_zOv_x0p25_q23p3_thpq2,z = 0.90,pass4/pi-sidis/LH2/z0p9/x0p25/q23p3/hmsPneg1p531_shmsPneg6p538_hmsTh29p045_shmsTh7p865_thpq2,1,-1,0.1,0.2,0.15,-999,-999,0.9,7,7,1.76715,4.12334,2.35619,4,8,0.232936,0.000303218,0.000134985,0.171758,0.451255,-999,-999,0.380624,-999,8.57537,5,1.71507,0.127248,1,0,3,16384,1,1,0,0,t1:ok_or_best,A_SIG_LOW
group,grp_pass4_piminus_LH2_zOv_x0p25_q23p3_thpq2,z = 0.36,pass4/pi-sidis/LH2/z0p36/x0p25/q23p3/hmsPneg1p531_shmsPneg2p615_hmsTh29p045_shmsTh7p865_thpq2,2,-1,0.2,0.3,0.25,-999,-999,0.36,5,5,2.55254,4.12334,1.5708,3,8,0.320586,0.00186343,0.000296967,0.796441,0.0541084,-999,-999,14.7194,-999,5.85693,3,1.95231,0.118782,1,0,3,0,1,1,1,0,t1:ok_or_best,
group,grp_pass4_piminus_LH2_zOv_x0p25_q23p3_thpq2,z = 0.50,pass4/pi-sidis/LH2/z0p5/x0p25/q23p3/hmsPneg1p531_shmsPneg3p632_hmsTh29p045_shmsTh7p865_thpq2,2,-1,0.2,0.3,0.25,-999,-999,0.5,8,8,1.76715,4.51604,2.74889,4,8,0.240068,0.00060879,7.99597e-05,0.016213,0.150019,-999,-999,0.108073,-999,15.482,6,2.58034,0.0168213,1,0,3,16384,1,1,0,0,t1:ok_or_best,A_SIG_LOW
group,grp_pass4_piminus_LH2_zOv_x0p25_q23p3_thpq2,z = 0.67,pass4/pi-sidis/LH2/z0p67/x0p25/q23p3/hmsPneg1p531_shmsPneg4p868_hmsTh29p045_shmsTh7p865_thpq2,2,-1,0.2,0.3,0.25,-999,-999,0.67,8,8,1.76715,4.51604,2.74889,4,8,0.226634,0.00052906,3.37799e-05,0.356234,0.0529785,-999,-999,6.72413,-999,9.24979,6,1.54163,0.16001,1,0,3,0,1,1,1,0,t1:ok_or_best,
group,grp_pass4_piminus_LH2_zOv_x0p25_q23p3_thpq2,z = 0.90,pass4/pi-sidis/LH2/z0p9/x0p25/q23p3/hmsPneg1p531_shmsPneg6p538_hmsTh29p045_shmsTh7p865_thpq2,2,-1,0.2,0.3,0.25,-999,-999,0.9,8,8,1.76715,4.51604,2.74889,4,8,0.220548,0.000405763,8.59628e-05,0.519844,0.15254,-999,-999,3.40793,-999,4.05572,6,0.675953,0.669136,1,0,3,0,1,1,1,0,t1:ok_or_best,
group,grp_pass4_piminus_LH2_zOv_x0p25_q23p3_thpq2,z = 0.50,pass4/pi-sidis/LH2/z0p5/x0p25/q23p3/hmsPneg1p531_shmsPneg3p632_hmsTh29p045_shmsTh7p865_thpq2,3,-1,0.3,0.4,0.35,-999,-999,0.5,3,3,2.94524,3.73064,0.7854,2,8,0.407143,0.000525539,7.7301e-05,-999,-999,-999,-999,-999,-999,2.07695,2,1.03847,0.353994,0,0,3,0,1,1,0,0,t0:ok_or_best,
group,grp_pass4_piminus_LH2_zOv_x0p25_q23p3_thpq2,z = 0.67,pass4/pi-sidis/LH2/z0p67/x0p25/q23p3/hmsPneg1p531_shmsPneg4p868_hmsTh29p045_shmsTh7p865_thpq2,3,-1,0.3,0.4,0.35,-999,-999,0.67,7,7,2.15984,4.51604,2.3562,4,8,0.263272,0.000455269,6.4299e-05,0.232179,0.133199,-999,-999,1.7431,-999,12.5985,5,2.5197,0.0274463,1,0,3,0,1,1,1,0,t1:ok_or_best,
group,grp_pass4_piminus_LH2_zOv_x0p25_q23p3_thpq2,z = 0.90,pass4/pi-sidis/LH2/z0p9/x0p25/q23p3/hmsPneg1p531_shmsPneg6p538_hmsTh29p045_shmsTh7p865_thpq2,3,-1,0.3,0.4,0.35,-999,-999,0.9,6,6,2.15984,4.12334,1.9635,4,8,0.215219,0.000286667,0.000125775,0.236601,0.40961,-999,-999,0.577627,-999,0.14698,4,0.0367451,0.997428,1,0,3,16384,1,1,0,0,t1:ok_or_best,A_SIG_LOW
