mode,group_id,curve_label,setting_id,pt_bin,z_bin,pt_lo,pt_hi,pt_center,z_lo,z_hi,z_center,npts,npts_fit,phi_min,phi_max,phi_span,phi_occ,phi_nsectors,dominant_wfrac,M0,M0_err,A,A_err,B,B_err,A_sig,B_sig,chi2,ndf,chi2_ndf,prob,fit_tier,fit_status,cov_status,fit_flag_bits,valid_fit_default,valid_M0_default,valid_A_default,valid_B_default,attempts,note
group,grp_pass5_piplus_LD2_zOv_x0p25_q23p3_thpq2,z = 0.36,pass5/pi+sidis/LD2/z0p36/x0p25/q23p3/hmsPneg3p642_shmsP2p615_hmsTh16p75_shmsTh10p305_thpq2,0,-1,0,0.1,0.05,-999,-999,0.36,16,16,0.19635,6.08684,5.89049,8,8,0.175595,0.015829,0.00037638,0.00203643,0.0361486,-0.0846785,0.024287,0.0563349,3.48658,6.30016,13,0.484627,0.934543,2,0,3,16384,1,1,0,1,t2:ok_or_best,A_SIG_LOW
group,grp_pass5_piplus_LD2_zOv_x0p25_q23p3_thpq2,z = 0.50,pass5/pi+sidis/LD2/z0p5/x0p25/q23p3/hmsPneg3p642_shmsP3p632_hmsTh16p75_shmsTh10p305_thpq2,0,-1,0,0.1,0.05,-999,-999,0.5,16,16,0.19635,6.08684,5.89049,8,8,0.182967,0.0181256,0.000399459,0.320981,0.0282823,0.0572352,0.0190673,11.3492,3.00174,8.93978,13,0.687675,0.777477,2,0,3,0,1,1,1,1,t2:ok_or_best,
group,grp_pass5_piplus_LD2_zOv_x0p25_q23p3_thpq2,z = 0.67,pass5/pi+sidis/LD2/z0p67/x0p25/q23p3/hmsPneg3p642_shmsP4p868_hmsTh16p75_shmsTh10p305_thpq2,0,-1,0,0.1,0.05,-999,-999,0.67,16,16,0.19635,6.08684,5.89049,8,8,0.16777,0.0159883,0.000353745,0.318146,0.0286431,0.0575006,0.0212062,11.1072,2.7115,15.4821,13,1.19093,0.278233,2,0,3,0,1,1,1,1,t2:ok_or_best,
group,grp_pass5_piplus_LD2_zOv_x0p25_q23p3_thpq2,z = 0.90,pass5/pi+sidis/LD2/z0p9/x0p25/q23p3/hmsPneg3p642_shmsP6p538_hmsTh16p75_shmsTh10p305_thpq2,0,-1,0,0.1,0.05,-999,-999,0.9,14,14,0.589049,5.69414,5.10509,8,8,0.164665,0.0243982,0.000701221,0.408366,0.0359075,0.0912338,0.0274737,11.3727,3.32077,11.0519,11,1.00472,0.438927,2,0,3,0,1,1,1,1,t2:ok_or_best,
group,grp_pass5_piplus_LD2_zOv_x0p25_q23p3_thpq2,z = 0.36,pass5/pi+sidis/LD2/z0p36/x0p25/q23p3/hmsPneg3p642_shmsP2p615_hmsTh16p75_shmsTh10p305_thpq2,1,-1,0.1,0.2,0.15,-999,-999,0.36,15,15,0.19635,6.08684,5.89049,8,8,0.187969,0.0138218,0.000115001,-999,-999,-999,-999,-999,-999,130.959,14,9.35421,4.39481e-21,0,0,3,128,0,0,0,0,t2:bad(PROB); t1:bad(PROB); t0:ok_or_best,PROB_TINY
group,grp_pass5_piplus_LD2_zOv_x0p25_q23p3_thpq2,z = 0.50,pass5/pi+sidis/LD2/z0p5/x0p25/q23p3/hmsPneg3p642_shmsP3p632_hmsTh16p75_shmsTh10p305_thpq2,1,-1,0.1,0.2,0.15,-999,-999,0.5,15,15,0.19635,5.69414,5.49779,8,8,0.20043,0.0203104,0.000619837,0.539235,0.030868,0.138053,0.0158977,17.469,8.68384,47.736,12,3.978,3.47423e-06,2,0,3,0,1,1,1,1,t2:ok_or_best,
group,grp_pass5_piplus_LD2_zOv_x0p25_q23p3_thpq2,z = 0.67,pass5/pi+sidis/LD2/z0p67/x0p25/q23p3/hmsPneg3p642_shmsP4p868_hmsTh16p75_shmsTh10p305_thpq2,1,-1,0.1,0.2,0.15,-999,-999,0.67,12,12,0.981748,5.30144,4.31969,6,8,0.204477,0.0167987,0.000552627,0.4699,0.0361718,0.110913,0.0191261,12.9908,5.79903,29.8906,9,3.32118,0.00045792,2,0,3,0,1,1,1,1,t2:ok_or_best,
group,grp_pass5_piplus_LD2_zOv_x0p25_q23p3_thpq2,z = 0.90,pass5/pi+sidis/LD2/z0p9/x0p25/q23p3/hmsPneg3p642_shmsP6p538_hmsTh16p75_shmsTh10p305_thpq2,1,-1,0.1,0.2,0.15,-999,-999,0.9,12,12,0.981748,5.30144,4.31969,6,8,0.207636,0.0243318,0.000838651,0.637138,0.0323751,0.148233,0.0193454,19.6799,7.66244,17.758,9,1.97311,0.0380874,2,0,3,0,1,1,1,1,t2:ok_or_best,
group,grp_pass5_piplus_LD2_zOv_x0p25_q23p3_thpq2,z = 0.36,pass5/pi+sidis/LD2/z0p36/x0p25/q23p3/hmsPneg3p642_shmsP2p615_hmsTh16p75_shmsTh10p305_thpq2,2,-1,0.2,0.3,0.25,-999,-999,0.36,12,12,0.981748,5.69414,4.71239,7,8,0.221998,0.0207751,0.000856582,0.499797,0.0310767,-999,-999,16.0827,-999,48.0697,10,4.80697,6.02748e-07,1,0,3,128,0,0,0,0,t2:bad(PROB); t1:ok_or_best; t0:bad(CHI2),PROB_TINY
group,grp_pass5_piplus_LD2_zOv_x0p25_q23p3_thpq2,z = 0.50,pass5/pi+sidis/LD2/z0p5/x0p25/q23p3/hmsPneg3p642_shmsP3p632_hmsTh16p75_shmsTh10p305_thpq2,2,-1,0.2,0.3,0.25,-999,-999,0.5,10,10,1.37445,4.90874,3.53429,6,8,0.177123,0.0209074,0.000938942,0.551259,0.0439492,0.161666,0.0207027,12.5431,7.80895,20.3629,7,2.90898,0.004837,2,0,3,0,1,1,1,1,t2:ok_or_best,
