schema_version,mode,group_id,curve_label,setting_id,pt_bin,z_bin,phi_bin,pt_lo,pt_hi,pt_center,z_lo,z_hi,z_center,phi_lo,phi_hi,phi_center,n_sig,n_pos,n_dum,n_posdum,n_net,n_sim,y_sig,y_pos,y_dum,y_posdum,y_net,y_net_err,y_sim,y_sim_err,sim_scale,sigma_model,mean_xB,mean_Q2,nominal_z,xsec,xsec_err,rel_net_err,rel_sim_err,rel_xsec_err,flag_bits,valid_default,note
1,group,grp_pass5_piplus_LD2_zOv_x0p25_q23p3_thpq2,z0p36,pass5/pi+sidis/LD2/z0p36/x0p25/q23p3/hmsPneg3p642_shmsP2p615_hmsTh16p75_shmsTh10p305_thpq2,0,0,0,0,0.1,0.05,0,1,0.5,0,0.392699,0.19635,108,0,24,0,108,722,0.829257,0,0.238634,0,0.766788,0.121234,0.778335,0.0353843,1e-06,0.0163053,0.25,3.3,0.36,0.0160634,0.00264264,0.158107,0.0454616,0.164513,0,1,
1,group,grp_pass5_piplus_LD2_zOv_x0p25_q23p3_thpq2,z0p36,pass5/pi+sidis/LD2/z0p36/x0p25/q23p3/hmsPneg3p642_shmsP2p615_hmsTh16p75_shmsTh10p305_thpq2,0,0,1,0,0.1,0.05,0,1,0.5,0.392699,0.785398,0.589049,127,0,30,0,127,962,0.962408,0,0.28271,0,0.8884,0.131727,1.01172,0.0401292,1e-06,0.0163053,0.25,3.3,0.36,0.0143178,0.00219761,0.148274,0.0396644,0.153488,0,1,
1,group,grp_pass5_piplus_LD2_zOv_x0p25_q23p3_thpq2,z0p36,pass5/pi+sidis/LD2/z0p36/x0p25/q23p3/hmsPneg3p642_shmsP2p615_hmsTh16p75_shmsTh10p305_thpq2,0,0,2,0,0.1,0.05,0,1,0.5,0.785398,1.1781,0.981748,240,0,59,0,240,1459,1.7029,0,0.536015,0,1.56258,0.182081,1.55274,0.0513679,1e-06,0.0163053,0.25,3.3,0.36,0.0164086,0.00198759,0.116526,0.0330822,0.121131,0,1,
1,group,grp_pass5_piplus_LD2_zOv_x0p25_q23p3_thpq2,z0p36,pass5/pi+sidis/LD2/z0p36/x0p25/q23p3/hmsPneg3p642_shmsP2p615_hmsTh16p75_shmsTh10p305_thpq2,0,0,3,0,0.1,0.05,0,1,0.5,1.1781,1.5708,1.37445,622,0,145,0,622,3361,4.5068,0,1.33636,0,4.15697,0.292454,3.70549,0.0827028,1e-06,0.0163053,0.25,3.3,0.36,0.018292,0.0013501,0.0703527,0.022319,0.0738082,0,1,
1,group,grp_pass5_piplus_LD2_zOv_x0p25_q23p3_thpq2,z0p36,pass5/pi+sidis/LD2/z0p36/x0p25/q23p3/hmsPneg3p642_shmsP2p615_hmsTh16p75_shmsTh10p305_thpq2,0,0,4,0,0.1,0.05,0,1,0.5,1.5708,1.9635,1.76715,1334,0,317,0,1334,7225,9.9344,0,3.06926,0,9.13093,0.427493,8.80108,0.136645,1e-06,0.0163053,0.25,3.3,0.36,0.0169164,0.000834407,0.0468181,0.015526,0.0493253,0,1,
1,group,grp_pass5_piplus_LD2_zOv_x0p25_q23p3_thpq2,z0p36,pass5/pi+sidis/LD2/z0p36/x0p25/q23p3/hmsPneg3p642_shmsP2p615_hmsTh16p75_shmsTh10p305_thpq2,0,0,5,0,0.1,0.05,0,1,0.5,1.9635,2.35619,2.15984,2205,0,490,0,2205,11609,16.7098,0,4.71764,0,15.4748,0.548388,15.1958,0.187985,1e-06,0.0163053,0.25,3.3,0.36,0.0166048,0.000623253,0.0354374,0.0123709,0.0375346,0,1,
1,group,grp_pass5_piplus_LD2_zOv_x0p25_q23p3_thpq2,z0p36,pass5/pi+sidis/LD2/z0p36/x0p25/q23p3/hmsPneg3p642_shmsP2p615_hmsTh16p75_shmsTh10p305_thpq2,0,0,6,0,0.1,0.05,0,1,0.5,2.35619,2.74889,2.55254,2916,0,699,0,2916,16077,22.1015,0,6.57903,0,20.3792,0.631309,22.1384,0.233694,1e-06,0.0163053,0.25,3.3,0.36,0.0150096,0.000491224,0.0309781,0.0105561,0.0327272,0,1,
1,group,grp_pass5_piplus_LD2_zOv_x0p25_q23p3_thpq2,z0p36,pass5/pi+sidis/LD2/z0p36/x0p25/q23p3/hmsPneg3p642_shmsP2p615_hmsTh16p75_shmsTh10p305_thpq2,0,0,7,0,0.1,0.05,0,1,0.5,2.74889,3.14159,2.94524,3357,0,851,0,3357,19008,25.8705,0,8.55055,0,23.6322,0.676942,26.4816,0.258079,1e-06,0.0163053,0.25,3.3,0.36,0.0145509,0.000440271,0.028645,0.0097456,0.0302574,0,1,
1,group,grp_pass5_piplus_LD2_zOv_x0p25_q23p3_thpq2,z0p36,pass5/pi+sidis/LD2/z0p36/x0p25/q23p3/hmsPneg3p642_shmsP2p615_hmsTh16p75_shmsTh10p305_thpq2,0,0,8,0,0.1,0.05,0,1,0.5,3.14159,3.53429,3.33794,3516,0,790,0,3516,19473,26.9105,0,7.73924,0,24.8846,0.692028,27.1511,0.261342,1e-06,0.0163053,0.25,3.3,0.36,0.0149442,0.00043978,0.0278095,0.00962547,0.0294282,0,1,
1,group,grp_pass5_piplus_LD2_zOv_x0p25_q23p3_thpq2,z0p36,pass5/pi+sidis/LD2/z0p36/x0p25/q23p3/hmsPneg3p642_shmsP2p615_hmsTh16p75_shmsTh10p305_thpq2,0,0,9,0,0.1,0.05,0,1,0.5,3.53429,3.92699,3.73064,3088,0,717,0,3088,16978,23.3273,0,6.89844,0,21.5214,0.649509,23.417,0.238972,1e-06,0.0163053,0.25,3.3,0.36,0.0149854,0.000477411,0.0301797,0.0102051,0.0318584,0,1,
