mode,group_id,curve_label,setting_id,pt_bin,z_bin,pt_lo,pt_hi,pt_center,z_lo,z_hi,z_center,npts,npts_fit,phi_min,phi_max,phi_span,phi_occ,phi_nsectors,dominant_wfrac,M0,M0_err,A,A_err,B,B_err,A_sig,B_sig,chi2,ndf,chi2_ndf,prob,fit_tier,fit_status,cov_status,fit_flag_bits,valid_fit_default,valid_M0_default,valid_A_default,valid_B_default,attempts,note
group,grp_pass5_piplus_LH2_zOv_x0p25_q23p3_thpq2,z = 0.36,pass5/pi+sidis/LH2/z0p36/x0p25/q23p3/hmsPneg3p642_shmsP2p615_hmsTh16p75_shmsTh10p305_thpq2,0,-1,0,0.1,0.05,-999,-999,0.36,16,16,0.19635,6.08684,5.89049,8,8,0.182265,0.00977029,0.00024501,-0.00865703,0.0382558,-0.101977,0.02576,0.226293,3.95875,23.0491,13,1.77301,0.0410904,2,0,3,16384,1,1,0,1,t2:ok_or_best,A_SIG_LOW
group,grp_pass5_piplus_LH2_zOv_x0p25_q23p3_thpq2,z = 0.50,pass5/pi+sidis/LH2/z0p5/x0p25/q23p3/hmsPneg3p642_shmsP3p632_hmsTh16p75_shmsTh10p305_thpq2,0,-1,0,0.1,0.05,-999,-999,0.5,16,16,0.19635,6.08684,5.89049,8,8,0.183775,0.0115326,0.000284298,0.398432,0.0301916,0.111323,0.0203896,13.1968,5.45982,19.651,13,1.51161,0.104262,2,0,3,0,1,1,1,1,t2:ok_or_best,
group,grp_pass5_piplus_LH2_zOv_x0p25_q23p3_thpq2,z = 0.67,pass5/pi+sidis/LH2/z0p67/x0p25/q23p3/hmsPneg3p642_shmsP4p868_hmsTh16p75_shmsTh10p305_thpq2,0,-1,0,0.1,0.05,-999,-999,0.67,16,16,0.19635,6.08684,5.89049,8,8,0.164899,0.0103425,0.000234087,0.343929,0.0288636,0.0818654,0.0216937,11.9157,3.7737,8.38968,13,0.64536,0.81732,2,0,3,0,1,1,1,1,t2:ok_or_best,
group,grp_pass5_piplus_LH2_zOv_x0p25_q23p3_thpq2,z = 0.90,pass5/pi+sidis/LH2/z0p9/x0p25/q23p3/hmsPneg3p642_shmsP6p538_hmsTh16p75_shmsTh10p305_thpq2,0,-1,0,0.1,0.05,-999,-999,0.9,11,11,1.37445,5.30144,3.92699,6,8,0.180193,0.0143629,0.000797701,0.241819,0.0783353,-0.00904292,0.0508335,3.08698,0.177893,6.373,8,0.796625,0.605526,2,0,3,131072,1,1,1,0,t2:ok_or_best,B_SIG_LOW
group,grp_pass5_piplus_LH2_zOv_x0p25_q23p3_thpq2,z = 0.36,pass5/pi+sidis/LH2/z0p36/x0p25/q23p3/hmsPneg3p642_shmsP2p615_hmsTh16p75_shmsTh10p305_thpq2,1,-1,0.1,0.2,0.15,-999,-999,0.36,15,15,0.19635,5.69414,5.49779,8,8,0.187055,0.00790498,0.000265549,-0.208867,0.0580741,-0.210781,0.031279,3.59656,6.73875,68.4612,12,5.7051,6.20807e-10,2,0,3,128,0,0,0,0,t2:ok_or_best; t1:bad(CHI2); t0:bad(CHI2),PROB_TINY
group,grp_pass5_piplus_LH2_zOv_x0p25_q23p3_thpq2,z = 0.50,pass5/pi+sidis/LH2/z0p5/x0p25/q23p3/hmsPneg3p642_shmsP3p632_hmsTh16p75_shmsTh10p305_thpq2,1,-1,0.1,0.2,0.15,-999,-999,0.5,12,12,0.981748,5.30144,4.31969,6,8,0.194631,0.012794,0.000440829,0.571132,0.0337999,0.170796,0.0169317,16.8975,10.0874,34.0925,9,3.78805,8.60492e-05,2,0,3,0,1,1,1,1,t2:ok_or_best,
group,grp_pass5_piplus_LH2_zOv_x0p25_q23p3_thpq2,z = 0.67,pass5/pi+sidis/LH2/z0p67/x0p25/q23p3/hmsPneg3p642_shmsP4p868_hmsTh16p75_shmsTh10p305_thpq2,1,-1,0.1,0.2,0.15,-999,-999,0.67,12,12,0.981748,5.30144,4.31969,6,8,0.195276,0.0111834,0.000364346,0.502951,0.0347196,0.129266,0.0185473,14.4861,6.96954,14.1094,9,1.56771,0.118488,2,0,3,0,1,1,1,1,t2:ok_or_best,
group,grp_pass5_piplus_LH2_zOv_x0p25_q23p3_thpq2,z = 0.90,pass5/pi+sidis/LH2/z0p9/x0p25/q23p3/hmsPneg3p642_shmsP6p538_hmsTh16p75_shmsTh10p305_thpq2,1,-1,0.1,0.2,0.15,-999,-999,0.9,10,10,1.37445,4.90874,3.53429,6,8,0.202183,0.0157508,0.000787036,0.615119,0.0473589,0.131137,0.0270739,12.9885,4.84368,11.2308,7,1.60439,0.128866,2,0,3,0,1,1,1,1,t2:ok_or_best,
group,grp_pass5_piplus_LH2_zOv_x0p25_q23p3_thpq2,z = 0.36,pass5/pi+sidis/LH2/z0p36/x0p25/q23p3/hmsPneg3p642_shmsP2p615_hmsTh16p75_shmsTh10p305_thpq2,2,-1,0.2,0.3,0.25,-999,-999,0.36,11,11,1.37445,5.30144,3.92699,6,8,0.206197,0.0118798,0.00152839,0.404408,0.142996,-0.0892431,0.0884755,2.82812,1.00868,38.5814,8,4.82268,5.87682e-06,2,0,3,0,1,1,1,1,t2:ok_or_best,
group,grp_pass5_piplus_LH2_zOv_x0p25_q23p3_thpq2,z = 0.50,pass5/pi+sidis/LH2/z0p5/x0p25/q23p3/hmsPneg3p642_shmsP3p632_hmsTh16p75_shmsTh10p305_thpq2,2,-1,0.2,0.3,0.25,-999,-999,0.5,10,10,1.37445,4.90874,3.53429,6,8,0.178124,0.0135275,0.000667817,0.586377,0.0465634,0.177382,0.0219914,12.5931,8.06596,28.2247,7,4.0321,0.000200202,2,0,3,0,1,1,1,1,t2:ok_or_best,
group,grp_pass5_piplus_LH2_zOv_x0p25_q23p3_thpq2,z = 0.67,pass5/pi+sidis/LH2/z0p67/x0p25/q23p3/hmsPneg3p642_shmsP4p868_hmsTh16p75_shmsTh10p305_thpq2,2,-1,0.2,0.3,0.25,-999,-999,0.67,10,10,1.37445,4.90874,3.53429,6,8,0.193379,0.010965,0.000440984,0.504969,0.0416223,0.12865,0.0203584,12.1322,6.31924,31.8652,7,4.55217,4.30207e-05,2,0,3,0,1,1,1,1,t2:ok_or_best,
group,grp_pass5_piplus_LH2_zOv_x0p25_q23p3_thpq2,z = 0.90,pass5/pi+sidis/LH2/z0p9/x0p25/q23p3/hmsPneg3p642_shmsP6p538_hmsTh16p75_shmsTh10p305_thpq2,2,-1,0.2,0.3,0.25,-999,-999,0.9,10,10,1.37445,4.90874,3.53429,6,8,0.212227,0.0148828,0.000691964,0.728507,0.037608,0.176028,0.0209639,19.371,8.39675,57.1471,7,8.16388,5.58832e-10,2,0,3,128,0,0,0,0,t2:ok_or_best; t1:bad(CHI2); t0:bad(CHI2),PROB_TINY
group,grp_pass5_piplus_LH2_zOv_x0p25_q23p3_thpq2,z = 0.36,pass5/pi+sidis/LH2/z0p36/x0p25/q23p3/hmsPneg3p642_shmsP2p615_hmsTh16p75_shmsTh10p305_thpq2,3,-1,0.3,0.4,0.35,-999,-999,0.36,4,4,2.55254,4.12334,1.5708,3,8,0.410111,0.0184052,0.00574747,0.806014,0.113195,-999,-999,7.12059,-999,10.4113,2,5.20565,0.00548549,1,0,3,0,1,1,1,0,t1:ok_or_best,
group,grp_pass5_piplus_LH2_zOv_x0p25_q23p3_thpq2,z = 0.50,pass5/pi+sidis/LH2/z0p5/x0p25/q23p3/hmsPneg3p642_shmsP3p632_hmsTh16p75_shmsTh10p305_thpq2,3,-1,0.3,0.4,0.35,-999,-999,0.5,8,8,1.76715,4.51604,2.74889,4,8,0.223832,0.013511,0.000667563,0.396458,0.0432997,-999,-999,9.15612,-999,46.95,6,7.82501,1.91456e-08,1,0,3,128,0,0,0,0,t1:ok_or_best; t0:bad(CHI2),PROB_TINY
group,grp_pass5_piplus_LH2_zOv_x0p25_q23p3_thpq2,z = 0.67,pass5/pi+sidis/LH2/z0p67/x0p25/q23p3/hmsPneg3p642_shmsP4p868_hmsTh16p75_shmsTh10p305_thpq2,3,-1,0.3,0.4,0.35,-999,-999,0.67,10,10,1.37445,4.90874,3.53429,6,8,0.172756,0.0121043,0.000680412,0.527056,0.0562828,0.145046,0.0267751,9.36442,5.41718,68.2365,7,9.74807,3.35397e-12,2,0,3,128,0,0,0,0,t2:ok_or_best; t1:bad(CHI2); t0:bad(CHI2),PROB_TINY
group,grp_pass5_piplus_LH2_zOv_x0p25_q23p3_thpq2,z = 0.90,pass5/pi+sidis/LH2/z0p9/x0p25/q23p3/hmsPneg3p642_shmsP6p538_hmsTh16p75_shmsTh10p305_thpq2,3,-1,0.3,0.4,0.35,-999,-999,0.9,10,10,1.37445,4.90874,3.53429,6,8,0.207874,0.0103225,0.000225765,0.467684,0.0173004,-999,-999,27.0332,-999,78.3553,8,9.79442,1.04708e-13,1,0,3,128,0,0,0,0,t2:bad(PROB); t1:ok_or_best; t0:bad(CHI2),PROB_TINY
