mode,group_id,tier_tag,curve_label_raw,plot_label,setting_id,pt_bin,z_bin,phi_bin,pt_lo,pt_hi,pt_center,z_lo,z_hi,z_center,phi_center,xsec,xsec_err,rel_xsec_err,n_sim,flag_bits,valid_default,is_plotted,plot_drop_reason,is_used_in_fit,fit_excl_reason,fit_tier,valid_fit_default,y_fit,residual,pull,attempts,note
group,grp_pass5_piplus_LH2_zOv_x0p25_q23p3_thpq2,tierOn,z0p36,z = 0.36,pass5/pi+sidis/LH2/z0p36/x0p25/q23p3/hmsPneg3p642_shmsP2p615_hmsTh16p75_shmsTh10p305_thpq2,0,0,0,0,0.1,0.05,0,1,0.5,0.19635,0.00832902,0.00156766,0.188216,765,0,1,1,,1,FIT_INCLUDED,2,1,0.00876683,-0.000437812,-0.279278,t2:ok_or_best,A_SIG_LOW
group,grp_pass5_piplus_LH2_zOv_x0p25_q23p3_thpq2,tierOn,z0p36,z = 0.36,pass5/pi+sidis/LH2/z0p36/x0p25/q23p3/hmsPneg3p642_shmsP2p615_hmsTh16p75_shmsTh10p305_thpq2,0,0,1,0,0.1,0.05,0,1,0.5,0.589049,0.0101865,0.00150132,0.147384,918,0,1,1,,1,FIT_INCLUDED,2,1,0.00931868,0.000867819,0.578037,t2:ok_or_best,A_SIG_LOW
group,grp_pass5_piplus_LH2_zOv_x0p25_q23p3_thpq2,tierOn,z0p36,z = 0.36,pass5/pi+sidis/LH2/z0p36/x0p25/q23p3/hmsPneg3p642_shmsP2p615_hmsTh16p75_shmsTh10p305_thpq2,0,0,2,0,0.1,0.05,0,1,0.5,0.981748,0.0102861,0.00125197,0.121715,1483,0,1,1,,1,FIT_INCLUDED,2,1,0.0101046,0.000181512,0.144981,t2:ok_or_best,A_SIG_LOW
group,grp_pass5_piplus_LH2_zOv_x0p25_q23p3_thpq2,tierOn,z0p36,z = 0.36,pass5/pi+sidis/LH2/z0p36/x0p25/q23p3/hmsPneg3p642_shmsP2p615_hmsTh16p75_shmsTh10p305_thpq2,0,0,3,0,0.1,0.05,0,1,0.5,1.37445,0.0127783,0.000908466,0.0710946,3376,0,1,1,,1,FIT_INCLUDED,2,1,0.0106743,0.002104,2.31599,t2:ok_or_best,A_SIG_LOW
group,grp_pass5_piplus_LH2_zOv_x0p25_q23p3_thpq2,tierOn,z0p36,z = 0.36,pass5/pi+sidis/LH2/z0p36/x0p25/q23p3/hmsPneg3p642_shmsP2p615_hmsTh16p75_shmsTh10p305_thpq2,0,0,4,0,0.1,0.05,0,1,0.5,1.76715,0.010536,0.000563525,0.0534858,6936,0,1,1,,1,FIT_INCLUDED,2,1,0.0107073,-0.000171295,-0.303971,t2:ok_or_best,A_SIG_LOW
group,grp_pass5_piplus_LH2_zOv_x0p25_q23p3_thpq2,tierOn,z0p36,z = 0.36,pass5/pi+sidis/LH2/z0p36/x0p25/q23p3/hmsPneg3p642_shmsP2p615_hmsTh16p75_shmsTh10p305_thpq2,0,0,5,0,0.1,0.05,0,1,0.5,2.15984,0.0106009,0.000414784,0.0391274,11386,0,1,1,,1,FIT_INCLUDED,2,1,0.0101986,0.000402322,0.969956,t2:ok_or_best,A_SIG_LOW
group,grp_pass5_piplus_LH2_zOv_x0p25_q23p3_thpq2,tierOn,z0p36,z = 0.36,pass5/pi+sidis/LH2/z0p36/x0p25/q23p3/hmsPneg3p642_shmsP2p615_hmsTh16p75_shmsTh10p305_thpq2,0,0,6,0,0.1,0.05,0,1,0.5,2.55254,0.00961634,0.000327252,0.0340308,15953,0,1,1,,1,FIT_INCLUDED,2,1,0.00945934,0.000156998,0.479747,t2:ok_or_best,A_SIG_LOW
group,grp_pass5_piplus_LH2_zOv_x0p25_q23p3_thpq2,tierOn,z0p36,z = 0.36,pass5/pi+sidis/LH2/z0p36/x0p25/q23p3/hmsPneg3p642_shmsP2p615_hmsTh16p75_shmsTh10p305_thpq2,0,0,7,0,0.1,0.05,0,1,0.5,2.94524,0.0085279,0.000284405,0.0333499,19112,0,1,1,,1,FIT_INCLUDED,2,1,0.00893275,-0.000404847,-1.42349,t2:ok_or_best,A_SIG_LOW
group,grp_pass5_piplus_LH2_zOv_x0p25_q23p3_thpq2,tierOn,z0p36,z = 0.36,pass5/pi+sidis/LH2/z0p36/x0p25/q23p3/hmsPneg3p642_shmsP2p615_hmsTh16p75_shmsTh10p305_thpq2,0,0,8,0,0.1,0.05,0,1,0.5,3.33794,0.00902496,0.000282833,0.031339,19797,0,1,1,,1,FIT_INCLUDED,2,1,0.00893274,9.22166e-05,0.326046,t2:ok_or_best,A_SIG_LOW
group,grp_pass5_piplus_LH2_zOv_x0p25_q23p3_thpq2,tierOn,z0p36,z = 0.36,pass5/pi+sidis/LH2/z0p36/x0p25/q23p3/hmsPneg3p642_shmsP2p615_hmsTh16p75_shmsTh10p305_thpq2,0,0,9,0,0.1,0.05,0,1,0.5,3.73064,0.00997097,0.000318938,0.0319866,16953,0,1,1,,1,FIT_INCLUDED,2,1,0.00945933,0.000511638,1.60419,t2:ok_or_best,A_SIG_LOW
