mode,group_id,curve_label,setting_id,pt_bin,z_bin,pt_lo,pt_hi,pt_center,z_lo,z_hi,z_center,npts,npts_fit,phi_min,phi_max,phi_span,phi_occ,phi_nsectors,dominant_wfrac,M0,M0_err,A,A_err,B,B_err,A_sig,B_sig,chi2,ndf,chi2_ndf,prob,fit_tier,fit_status,cov_status,fit_flag_bits,valid_fit_default,valid_M0_default,valid_A_default,valid_B_default,note
group,grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z = 0.36,pass4/pi+sidis/LH2/z0p36/x0p25/q23p3/hmsPneg1p531_shmsP2p615_hmsTh29p045_shmsTh7p865_thpq2,0,-1,0,0.1,0.05,-999,-999,0.36,10,10,1.37445,4.90874,3.53429,6,8,0.203581,0.00267677,7.11013e+08,-999,-999,-999,-999,-999,-999,15.5897,9,1.73219,0.0759597,0,3,2,2081,0,0,0,0,FIT_STATUS_BAD;COV_NOT_POSDEF;M0_RELERR_HUGE
group,grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z = 0.50,pass4/pi+sidis/LH2/z0p5/x0p25/q23p3/hmsPneg1p531_shmsP3p632_hmsTh29p045_shmsTh7p865_thpq2,0,-1,0,0.1,0.05,-999,-999,0.5,8,8,1.76715,4.51604,2.74889,4,8,0.253722,0.00250306,7.11013e+08,-999,-999,-999,-999,-999,-999,21.305,7,3.04357,0.00334403,0,3,2,2081,0,0,0,0,FIT_STATUS_BAD;COV_NOT_POSDEF;M0_RELERR_HUGE
group,grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z = 0.67,pass4/pi+sidis/LH2/z0p67/x0p25/q23p3/hmsPneg1p531_shmsP4p868_hmsTh29p045_shmsTh7p865_thpq2,0,-1,0,0.1,0.05,-999,-999,0.67,8,8,1.76715,4.51604,2.74889,4,8,0.269897,0.00208363,4.1346e-05,-999,-999,-999,-999,-999,-999,13.7814,7,1.96877,0.0552087,0,3,1,33,0,0,0,0,FIT_STATUS_BAD;COV_NOT_POSDEF
group,grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z = 0.90,pass4/pi+sidis/LH2/z0p9/x0p25/q23p3/hmsPneg1p531_shmsP6p538_hmsTh29p045_shmsTh7p865_thpq2,0,-1,0,0.1,0.05,-999,-999,0.9,6,6,2.15984,4.12334,1.9635,4,8,0.271049,0.00124383,2.90209e-05,-999,-999,-999,-999,-999,-999,7.88808,5,1.57762,0.162512,0,3,1,33,0,0,0,0,FIT_STATUS_BAD;COV_NOT_POSDEF
group,grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z = 0.36,pass4/pi+sidis/LH2/z0p36/x0p25/q23p3/hmsPneg1p531_shmsP2p615_hmsTh29p045_shmsTh7p865_thpq2,1,-1,0.1,0.2,0.15,-999,-999,0.36,10,10,1.37445,4.90874,3.53429,6,8,0.212095,0.00254323,7.11013e+08,-999,-999,-999,-999,-999,-999,25.37,9,2.81889,0.00258799,0,3,2,2081,0,0,0,0,FIT_STATUS_BAD;COV_NOT_POSDEF;M0_RELERR_HUGE
group,grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z = 0.50,pass4/pi+sidis/LH2/z0p5/x0p25/q23p3/hmsPneg1p531_shmsP3p632_hmsTh29p045_shmsTh7p865_thpq2,1,-1,0.1,0.2,0.15,-999,-999,0.5,8,8,1.76715,4.51604,2.74889,4,8,0.193895,0.00294818,0.000167837,0.248554,0.053396,-999,-999,4.65491,-999,15.5852,6,2.59754,0.0161621,1,3,3,1,0,0,0,0,FIT_STATUS_BAD
group,grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z = 0.67,pass4/pi+sidis/LH2/z0p67/x0p25/q23p3/hmsPneg1p531_shmsP4p868_hmsTh29p045_shmsTh7p865_thpq2,1,-1,0.1,0.2,0.15,-999,-999,0.67,8,8,1.76715,4.51604,2.74889,4,8,0.206418,0.00190558,1.59389e-05,-999,-999,-999,-999,-999,-999,19.4462,7,2.77802,0.00689879,0,3,1,33,0,0,0,0,FIT_STATUS_BAD;COV_NOT_POSDEF
group,grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z = 0.90,pass4/pi+sidis/LH2/z0p9/x0p25/q23p3/hmsPneg1p531_shmsP6p538_hmsTh29p045_shmsTh7p865_thpq2,1,-1,0.1,0.2,0.15,-999,-999,0.9,8,8,1.76715,4.51604,2.74889,4,8,0.25693,0.00090393,7.11014e+08,-999,-999,-999,-999,-999,-999,31.4219,7,4.48885,5.19641e-05,0,3,2,2081,0,0,0,0,FIT_STATUS_BAD;COV_NOT_POSDEF;M0_RELERR_HUGE
group,grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z = 0.36,pass4/pi+sidis/LH2/z0p36/x0p25/q23p3/hmsPneg1p531_shmsP2p615_hmsTh29p045_shmsTh7p865_thpq2,2,-1,0.2,0.3,0.25,-999,-999,0.36,5,5,2.55254,4.12334,1.5708,3,8,0.409516,0.00176065,5.76905e-05,-999,-999,-999,-999,-999,-999,12.1769,4,3.04422,0.0160833,0,3,1,33,0,0,0,0,FIT_STATUS_BAD;COV_NOT_POSDEF
group,grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z = 0.50,pass4/pi+sidis/LH2/z0p5/x0p25/q23p3/hmsPneg1p531_shmsP3p632_hmsTh29p045_shmsTh7p865_thpq2,2,-1,0.2,0.3,0.25,-999,-999,0.5,8,8,1.76715,4.51604,2.74889,4,8,0.241448,0.00254353,7.11013e+08,-999,-999,-999,-999,-999,-999,25.5799,7,3.65427,0.000598532,0,3,2,2081,0,0,0,0,FIT_STATUS_BAD;COV_NOT_POSDEF;M0_RELERR_HUGE
