mode,group_id,curve_label,setting_id,pt_bin,z_bin,pt_lo,pt_hi,pt_center,z_lo,z_hi,z_center,n_points,M0,M0_err,A,A_err,B,B_err,chi2,ndf,prob,fit_tier
group,grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z0p36,pass4/pi+sidis/LH2/z0p36/x0p25/q23p3/hmsPneg1p531_shmsP2p615_hmsTh29p045_shmsTh7p865_thpq2,0,-1,0,0.1,0.05,0.36,0.36,0.36,10,0.00162704,4.3221e-05,-0.918703,0.0622522,-0.485157,0.0775153,20.7607,7,0.00414095,2
group,grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z0p50,pass4/pi+sidis/LH2/z0p5/x0p25/q23p3/hmsPneg1p531_shmsP3p632_hmsTh29p045_shmsTh7p865_thpq2,0,-1,0,0.1,0.05,0.5,0.5,0.5,8,0.00345115,0.000354128,0.352024,0.0849415,-999,-999,10.0632,6,0.122015,1
group,grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z0p67,pass4/pi+sidis/LH2/z0p67/x0p25/q23p3/hmsPneg1p531_shmsP4p868_hmsTh29p045_shmsTh7p865_thpq2,0,-1,0,0.1,0.05,0.67,0.67,0.67,8,0.00257293,0.000282087,0.20642,0.0745504,-999,-999,8.41012,6,0.209569,1
group,grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z0p90,pass4/pi+sidis/LH2/z0p9/x0p25/q23p3/hmsPneg1p531_shmsP6p538_hmsTh29p045_shmsTh7p865_thpq2,0,-1,0,0.1,0.05,0.9,0.9,0.9,6,0.00158413,0.000349383,0.359706,0.14771,-999,-999,9.81569,4,0.0436495,1
group,grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z0p36,pass4/pi+sidis/LH2/z0p36/x0p25/q23p3/hmsPneg1p531_shmsP2p615_hmsTh29p045_shmsTh7p865_thpq2,1,-1,0.1,0.2,0.15,0.36,0.36,0.36,10,0.000409479,6.17726e+08,0.477096,1.2601,-0.999543,1.24825,2549.33,7,0,2
group,grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z0p50,pass4/pi+sidis/LH2/z0p5/x0p25/q23p3/hmsPneg1p531_shmsP3p632_hmsTh29p045_shmsTh7p865_thpq2,1,-1,0.1,0.2,0.15,0.5,0.5,0.5,8,0.00294817,0.000167804,0.24855,0.053386,-999,-999,15.5854,6,0.0161609,1
group,grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z0p67,pass4/pi+sidis/LH2/z0p67/x0p25/q23p3/hmsPneg1p531_shmsP4p868_hmsTh29p045_shmsTh7p865_thpq2,1,-1,0.1,0.2,0.15,0.67,0.67,0.67,8,0.0022776,0.000139649,0.270819,0.0550852,-999,-999,19.9717,6,0.00280165,1
group,grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z0p90,pass4/pi+sidis/LH2/z0p9/x0p25/q23p3/hmsPneg1p531_shmsP6p538_hmsTh29p045_shmsTh7p865_thpq2,1,-1,0.1,0.2,0.15,0.9,0.9,0.9,8,0.000463445,1.40596e-05,-0.991805,0.0892579,-999,-999,94.4328,6,3.62853e-18,1
group,grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z0p36,pass4/pi+sidis/LH2/z0p36/x0p25/q23p3/hmsPneg1p531_shmsP2p615_hmsTh29p045_shmsTh7p865_thpq2,2,-1,0.2,0.3,0.25,0.36,0.36,0.36,5,0.00422491,0.00119683,0.64625,0.127519,-999,-999,5.29638,3,0.151337,1
group,grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z0p50,pass4/pi+sidis/LH2/z0p5/x0p25/q23p3/hmsPneg1p531_shmsP3p632_hmsTh29p045_shmsTh7p865_thpq2,2,-1,0.2,0.3,0.25,0.5,0.5,0.5,8,0.00973373,6.18477e+08,0.967357,1.11572,-999,-999,1317.23,6,2.01555e-281,1
group,grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z0p67,pass4/pi+sidis/LH2/z0p67/x0p25/q23p3/hmsPneg1p531_shmsP4p868_hmsTh29p045_shmsTh7p865_thpq2,2,-1,0.2,0.3,0.25,0.67,0.67,0.67,8,0.00225309,0.000559092,0.209876,0.227755,-999,-999,13.1976,6,0.0400038,1
group,grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z0p90,pass4/pi+sidis/LH2/z0p9/x0p25/q23p3/hmsPneg1p531_shmsP6p538_hmsTh29p045_shmsTh7p865_thpq2,2,-1,0.2,0.3,0.25,0.9,0.9,0.9,8,0.000670168,6.1515e+08,-0.337974,1.47366,-999,-999,58.8434,6,7.7289e-11,1
group,grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z0p50,pass4/pi+sidis/LH2/z0p5/x0p25/q23p3/hmsPneg1p531_shmsP3p632_hmsTh29p045_shmsTh7p865_thpq2,3,-1,0.3,0.4,0.35,0.5,0.5,0.5,4,0.00480661,0.00196971,0.611211,0.185231,-999,-999,2.06274,2,0.356519,1
group,grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z0p67,pass4/pi+sidis/LH2/z0p67/x0p25/q23p3/hmsPneg1p531_shmsP4p868_hmsTh29p045_shmsTh7p865_thpq2,3,-1,0.3,0.4,0.35,0.67,0.67,0.67,7,0.00202637,0.000194841,0.0468179,0.0957749,-999,-999,27.5067,5,4.54381e-05,1
group,grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z0p90,pass4/pi+sidis/LH2/z0p9/x0p25/q23p3/hmsPneg1p531_shmsP6p538_hmsTh29p045_shmsTh7p865_thpq2,3,-1,0.3,0.4,0.35,0.9,0.9,0.9,8,0.000359729,3.95071e-06,-0.993354,0.00797451,-999,-999,178.135,6,8.44667e-36,1
