mode,group_id,curve_label,setting_id,pt_bin,z_bin,pt_lo,pt_hi,pt_center,z_lo,z_hi,z_center,npts,npts_fit,phi_min,phi_max,phi_span,phi_occ,phi_nsectors,dominant_wfrac,M0,M0_err,A,A_err,B,B_err,A_sig,B_sig,chi2,ndf,chi2_ndf,prob,fit_tier,fit_status,cov_status,fit_flag_bits,valid_fit_default,valid_M0_default,valid_A_default,valid_B_default,attempts,note
group,grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z = 0.36,pass4/pi+sidis/LH2/z0p36/x0p25/q23p3/hmsPneg1p531_shmsP2p615_hmsTh29p045_shmsTh7p865_thpq2,0,-1,0,0.1,0.05,-999,-999,0.36,10,10,1.37445,4.90874,3.53429,6,8,0.203581,0.0016145,5.11677e-05,-0.946164,0.0593361,-0.538409,0.0725537,15.9458,7.42084,21.0741,7,3.01059,0.00366195,2,3,1,33,0,0,0,0,t2:ok_or_best,FIT_STATUS_BAD;COV_NOT_POSDEF
group,grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z = 0.50,pass4/pi+sidis/LH2/z0p5/x0p25/q23p3/hmsPneg1p531_shmsP3p632_hmsTh29p045_shmsTh7p865_thpq2,0,-1,0,0.1,0.05,-999,-999,0.5,8,8,1.76715,4.51604,2.74889,4,8,0.253722,0.0017457,5.45325e-05,-0.727954,0.0173204,-0.495582,0.0643641,42.0287,7.69967,16.7401,5,3.34802,0.00502005,2,3,1,33,0,0,0,0,t2:ok_or_best,FIT_STATUS_BAD;COV_NOT_POSDEF
group,grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z = 0.67,pass4/pi+sidis/LH2/z0p67/x0p25/q23p3/hmsPneg1p531_shmsP4p868_hmsTh29p045_shmsTh7p865_thpq2,0,-1,0,0.1,0.05,-999,-999,0.67,8,8,1.76715,4.51604,2.74889,4,8,0.269897,0.00229242,6.54082e+08,0.580816,1.19686,0.458312,1.47929,0.485282,0.309819,83.5442,5,16.7088,1.51982e-16,2,3,1,223457,0,0,0,0,t2:ok_or_best,FIT_STATUS_BAD;COV_NOT_POSDEF;CHI2NDF_HUGE;PROB_TINY;M0_RELERR_HUGE;A_ERR_BAD;A_SIG_LOW;B_ERR_BAD;B_SIG_LOW
group,grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z = 0.90,pass4/pi+sidis/LH2/z0p9/x0p25/q23p3/hmsPneg1p531_shmsP6p538_hmsTh29p045_shmsTh7p865_thpq2,0,-1,0,0.1,0.05,-999,-999,0.9,6,6,2.15984,4.12334,1.9635,4,8,0.271049,0.00229986,0.000309856,0.677987,0.136552,0.264134,0.0487979,4.96504,5.41283,12.2186,3,4.07287,0.00667063,2,3,1,33,0,0,0,0,t2:ok_or_best,FIT_STATUS_BAD;COV_NOT_POSDEF
group,grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z = 0.36,pass4/pi+sidis/LH2/z0p36/x0p25/q23p3/hmsPneg1p531_shmsP2p615_hmsTh29p045_shmsTh7p865_thpq2,1,-1,0.1,0.2,0.15,-999,-999,0.36,10,10,1.37445,4.90874,3.53429,6,8,0.212095,0.000408305,6.17768e+08,0.495023,1.25179,-0.999543,1.24833,0.395452,0.800702,2562.15,7,366.022,0,2,3,1,223969,0,0,0,0,t2:ok_or_best,FIT_STATUS_BAD;COV_NOT_POSDEF;CHI2NDF_HUGE;PROB_TINY;PARAM_AT_LIMIT;M0_RELERR_HUGE;A_ERR_BAD;A_SIG_LOW;B_ERR_BAD;B_SIG_LOW
group,grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z = 0.50,pass4/pi+sidis/LH2/z0p5/x0p25/q23p3/hmsPneg1p531_shmsP3p632_hmsTh29p045_shmsTh7p865_thpq2,1,-1,0.1,0.2,0.15,-999,-999,0.5,8,8,1.76715,4.51604,2.74889,4,8,0.193895,0.00179818,6.19349e+08,0.617373,1.18798,0.0911729,1.39803,0.519683,0.0652154,1770.64,5,354.127,0,2,3,1,223457,0,0,0,0,t2:ok_or_best,FIT_STATUS_BAD;COV_NOT_POSDEF;CHI2NDF_HUGE;PROB_TINY;M0_RELERR_HUGE;A_ERR_BAD;A_SIG_LOW;B_ERR_BAD;B_SIG_LOW
group,grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z = 0.67,pass4/pi+sidis/LH2/z0p67/x0p25/q23p3/hmsPneg1p531_shmsP4p868_hmsTh29p045_shmsTh7p865_thpq2,1,-1,0.1,0.2,0.15,-999,-999,0.67,8,8,1.76715,4.51604,2.74889,4,8,0.206418,0.00250563,6.23792e+08,0.609973,1.19099,0.860136,1.4123,0.512156,0.609031,1006.6,5,201.321,2.23403e-215,2,3,1,223457,0,0,0,0,t2:ok_or_best,FIT_STATUS_BAD;COV_NOT_POSDEF;CHI2NDF_HUGE;PROB_TINY;M0_RELERR_HUGE;A_ERR_BAD;A_SIG_LOW;B_ERR_BAD;B_SIG_LOW
group,grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z = 0.90,pass4/pi+sidis/LH2/z0p9/x0p25/q23p3/hmsPneg1p531_shmsP6p538_hmsTh29p045_shmsTh7p865_thpq2,1,-1,0.1,0.2,0.15,-999,-999,0.9,8,8,1.76715,4.51604,2.74889,4,8,0.25693,0.000570545,6.0085e-06,-0.996631,0.00902149,-0.982576,0.00471266,110.473,208.497,52.9321,5,10.5864,3.4731e-10,2,3,1,737,0,0,0,0,t2:ok_or_best,FIT_STATUS_BAD;COV_NOT_POSDEF;CHI2NDF_HUGE;PROB_TINY;PARAM_AT_LIMIT
group,grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z = 0.36,pass4/pi+sidis/LH2/z0p36/x0p25/q23p3/hmsPneg1p531_shmsP2p615_hmsTh29p045_shmsTh7p865_thpq2,2,-1,0.2,0.3,0.25,-999,-999,0.36,5,5,2.55254,4.12334,1.5708,3,8,0.409516,0.00216281,2.81187e-05,-0.14356,0.148404,-0.474991,0.18429,0.967356,2.57742,4.26395,2,2.13198,0.118603,2,3,1,16673,0,0,0,0,t2:ok_or_best,FIT_STATUS_BAD;COV_NOT_POSDEF;PHI_UNIFORM_FAIL;A_SIG_LOW
group,grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z = 0.50,pass4/pi+sidis/LH2/z0p5/x0p25/q23p3/hmsPneg1p531_shmsP3p632_hmsTh29p045_shmsTh7p865_thpq2,2,-1,0.2,0.3,0.25,-999,-999,0.5,8,8,1.76715,4.51604,2.74889,4,8,0.241448,0,0,0.86106,0,-0.997695,0,-999,-999,3017.68,5,603.537,0,2,2,0,75473,0,0,0,0,t2:ok_or_best,FIT_STATUS_BAD;COV_FAILED;CHI2NDF_HUGE;PROB_TINY;PARAM_AT_LIMIT;M0_BAD;A_ERR_BAD;B_ERR_BAD
group,grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z = 0.67,pass4/pi+sidis/LH2/z0p67/x0p25/q23p3/hmsPneg1p531_shmsP4p868_hmsTh29p045_shmsTh7p865_thpq2,2,-1,0.2,0.3,0.25,-999,-999,0.67,8,8,1.76715,4.51604,2.74889,4,8,0.221434,0.00358589,0.000129616,0.660488,0.0428095,0.231298,0.0224023,15.4285,10.3248,28.3043,5,5.66087,3.17366e-05,2,3,1,33,0,0,0,0,t2:ok_or_best,FIT_STATUS_BAD;COV_NOT_POSDEF
group,grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z = 0.90,pass4/pi+sidis/LH2/z0p9/x0p25/q23p3/hmsPneg1p531_shmsP6p538_hmsTh29p045_shmsTh7p865_thpq2,2,-1,0.2,0.3,0.25,-999,-999,0.9,8,8,1.76715,4.51604,2.74889,4,8,0.179903,0.000483974,6.17132e+08,0.624741,1.18435,-0.535871,1.23206,0.527498,0.43494,1578,5,315.6,0,2,3,1,223457,0,0,0,0,t2:ok_or_best,FIT_STATUS_BAD;COV_NOT_POSDEF;CHI2NDF_HUGE;PROB_TINY;M0_RELERR_HUGE;A_ERR_BAD;A_SIG_LOW;B_ERR_BAD;B_SIG_LOW
