group_id,curve_label,setting_id,pt_bin,phibin,pt_lo,pt_hi,pt_center,phi_lo,phi_hi,phi_center,yield_sig,yield_pos,yield_dum,yield_posdum,yield_net,yield_net_err,yield_sim,yield_sim_err,xsec,xsec_stat,mean_xB,mean_Q2,valid
grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z0p36,pass4/pi+sidis/LH2/z0p36/x0p25/q23p3/hmsPneg1p531_shmsP2p615_hmsTh29p045_shmsTh7p865_thpq2,0,0,0,0.1,0.05,0,0.785398,0.392699,0.0496757,-0.00563261,0.0268505,-0.00428319,0.0471581,0.0154742,0.0956628,0.012479,0.00159964,0.000564855,0.25,3.3,1
grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z0p36,pass4/pi+sidis/LH2/z0p36/x0p25/q23p3/hmsPneg1p531_shmsP2p615_hmsTh29p045_shmsTh7p865_thpq2,0,1,0,0.1,0.05,0.785398,1.5708,1.1781,0.179916,0.00563261,0.150155,0.00214548,0.135538,0.0323791,0.165135,0.0168764,0.00266336,0.000692034,0.25,3.3,1
grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z0p36,pass4/pi+sidis/LH2/z0p36/x0p25/q23p3/hmsPneg1p531_shmsP2p615_hmsTh29p045_shmsTh7p865_thpq2,0,2,0,0.1,0.05,1.5708,2.35619,1.9635,2.07608,0.0365877,1.00224,0.0406631,1.78777,0.110425,1.88397,0.0661397,0.00307925,0.00021877,0.25,3.3,1
grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z0p36,pass4/pi+sidis/LH2/z0p36/x0p25/q23p3/hmsPneg1p531_shmsP2p615_hmsTh29p045_shmsTh7p865_thpq2,0,3,0,0.1,0.05,2.35619,3.14159,2.74889,4.45381,-0.0619596,2.41223,0.0834445,3.90614,0.152625,4.84124,0.109937,0.00261818,0.000118323,0.25,3.3,1
grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z0p36,pass4/pi+sidis/LH2/z0p36/x0p25/q23p3/hmsPneg1p531_shmsP2p615_hmsTh29p045_shmsTh7p865_thpq2,0,4,0,0.1,0.05,3.14159,3.92699,3.53429,4.19398,0.0591442,2.44167,0.068465,3.51358,0.155155,4.58921,0.106198,0.00248439,0.000123859,0.25,3.3,1
grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z0p36,pass4/pi+sidis/LH2/z0p36/x0p25/q23p3/hmsPneg1p531_shmsP2p615_hmsTh29p045_shmsTh7p865_thpq2,0,5,0,0.1,0.05,3.92699,4.71239,4.31969,2.1306,0.0506701,1.08892,0.0620869,1.81112,0.111052,2.02906,0.0686758,0.00289643,0.00020286,0.25,3.3,1
grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z0p36,pass4/pi+sidis/LH2/z0p36/x0p25/q23p3/hmsPneg1p531_shmsP2p615_hmsTh29p045_shmsTh7p865_thpq2,0,6,0,0.1,0.05,4.71239,5.49779,5.10509,0.245958,0.00281718,0.130606,0.0064209,0.210631,0.0349983,0.178151,0.0175091,0.00383656,0.000740647,0.25,3.3,1
grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z0p36,pass4/pi+sidis/LH2/z0p36/x0p25/q23p3/hmsPneg1p531_shmsP2p615_hmsTh29p045_shmsTh7p865_thpq2,0,7,0,0.1,0.05,5.49779,6.28319,5.89049,0.0430131,0,0.0353977,0,0.0337467,0.0154178,0.0829355,0.0110351,0.00132038,0.000628302,0.25,3.3,1
grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z0p50,pass4/pi+sidis/LH2/z0p5/x0p25/q23p3/hmsPneg1p531_shmsP3p632_hmsTh29p045_shmsTh7p865_thpq2,0,0,0,0.1,0.05,0,0.785398,0.392699,0.031746,-0.00180438,0.0207708,0,0.028113,0.00837122,0.0116754,0.00465172,0.00625136,0.00310942,0.25,3.3,0
grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z0p50,pass4/pi+sidis/LH2/z0p5/x0p25/q23p3/hmsPneg1p531_shmsP3p632_hmsTh29p045_shmsTh7p865_thpq2,0,1,0,0.1,0.05,0.785398,1.5708,1.1781,0.174111,-0.00902226,0.102219,-0.00772952,0.154351,0.0180022,0.0419538,0.00828475,0.00955169,0.00219062,0.25,3.3,0
grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z0p50,pass4/pi+sidis/LH2/z0p5/x0p25/q23p3/hmsPneg1p531_shmsP3p632_hmsTh29p045_shmsTh7p865_thpq2,0,2,0,0.1,0.05,1.5708,2.35619,1.9635,1.19878,0.00360912,0.70461,0.00680704,1.0125,0.0515087,0.855051,0.0396129,0.00307427,0.00021153,0.25,3.3,1
grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z0p50,pass4/pi+sidis/LH2/z0p5/x0p25/q23p3/hmsPneg1p531_shmsP3p632_hmsTh29p045_shmsTh7p865_thpq2,0,3,0,0.1,0.05,2.35619,3.14159,2.74889,2.19633,0.0126346,1.13533,-0.0390902,1.87626,0.0698343,2.1423,0.0643355,0.00227381,0.000108744,0.25,3.3,1
grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z0p50,pass4/pi+sidis/LH2/z0p5/x0p25/q23p3/hmsPneg1p531_shmsP3p632_hmsTh29p045_shmsTh7p865_thpq2,0,4,0,0.1,0.05,3.14159,3.92699,3.53429,2.38728,0.084808,1.11512,-0.0177002,2.00593,0.0753745,2.01901,0.0623012,0.0025794,0.000125416,0.25,3.3,1
grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z0p50,pass4/pi+sidis/LH2/z0p5/x0p25/q23p3/hmsPneg1p531_shmsP3p632_hmsTh29p045_shmsTh7p865_thpq2,0,5,0,0.1,0.05,3.92699,4.71239,4.31969,1.08056,0.00721896,0.626985,0.0236498,0.915398,0.0495317,0.85853,0.0397687,0.00276819,0.000197175,0.25,3.3,1
grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z0p50,pass4/pi+sidis/LH2/z0p5/x0p25/q23p3/hmsPneg1p531_shmsP3p632_hmsTh29p045_shmsTh7p865_thpq2,0,6,0,0.1,0.05,4.71239,5.49779,5.10509,0.142368,-0.010827,0.0956637,0.00135583,0.128507,0.0175731,0.0361971,0.00755864,0.00921712,0.00230069,0.25,3.3,0
grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z0p50,pass4/pi+sidis/LH2/z0p5/x0p25/q23p3/hmsPneg1p531_shmsP3p632_hmsTh29p045_shmsTh7p865_thpq2,0,7,0,0.1,0.05,5.49779,6.28319,5.89049,0.0505525,-0.00180438,0.0409959,0.00408608,0.0426946,0.00934245,0.0119968,0.00437218,0.0092395,0.00392763,0.25,3.3,0
grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z0p67,pass4/pi+sidis/LH2/z0p67/x0p25/q23p3/hmsPneg1p531_shmsP4p868_hmsTh29p045_shmsTh7p865_thpq2,0,0,0,0.1,0.05,0,0.785398,0.392699,0.0392102,0,0.0184811,0,0.0343722,0.00733717,0.00279298,0.00187091,0.0221067,0.0155421,0.25,3.3,0
grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z0p67,pass4/pi+sidis/LH2/z0p67/x0p25/q23p3/hmsPneg1p531_shmsP4p868_hmsTh29p045_shmsTh7p865_thpq2,0,1,0,0.1,0.05,0.785398,1.5708,1.1781,0.104704,0,0.0340045,0,0.0958026,0.0123186,0.0225117,0.00548468,0.00764457,0.00210597,0.25,3.3,0
grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z0p67,pass4/pi+sidis/LH2/z0p67/x0p25/q23p3/hmsPneg1p531_shmsP4p868_hmsTh29p045_shmsTh7p865_thpq2,0,2,0,0.1,0.05,1.5708,2.35619,1.9635,0.607403,0.0281428,0.265348,0,0.509798,0.0366149,0.3589,0.0215293,0.00255158,0.000238772,0.25,3.3,1
grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z0p67,pass4/pi+sidis/LH2/z0p67/x0p25/q23p3/hmsPneg1p531_shmsP4p868_hmsTh29p045_shmsTh7p865_thpq2,0,3,0,0.1,0.05,2.35619,3.14159,2.74889,1.12238,0.0187619,0.595753,-0.0350937,0.938477,0.0480525,0.858177,0.0342519,0.0019644,0.00012753,0.25,3.3,1
grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z0p67,pass4/pi+sidis/LH2/z0p67/x0p25/q23p3/hmsPneg1p531_shmsP4p868_hmsTh29p045_shmsTh7p865_thpq2,0,4,0,0.1,0.05,3.14159,3.92699,3.53429,1.10223,-0.0187619,0.597958,0.0175468,0.969055,0.0451716,0.864983,0.0342752,0.00201245,0.000123122,0.25,3.3,1
grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z0p67,pass4/pi+sidis/LH2/z0p67/x0p25/q23p3/hmsPneg1p531_shmsP4p868_hmsTh29p045_shmsTh7p865_thpq2,0,5,0,0.1,0.05,3.92699,4.71239,4.31969,0.573681,0.0250158,0.31265,0.0350937,0.476007,0.0367411,0.339492,0.0212012,0.00251865,0.000250066,0.25,3.3,1
grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z0p67,pass4/pi+sidis/LH2/z0p67/x0p25/q23p3/hmsPneg1p531_shmsP4p868_hmsTh29p045_shmsTh7p865_thpq2,0,6,0,0.1,0.05,4.71239,5.49779,5.10509,0.136685,-0.00312698,0.0509985,0,0.126462,0.0138426,0.0145808,0.00400806,0.0155798,0.00460973,0.25,3.3,0
grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z0p67,pass4/pi+sidis/LH2/z0p67/x0p25/q23p3/hmsPneg1p531_shmsP4p868_hmsTh29p045_shmsTh7p865_thpq2,0,7,0,0.1,0.05,5.49779,6.28319,5.89049,0.0409621,0,0.0133048,0,0.0374791,0.00717393,0.00561396,0.00257363,0.0119923,0.00595768,0.25,3.3,0
grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z0p90,pass4/pi+sidis/LH2/z0p9/x0p25/q23p3/hmsPneg1p531_shmsP6p538_hmsTh29p045_shmsTh7p865_thpq2,0,0,0,0.1,0.05,0,0.785398,0.392699,0.0170325,0,0,0,0.0170325,0.00544453,0.00148663,0.000867045,0.00772458,0.00513747,0.25,3.3,0
grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z0p90,pass4/pi+sidis/LH2/z0p9/x0p25/q23p3/hmsPneg1p531_shmsP6p538_hmsTh29p045_shmsTh7p865_thpq2,0,1,0,0.1,0.05,0.785398,1.5708,1.1781,0.0610613,-0.00615472,0.0115956,0,0.0641805,0.0122179,0.0151279,0.00275634,0.00286038,0.000753738,0.25,3.3,0
grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z0p90,pass4/pi+sidis/LH2/z0p9/x0p25/q23p3/hmsPneg1p531_shmsP6p538_hmsTh29p045_shmsTh7p865_thpq2,0,2,0,0.1,0.05,1.5708,2.35619,1.9635,0.273193,0,0.100496,0,0.246885,0.022498,0.108512,0.00818045,0.00153396,0.00018142,0.25,3.3,1
