mode,group_id,tier_tag,curve_label_raw,plot_label,setting_id,pt_bin,z_bin,phi_bin,pt_lo,pt_hi,pt_center,z_lo,z_hi,z_center,phi_center,xsec,xsec_err,rel_xsec_err,n_sim,flag_bits,valid_default,is_plotted,plot_drop_reason,is_used_in_fit,fit_excl_reason,fit_tier,valid_fit_default,y_fit,residual,pull,attempts,note
group,grp_pass4_piminus_LH2_zOv_x0p25_q23p3_thpq2,tierOn,z0p36,z = 0.36,pass4/pi-sidis/LH2/z0p36/x0p25/q23p3/hmsPneg1p531_shmsPneg2p615_hmsTh29p045_shmsTh7p865_thpq2,0,0,0,0,0.1,0.05,0,1,0.5,0.19635,0.000441252,0.000254251,0.576204,565,258,0,0,VALID_DEFAULT0,0,,2,1,0.00146987,-0.00102862,-4.0457,t2:ok_or_best,B_SIG_LOW
group,grp_pass4_piminus_LH2_zOv_x0p25_q23p3_thpq2,tierOn,z0p36,z = 0.36,pass4/pi-sidis/LH2/z0p36/x0p25/q23p3/hmsPneg1p531_shmsPneg2p615_hmsTh29p045_shmsTh7p865_thpq2,0,0,1,0,0.1,0.05,0,1,0.5,0.589049,0.000703898,0.00027944,0.39699,548,2,0,0,VALID_DEFAULT0,0,,2,1,0.00139767,-0.000693768,-2.48271,t2:ok_or_best,B_SIG_LOW
group,grp_pass4_piminus_LH2_zOv_x0p25_q23p3_thpq2,tierOn,z0p36,z = 0.36,pass4/pi-sidis/LH2/z0p36/x0p25/q23p3/hmsPneg1p531_shmsPneg2p615_hmsTh29p045_shmsTh7p865_thpq2,0,0,2,0,0.1,0.05,0,1,0.5,0.981748,0.000955863,0.000296362,0.310046,687,0,1,1,,1,FIT_INCLUDED,2,1,0.00127434,-0.000318472,-1.07461,t2:ok_or_best,B_SIG_LOW
group,grp_pass4_piminus_LH2_zOv_x0p25_q23p3_thpq2,tierOn,z0p36,z = 0.36,pass4/pi-sidis/LH2/z0p36/x0p25/q23p3/hmsPneg1p531_shmsPneg2p615_hmsTh29p045_shmsTh7p865_thpq2,0,0,3,0,0.1,0.05,0,1,0.5,1.37445,0.00142485,0.00029269,0.205419,1272,0,1,1,,1,FIT_INCLUDED,2,1,0.00113293,0.000291916,0.997357,t2:ok_or_best,B_SIG_LOW
group,grp_pass4_piminus_LH2_zOv_x0p25_q23p3_thpq2,tierOn,z0p36,z = 0.36,pass4/pi-sidis/LH2/z0p36/x0p25/q23p3/hmsPneg1p531_shmsPneg2p615_hmsTh29p045_shmsTh7p865_thpq2,0,0,4,0,0.1,0.05,0,1,0.5,1.76715,0.00106089,0.000150123,0.141507,5293,0,1,1,,1,FIT_INCLUDED,2,1,0.00100508,5.58064e-05,0.371738,t2:ok_or_best,B_SIG_LOW
group,grp_pass4_piminus_LH2_zOv_x0p25_q23p3_thpq2,tierOn,z0p36,z = 0.36,pass4/pi-sidis/LH2/z0p36/x0p25/q23p3/hmsPneg1p531_shmsPneg2p615_hmsTh29p045_shmsTh7p865_thpq2,0,0,5,0,0.1,0.05,0,1,0.5,2.15984,0.000912855,7.92005e-05,0.0867613,13937,0,1,1,,1,FIT_INCLUDED,2,1,0.000910251,2.60422e-06,0.0328813,t2:ok_or_best,B_SIG_LOW
group,grp_pass4_piminus_LH2_zOv_x0p25_q23p3_thpq2,tierOn,z0p36,z = 0.36,pass4/pi-sidis/LH2/z0p36/x0p25/q23p3/hmsPneg1p531_shmsPneg2p615_hmsTh29p045_shmsTh7p865_thpq2,0,0,6,0,0.1,0.05,0,1,0.5,2.55254,0.000917339,6.57625e-05,0.0716884,20538,0,1,1,,1,FIT_INCLUDED,2,1,0.000852774,6.45653e-05,0.981795,t2:ok_or_best,B_SIG_LOW
group,grp_pass4_piminus_LH2_zOv_x0p25_q23p3_thpq2,tierOn,z0p36,z = 0.36,pass4/pi-sidis/LH2/z0p36/x0p25/q23p3/hmsPneg1p531_shmsPneg2p615_hmsTh29p045_shmsTh7p865_thpq2,0,0,7,0,0.1,0.05,0,1,0.5,2.94524,0.000900201,5.78664e-05,0.0642816,22949,0,1,1,,1,FIT_INCLUDED,2,1,0.00082713,7.30707e-05,1.26275,t2:ok_or_best,B_SIG_LOW
group,grp_pass4_piminus_LH2_zOv_x0p25_q23p3_thpq2,tierOn,z0p36,z = 0.36,pass4/pi-sidis/LH2/z0p36/x0p25/q23p3/hmsPneg1p531_shmsPneg2p615_hmsTh29p045_shmsTh7p865_thpq2,0,0,8,0,0.1,0.05,0,1,0.5,3.33794,0.000777693,5.67077e-05,0.0729178,23137,0,1,1,,1,FIT_INCLUDED,2,1,0.00082713,-4.94371e-05,-0.871789,t2:ok_or_best,B_SIG_LOW
group,grp_pass4_piminus_LH2_zOv_x0p25_q23p3_thpq2,tierOn,z0p36,z = 0.36,pass4/pi-sidis/LH2/z0p36/x0p25/q23p3/hmsPneg1p531_shmsPneg2p615_hmsTh29p045_shmsTh7p865_thpq2,0,0,9,0,0.1,0.05,0,1,0.5,3.73064,0.00077675,6.09033e-05,0.0784078,21017,0,1,1,,1,FIT_INCLUDED,2,1,0.000852773,-7.60232e-05,-1.24826,t2:ok_or_best,B_SIG_LOW
