mode,group_id,curve_label,setting_id,pt_bin,z_bin,pt_lo,pt_hi,pt_center,z_lo,z_hi,z_center,npts,npts_fit,phi_min,phi_max,phi_span,phi_occ,phi_nsectors,dominant_wfrac,M0,M0_err,A,A_err,B,B_err,A_sig,B_sig,chi2,ndf,chi2_ndf,prob,fit_tier,fit_status,cov_status,fit_flag_bits,valid_fit_default,valid_M0_default,valid_A_default,valid_B_default,attempts,note
group,grp_pass4_piplus_LD2_zOv_x0p25_q23p3_thpq2,z = 0.36,pass4/pi+sidis/LD2/z0p36/x0p25/q23p3/hmsPneg1p531_shmsP2p615_hmsTh29p045_shmsTh7p865_thpq2,0,-1,0,0.1,0.05,-999,-999,0.36,14,14,0.19635,6.08684,5.89049,8,8,0.186249,0.00491787,0.000261084,0.0414568,0.0739114,-0.124438,0.0471747,0.560899,2.63781,20.2315,11,1.83923,0.0422648,2,0,3,16384,1,1,0,1,t2:ok_or_best,A_SIG_LOW
group,grp_pass4_piplus_LD2_zOv_x0p25_q23p3_thpq2,z = 0.50,pass4/pi+sidis/LD2/z0p5/x0p25/q23p3/hmsPneg1p531_shmsP3p632_hmsTh29p045_shmsTh7p865_thpq2,0,-1,0,0.1,0.05,-999,-999,0.5,10,10,1.37445,4.90874,3.53429,6,8,0.211142,0.0111291,0.00113107,0.913743,0.0615645,0.279368,0.0335037,14.842,8.33842,10.0064,7,1.42949,0.18821,2,0,3,0,1,1,1,1,t2:ok_or_best,
group,grp_pass4_piplus_LD2_zOv_x0p25_q23p3_thpq2,z = 0.67,pass4/pi+sidis/LD2/z0p67/x0p25/q23p3/hmsPneg1p531_shmsP4p868_hmsTh29p045_shmsTh7p865_thpq2,0,-1,0,0.1,0.05,-999,-999,0.67,8,8,1.76715,4.51604,2.74889,4,8,0.198677,0.00578477,0.00186964,0.523089,0.309894,0.0417501,0.169084,1.68796,0.246919,4.40426,5,0.880851,0.492795,2,0,3,131072,1,1,1,0,t2:ok_or_best,B_SIG_LOW
group,grp_pass4_piplus_LD2_zOv_x0p25_q23p3_thpq2,z = 0.90,pass4/pi+sidis/LD2/z0p9/x0p25/q23p3/hmsPneg1p531_shmsP6p538_hmsTh29p045_shmsTh7p865_thpq2,0,-1,0,0.1,0.05,-999,-999,0.9,6,6,2.15984,4.12334,1.9635,4,8,0.238433,0.0150208,0.00115966,1,1.34631,0.252301,0.0311662,0.742772,8.09532,1.10095,3,0.366982,0.776846,2,0,3,25088,1,1,0,1,t2:ok_or_best,PARAM_AT_LIMIT;A_ERR_BAD;A_SIG_LOW
group,grp_pass4_piplus_LD2_zOv_x0p25_q23p3_thpq2,z = 0.36,pass4/pi+sidis/LD2/z0p36/x0p25/q23p3/hmsPneg1p531_shmsP2p615_hmsTh29p045_shmsTh7p865_thpq2,1,-1,0.1,0.2,0.15,-999,-999,0.36,9,9,0.981748,4.51604,3.53429,5,8,0.204147,0.00416082,0.000644902,-0.0688743,0.240104,-0.10429,0.104881,0.286852,0.994366,23.043,6,3.84049,0.000782218,2,0,3,147456,1,1,0,0,t2:ok_or_best,A_SIG_LOW;B_SIG_LOW
group,grp_pass4_piplus_LD2_zOv_x0p25_q23p3_thpq2,z = 0.50,pass4/pi+sidis/LD2/z0p5/x0p25/q23p3/hmsPneg1p531_shmsP3p632_hmsTh29p045_shmsTh7p865_thpq2,1,-1,0.1,0.2,0.15,-999,-999,0.5,8,8,1.76715,4.51604,2.74889,4,8,0.210881,0.00632983,0.00076654,0.582577,0.11052,0.146984,0.0493337,5.27125,2.97939,9.50444,5,1.90089,0.0905579,2,0,3,0,1,1,1,1,t2:ok_or_best,
group,grp_pass4_piplus_LD2_zOv_x0p25_q23p3_thpq2,z = 0.67,pass4/pi+sidis/LD2/z0p67/x0p25/q23p3/hmsPneg1p531_shmsP4p868_hmsTh29p045_shmsTh7p865_thpq2,1,-1,0.1,0.2,0.15,-999,-999,0.67,8,8,1.76715,4.51604,2.74889,4,8,0.224042,0.00551486,0.000712774,0.640022,0.110702,0.15035,0.0522266,5.78147,2.8788,6.31249,5,1.2625,0.276989,2,0,3,0,1,1,1,1,t2:ok_or_best,
group,grp_pass4_piplus_LD2_zOv_x0p25_q23p3_thpq2,z = 0.90,pass4/pi+sidis/LD2/z0p9/x0p25/q23p3/hmsPneg1p531_shmsP6p538_hmsTh29p045_shmsTh7p865_thpq2,1,-1,0.1,0.2,0.15,-999,-999,0.9,8,8,1.76715,4.51604,2.74889,4,8,0.199854,0.00670847,0.00154216,0.788766,0.162829,0.254076,0.0737599,4.84415,3.44464,0.469593,5,0.0939186,0.993194,2,0,3,0,1,1,1,1,t2:ok_or_best,
group,grp_pass4_piplus_LD2_zOv_x0p25_q23p3_thpq2,z = 0.36,pass4/pi+sidis/LD2/z0p36/x0p25/q23p3/hmsPneg1p531_shmsP2p615_hmsTh29p045_shmsTh7p865_thpq2,2,-1,0.2,0.3,0.25,-999,-999,0.36,7,7,2.15984,4.51604,2.3562,4,8,0.381151,0.00280862,0.000360463,-0.621578,0.141366,-1,1.40794,4.39694,0.710256,21.498,4,5.37449,0.000252217,2,0,3,197120,1,1,1,0,t2:ok_or_best,PARAM_AT_LIMIT;B_ERR_BAD;B_SIG_LOW
group,grp_pass4_piplus_LD2_zOv_x0p25_q23p3_thpq2,z = 0.50,pass4/pi+sidis/LD2/z0p5/x0p25/q23p3/hmsPneg1p531_shmsP3p632_hmsTh29p045_shmsTh7p865_thpq2,2,-1,0.2,0.3,0.25,-999,-999,0.5,8,8,1.76715,4.51604,2.74889,4,8,0.242595,0.010422,0.00158417,0.907456,0.0836912,0.27745,0.0344256,10.8429,8.05942,49.9749,5,9.99498,1.4023e-09,2,0,3,128,0,0,0,0,t2:ok_or_best,PROB_TINY
