mode,group_id,curve_label,setting_id,pt_bin,z_bin,pt_lo,pt_hi,pt_center,z_lo,z_hi,z_center,npts,npts_fit,phi_min,phi_max,phi_span,phi_occ,phi_nsectors,dominant_wfrac,M0,M0_err,A,A_err,B,B_err,A_sig,B_sig,chi2,ndf,chi2_ndf,prob,fit_tier,fit_status,cov_status,fit_flag_bits,valid_fit_default,valid_M0_default,valid_A_default,valid_B_default,attempts,note
group,grp_pass4_piplus_LH2_zOv_x0p25_q23p3_thpq2,z = 0.36,pass4/pi+sidis/LH2/z0p36/x0p25/q23p3/hmsPneg1p531_shmsP2p615_hmsTh29p045_shmsTh7p865_thpq2,0,-1,0,0.1,0.05,-999,-999,0.36,10,10,1.37445,4.90874,3.53429,6,8,0.196768,0.00448826,0.000649042,0.553301,0.141068,0.152219,0.069582,3.92222,2.18762,8.81787,7,1.2597,0.265998,2,0,3,0,1,1,1,1,t2:ok_or_best,
group,grp_pass4_piplus_LH2_zOv_x0p25_q23p3_thpq2,z = 0.50,pass4/pi+sidis/LH2/z0p5/x0p25/q23p3/hmsPneg1p531_shmsP3p632_hmsTh29p045_shmsTh7p865_thpq2,0,-1,0,0.1,0.05,-999,-999,0.5,8,8,1.76715,4.51604,2.74889,4,8,0.236549,0.00379316,0.000236101,0.384392,0.0516658,-999,-999,7.43997,-999,9.51197,6,1.58533,0.146766,1,0,3,0,1,1,1,0,t1:ok_or_best,
group,grp_pass4_piplus_LH2_zOv_x0p25_q23p3_thpq2,z = 0.67,pass4/pi+sidis/LH2/z0p67/x0p25/q23p3/hmsPneg1p531_shmsP4p868_hmsTh29p045_shmsTh7p865_thpq2,0,-1,0,0.1,0.05,-999,-999,0.67,8,8,1.76715,4.51604,2.74889,4,8,0.295046,0.00349582,0.000286069,0.428518,0.0615882,-999,-999,6.9578,-999,5.82057,6,0.970096,0.443587,1,0,3,0,1,1,1,0,t1:ok_or_best,
group,grp_pass4_piplus_LH2_zOv_x0p25_q23p3_thpq2,z = 0.90,pass4/pi+sidis/LH2/z0p9/x0p25/q23p3/hmsPneg1p531_shmsP6p538_hmsTh29p045_shmsTh7p865_thpq2,0,-1,0,0.1,0.05,-999,-999,0.9,2,2,2.94524,3.33794,0.3927,2,8,0.505107,0.00239579,0.000174027,-999,-999,-999,-999,-999,-999,2.96623,1,2.96623,0.0850199,0,0,3,0,1,1,0,0,t0:ok_or_best,
group,grp_pass4_piplus_LH2_zOv_x0p25_q23p3_thpq2,z = 0.36,pass4/pi+sidis/LH2/z0p36/x0p25/q23p3/hmsPneg1p531_shmsP2p615_hmsTh29p045_shmsTh7p865_thpq2,1,-1,0.1,0.2,0.15,-999,-999,0.36,10,10,1.37445,4.90874,3.53429,6,8,0.214284,0.00440743,0.000602033,0.541068,0.13078,0.0968728,0.0645349,4.13725,1.50109,6.01285,7,0.858979,0.538249,2,0,3,0,1,1,1,1,t2:ok_or_best,
group,grp_pass4_piplus_LH2_zOv_x0p25_q23p3_thpq2,z = 0.50,pass4/pi+sidis/LH2/z0p5/x0p25/q23p3/hmsPneg1p531_shmsP3p632_hmsTh29p045_shmsTh7p865_thpq2,1,-1,0.1,0.2,0.15,-999,-999,0.5,8,8,1.76715,4.51604,2.74889,4,8,0.200095,0.00318388,0.000111502,0.299165,0.0320039,-999,-999,9.34776,-999,20.8175,6,3.46958,0.0019784,1,0,3,0,1,1,1,0,t1:ok_or_best,
group,grp_pass4_piplus_LH2_zOv_x0p25_q23p3_thpq2,z = 0.67,pass4/pi+sidis/LH2/z0p67/x0p25/q23p3/hmsPneg1p531_shmsP4p868_hmsTh29p045_shmsTh7p865_thpq2,1,-1,0.1,0.2,0.15,-999,-999,0.67,8,8,1.76715,4.51604,2.74889,4,8,0.222756,0.00255804,0.000111022,0.289823,0.0400407,-999,-999,7.23822,-999,8.70926,6,1.45154,0.190601,1,0,3,0,1,1,1,0,t1:ok_or_best,
group,grp_pass4_piplus_LH2_zOv_x0p25_q23p3_thpq2,z = 0.90,pass4/pi+sidis/LH2/z0p9/x0p25/q23p3/hmsPneg1p531_shmsP6p538_hmsTh29p045_shmsTh7p865_thpq2,1,-1,0.1,0.2,0.15,-999,-999,0.9,8,8,1.76715,4.51604,2.74889,4,8,0.266622,0.00298429,0.00017616,0.404935,0.0495277,-999,-999,8.17592,-999,10.7427,6,1.79045,0.0966619,1,0,3,0,1,1,1,0,t1:ok_or_best,
group,grp_pass4_piplus_LH2_zOv_x0p25_q23p3_thpq2,z = 0.36,pass4/pi+sidis/LH2/z0p36/x0p25/q23p3/hmsPneg1p531_shmsP2p615_hmsTh29p045_shmsTh7p865_thpq2,2,-1,0.2,0.3,0.25,-999,-999,0.36,5,5,2.55254,4.12334,1.5708,3,8,0.380863,0.00447323,0.000903119,0.670809,0.089718,-999,-999,7.47686,-999,4.52096,3,1.50699,0.210428,1,0,3,0,1,1,1,0,t1:ok_or_best,
group,grp_pass4_piplus_LH2_zOv_x0p25_q23p3_thpq2,z = 0.50,pass4/pi+sidis/LH2/z0p5/x0p25/q23p3/hmsPneg1p531_shmsP3p632_hmsTh29p045_shmsTh7p865_thpq2,2,-1,0.2,0.3,0.25,-999,-999,0.5,8,8,1.76715,4.51604,2.74889,4,8,0.232026,0.0025492,3.59989e-05,-999,-999,-999,-999,-999,-999,46.6198,7,6.65997,6.62097e-08,0,0,3,128,0,0,0,0,t1:bad(PROB); t0:ok_or_best,PROB_TINY
