schema_version,mode,group_id,curve_label,setting_id,pt_bin,z_bin,phi_bin,pt_lo,pt_hi,pt_center,z_lo,z_hi,z_center,phi_lo,phi_hi,phi_center,n_sig,n_pos,n_dum,n_posdum,n_net,n_sim,y_sig,y_pos,y_dum,y_posdum,y_net,y_net_err,y_sim,y_sim_err,sim_scale,sigma_model,mean_xB,mean_Q2,nominal_z,xsec,xsec_err,rel_net_err,rel_sim_err,rel_xsec_err,flag_bits,valid_default,note
1,group,grp_pass4_piplus_LH2_zOv_x0p25_q23p3_thpq2,z0p36,pass4/pi+sidis/LH2/z0p36/x0p25/q23p3/hmsPneg1p531_shmsP2p615_hmsTh29p045_shmsTh7p865_thpq2,0,0,0,0,0.1,0.05,0,1,0.5,0,0.392699,0.19635,13,0,4,0,13,565,0.0218104,0,0.0109826,-0.0021416,0.0183747,0.00947508,0.0466069,0.00268936,1e-06,0.00324496,0.25,3.3,0.36,0.00127932,0.000663811,0.515657,0.057703,0.518876,258,0,MC_STARVED;XSEC_BAD_RELERR
1,group,grp_pass4_piplus_LH2_zOv_x0p25_q23p3_thpq2,z0p36,pass4/pi+sidis/LH2/z0p36/x0p25/q23p3/hmsPneg1p531_shmsP2p615_hmsTh29p045_shmsTh7p865_thpq2,0,0,1,0,0.1,0.05,0,1,0.5,0.392699,0.785398,0.589049,19,0,6,0,19,548,0.0278653,-0.00563261,0.0158679,-0.0021416,0.0287834,0.0122342,0.0460718,0.00264843,1e-06,0.00324496,0.25,3.3,0.36,0.00202729,0.00086953,0.425043,0.057485,0.428912,2,0,MC_STARVED
1,group,grp_pass4_piplus_LH2_zOv_x0p25_q23p3_thpq2,z0p36,pass4/pi+sidis/LH2/z0p36/x0p25/q23p3/hmsPneg1p531_shmsP2p615_hmsTh29p045_shmsTh7p865_thpq2,0,0,2,0,0.1,0.05,0,1,0.5,0.785398,1.1781,0.981748,28,0,19,0,28,687,0.0369522,-0.00281631,0.0647035,-0.0021416,0.0222698,0.0149927,0.0587279,0.00303037,1e-06,0.00324496,0.25,3.3,0.36,0.0012305,0.000830837,0.673229,0.0516001,0.675204,256,0,XSEC_BAD_RELERR
1,group,grp_pass4_piplus_LH2_zOv_x0p25_q23p3_thpq2,z0p36,pass4/pi+sidis/LH2/z0p36/x0p25/q23p3/hmsPneg1p531_shmsP2p615_hmsTh29p045_shmsTh7p865_thpq2,0,0,3,0,0.1,0.05,0,1,0.5,1.1781,1.5708,1.37445,96,1,32,2,96,1272,0.142964,0.00844892,0.0854512,0.00428708,0.113268,0.0286989,0.110124,0.00442789,1e-06,0.00324496,0.25,3.3,0.36,0.0033376,0.000856235,0.253372,0.0402082,0.256542,0,1,
1,group,grp_pass4_piplus_LH2_zOv_x0p25_q23p3_thpq2,z0p36,pass4/pi+sidis/LH2/z0p36/x0p25/q23p3/hmsPneg1p531_shmsP2p615_hmsTh29p045_shmsTh7p865_thpq2,0,0,4,0,0.1,0.05,0,1,0.5,1.5708,1.9635,1.76715,438,5,151,3,438,5293,0.640919,0.0140711,0.393122,0.00643257,0.525621,0.0622546,0.480128,0.0100736,1e-06,0.00324496,0.25,3.3,0.36,0.00355242,0.000427299,0.11844,0.020981,0.120284,0,1,
1,group,grp_pass4_piplus_LH2_zOv_x0p25_q23p3_thpq2,z0p36,pass4/pi+sidis/LH2/z0p36/x0p25/q23p3/hmsPneg1p531_shmsP2p615_hmsTh29p045_shmsTh7p865_thpq2,0,0,5,0,0.1,0.05,0,1,0.5,1.9635,2.35619,2.15984,962,10,291,10,962,13937,1.43516,0.0225166,0.609123,0.0342306,1.26215,0.0912032,1.38553,0.0178203,1e-06,0.00324496,0.25,3.3,0.36,0.00295599,0.000216959,0.0722604,0.0128618,0.0733962,0,1,
1,group,grp_pass4_piplus_LH2_zOv_x0p25_q23p3_thpq2,z0p36,pass4/pi+sidis/LH2/z0p36/x0p25/q23p3/hmsPneg1p531_shmsP2p615_hmsTh29p045_shmsTh7p865_thpq2,0,0,6,0,0.1,0.05,0,1,0.5,2.35619,2.74889,2.55254,1347,5,459,18,1347,20538,2.02519,-0.0506874,1.16829,0.0513633,1.78349,0.102702,2.11364,0.0223825,1e-06,0.00324496,0.25,3.3,0.36,0.00273809,0.000160317,0.057585,0.0105896,0.0585506,0,1,
1,group,grp_pass4_piplus_LH2_zOv_x0p25_q23p3_thpq2,z0p36,pass4/pi+sidis/LH2/z0p36/x0p25/q23p3/hmsPneg1p531_shmsP2p615_hmsTh29p045_shmsTh7p865_thpq2,0,0,7,0,0.1,0.05,0,1,0.5,2.74889,3.14159,2.94524,1537,12,492,16,1537,22949,2.42862,-0.0112722,1.24394,0.0320812,2.12265,0.112901,2.37474,0.0238781,1e-06,0.00324496,0.25,3.3,0.36,0.00290049,0.000157006,0.0531888,0.010055,0.0541309,0,1,
1,group,grp_pass4_piplus_LH2_zOv_x0p25_q23p3_thpq2,z0p36,pass4/pi+sidis/LH2/z0p36/x0p25/q23p3/hmsPneg1p531_shmsP2p615_hmsTh29p045_shmsTh7p865_thpq2,0,0,8,0,0.1,0.05,0,1,0.5,3.14159,3.53429,3.33794,1463,11,482,14,1463,23137,2.21058,0.00563609,1.25138,0.0256719,1.88407,0.109994,2.35984,0.0237503,1e-06,0.00324496,0.25,3.3,0.36,0.00259075,0.000153481,0.0583809,0.0100644,0.0592421,0,1,
1,group,grp_pass4_piplus_LH2_zOv_x0p25_q23p3_thpq2,z0p36,pass4/pi+sidis/LH2/z0p36/x0p25/q23p3/hmsPneg1p531_shmsP2p615_hmsTh29p045_shmsTh7p865_thpq2,0,0,9,0,0.1,0.05,0,1,0.5,3.53429,3.92699,3.73064,1342,16,466,14,1342,21017,1.9834,0.0535081,1.1903,0.0427931,1.6295,0.109428,2.14291,0.0225014,1e-06,0.00324496,0.25,3.3,0.36,0.00246751,0.000167717,0.067154,0.0105004,0.06797,0,1,
1,group,grp_pass4_piplus_LH2_zOv_x0p25_q23p3_thpq2,z0p36,pass4/pi+sidis/LH2/z0p36/x0p25/q23p3/hmsPneg1p531_shmsP2p615_hmsTh29p045_shmsTh7p865_thpq2,0,0,10,0,0.1,0.05,0,1,0.5,3.92699,4.31969,4.12334,1026,10,308,11,1026,14591,1.54543,0.0168839,0.732461,0.0406709,1.34745,0.093631,1.46671,0.0183651,1e-06,0.00324496,0.25,3.3,0.36,0.0029811,0.000210485,0.0694875,0.0125212,0.0706066,0,1,
1,group,grp_pass4_piplus_LH2_zOv_x0p25_q23p3_thpq2,z0p36,pass4/pi+sidis/LH2/z0p36/x0p25/q23p3/hmsPneg1p531_shmsP2p615_hmsTh29p045_shmsTh7p865_thpq2,0,0,11,0,0.1,0.05,0,1,0.5,4.31969,4.71239,4.51604,401,5,137,5,401,5476,0.585165,0.0337861,0.356454,0.021416,0.463672,0.0597149,0.494501,0.010099,1e-06,0.00324496,0.25,3.3,0.36,0.00304266,0.000396751,0.128787,0.0204226,0.130396,0,1,
1,group,grp_pass4_piplus_LH2_zOv_x0p25_q23p3_thpq2,z0p36,pass4/pi+sidis/LH2/z0p36/x0p25/q23p3/hmsPneg1p531_shmsP2p615_hmsTh29p045_shmsTh7p865_thpq2,0,0,12,0,0.1,0.05,0,1,0.5,4.71239,5.10509,4.90874,117,0,35,2,117,1349,0.195676,-0.00563174,0.0659147,0.0085625,0.186294,0.0288788,0.108399,0.00430604,1e-06,0.00324496,0.25,3.3,0.36,0.00557677,0.000892431,0.155018,0.039724,0.160026,0,1,
1,group,grp_pass4_piplus_LH2_zOv_x0p25_q23p3_thpq2,z0p36,pass4/pi+sidis/LH2/z0p36/x0p25/q23p3/hmsPneg1p531_shmsP2p615_hmsTh29p045_shmsTh7p865_thpq2,0,0,13,0,0.1,0.05,0,1,0.5,5.10509,5.49779,5.30144,35,1,17,0,35,784,0.0502819,0.00844892,0.0646913,-0.0021416,0.0243375,0.019771,0.0634318,0.00312305,1e-06,0.00324496,0.25,3.3,0.36,0.00124502,0.00101328,0.812369,0.0492348,0.81386,256,0,XSEC_BAD_RELERR
1,group,grp_pass4_piplus_LH2_zOv_x0p25_q23p3_thpq2,z0p36,pass4/pi+sidis/LH2/z0p36/x0p25/q23p3/hmsPneg1p531_shmsP2p615_hmsTh29p045_shmsTh7p865_thpq2,0,0,14,0,0.1,0.05,0,1,0.5,5.49779,5.89049,5.69414,18,0,8,0,18,587,0.0175694,0,0.028073,0,0.0102204,0.011639,0.0470986,0.00263724,1e-06,0.00324496,0.25,3.3,0.36,0.000704157,0.000802861,1.1388,0.0559939,1.14017,258,0,MC_STARVED;XSEC_BAD_RELERR
1,group,grp_pass4_piplus_LH2_zOv_x0p25_q23p3_thpq2,z0p36,pass4/pi+sidis/LH2/z0p36/x0p25/q23p3/hmsPneg1p531_shmsP2p615_hmsTh29p045_shmsTh7p865_thpq2,0,0,15,0,0.1,0.05,0,1,0.5,5.89049,6.28319,6.08684,15,0,4,0,15,545,0.0254438,0,0.0073247,0,0.0235263,0.0101115,0.0429327,0.00247899,1e-06,0.00324496,0.25,3.3,0.36,0.00177817,0.000771115,0.429794,0.0577413,0.433655,2,0,MC_STARVED
1,group,grp_pass4_piplus_LH2_zOv_x0p25_q23p3_thpq2,z0p36,pass4/pi+sidis/LH2/z0p36/x0p25/q23p3/hmsPneg1p531_shmsP2p615_hmsTh29p045_shmsTh7p865_thpq2,1,0,0,0.1,0.2,0.15,0,1,0.5,0,0.392699,0.19635,2,0,1,0,2,222,0.00424056,0,0.00488143,0,0.0029627,0.00370722,0.0165263,0.00148738,1e-06,0.00324496,0.25,3.3,0.36,0.000581729,0.000729798,1.2513,0.0900008,1.25453,258,0,MC_STARVED;XSEC_BAD_RELERR
