mode,group_id,curve_label,setting_id,pt_bin,z_bin,pt_lo,pt_hi,pt_center,z_lo,z_hi,z_center,npts,npts_fit,phi_min,phi_max,phi_span,phi_occ,phi_nsectors,dominant_wfrac,M0,M0_err,A,A_err,B,B_err,A_sig,B_sig,chi2,ndf,chi2_ndf,prob,fit_tier,fit_status,cov_status,fit_flag_bits,valid_fit_default,valid_M0_default,valid_A_default,valid_B_default,attempts,note
group,grp_pass5_piminus_LH2_zOv_x0p25_q23p3_thpq2,z = 0.36,pass5/pi-sidis/LH2/z0p36/x0p25/q23p3/hmsPneg3p642_shmsPneg2p615_hmsTh16p75_shmsTh10p305_thpq2,0,-1,0,0.1,0.05,-999,-999,0.36,16,16,0.19635,6.08684,5.89049,8,8,0.184821,0.00316444,7.34045e-05,0.0392724,0.0343788,-0.0849466,0.023243,1.14234,3.65473,20.801,13,1.60008,0.0769587,2,0,3,0,1,1,1,1,t2:ok_or_best,
group,grp_pass5_piminus_LH2_zOv_x0p25_q23p3_thpq2,z = 0.50,pass5/pi-sidis/LH2/z0p5/x0p25/q23p3/hmsPneg3p642_shmsPneg3p632_hmsTh16p75_shmsTh10p305_thpq2,0,-1,0,0.1,0.05,-999,-999,0.5,16,16,0.19635,6.08684,5.89049,8,8,0.183039,0.00282927,9.1993e-05,0.329861,0.0417012,0.0473934,0.0284995,7.9101,1.66295,14.8952,13,1.14579,0.313939,2,0,3,0,1,1,1,1,t2:ok_or_best,
group,grp_pass5_piminus_LH2_zOv_x0p25_q23p3_thpq2,z = 0.67,pass5/pi-sidis/LH2/z0p67/x0p25/q23p3/hmsPneg3p642_shmsPneg4p868_hmsTh16p75_shmsTh10p305_thpq2,0,-1,0,0.1,0.05,-999,-999,0.67,16,16,0.19635,6.08684,5.89049,8,8,0.16552,0.00200603,6.01064e-05,0.263778,0.0402016,0.0075675,0.0304204,6.56138,0.248764,11.3052,13,0.869628,0.585269,2,0,3,131072,1,1,1,0,t2:ok_or_best,B_SIG_LOW
group,grp_pass5_piminus_LH2_zOv_x0p25_q23p3_thpq2,z = 0.90,pass5/pi-sidis/LH2/z0p9/x0p25/q23p3/hmsPneg3p642_shmsPneg6p538_hmsTh16p75_shmsTh10p305_thpq2,0,-1,0,0.1,0.05,-999,-999,0.9,11,11,1.37445,5.30144,3.92699,6,8,0.166632,0.00184433,0.000221355,0.0961491,0.184979,-0.00164597,0.110791,0.519785,0.0148565,6.73782,8,0.842227,0.565166,2,0,3,147456,1,1,0,0,t2:ok_or_best,A_SIG_LOW;B_SIG_LOW
group,grp_pass5_piminus_LH2_zOv_x0p25_q23p3_thpq2,z = 0.36,pass5/pi-sidis/LH2/z0p36/x0p25/q23p3/hmsPneg3p642_shmsPneg2p615_hmsTh16p75_shmsTh10p305_thpq2,1,-1,0.1,0.2,0.15,-999,-999,0.36,14,14,0.589049,6.08684,5.49779,8,8,0.188856,0.00241814,7.7217e-05,-0.244063,0.0559834,-0.219116,0.0292555,4.35957,7.48976,57.4196,11,5.21996,2.78466e-08,2,0,3,128,0,0,0,0,t2:ok_or_best,PROB_TINY
group,grp_pass5_piminus_LH2_zOv_x0p25_q23p3_thpq2,z = 0.50,pass5/pi-sidis/LH2/z0p5/x0p25/q23p3/hmsPneg3p642_shmsPneg3p632_hmsTh16p75_shmsTh10p305_thpq2,1,-1,0.1,0.2,0.15,-999,-999,0.5,12,12,0.981748,5.30144,4.31969,6,8,0.20015,0.0028975,0.000143892,0.416706,0.0563552,0.100702,0.0277201,7.39429,3.63282,24.1518,9,2.68354,0.00406763,2,0,3,0,1,1,1,1,t2:ok_or_best,
group,grp_pass5_piminus_LH2_zOv_x0p25_q23p3_thpq2,z = 0.67,pass5/pi-sidis/LH2/z0p67/x0p25/q23p3/hmsPneg3p642_shmsPneg4p868_hmsTh16p75_shmsTh10p305_thpq2,1,-1,0.1,0.2,0.15,-999,-999,0.67,12,12,0.981748,5.30144,4.31969,6,8,0.196261,0.00218261,9.66248e-05,0.491128,0.047737,0.125126,0.025389,10.2882,4.92835,17.8241,9,1.98046,0.03727,2,0,3,0,1,1,1,1,t2:ok_or_best,
group,grp_pass5_piminus_LH2_zOv_x0p25_q23p3_thpq2,z = 0.90,pass5/pi-sidis/LH2/z0p9/x0p25/q23p3/hmsPneg3p642_shmsPneg6p538_hmsTh16p75_shmsTh10p305_thpq2,1,-1,0.1,0.2,0.15,-999,-999,0.9,10,10,1.37445,4.90874,3.53429,6,8,0.205542,0.00181892,0.00022236,0.425901,0.138968,0.0771536,0.0735091,3.06475,1.04958,3.86746,7,0.552494,0.794911,2,0,3,0,1,1,1,1,t2:ok_or_best,
group,grp_pass5_piminus_LH2_zOv_x0p25_q23p3_thpq2,z = 0.36,pass5/pi-sidis/LH2/z0p36/x0p25/q23p3/hmsPneg3p642_shmsPneg2p615_hmsTh16p75_shmsTh10p305_thpq2,2,-1,0.2,0.3,0.25,-999,-999,0.36,11,11,1.37445,5.30144,3.92699,6,8,0.211831,0.00372556,0.000420215,0.383141,0.127629,-0.0756347,0.0760654,3.002,0.994337,36.9067,8,4.61333,1.19728e-05,2,0,3,131072,1,1,1,0,t2:ok_or_best,B_SIG_LOW
group,grp_pass5_piminus_LH2_zOv_x0p25_q23p3_thpq2,z = 0.50,pass5/pi-sidis/LH2/z0p5/x0p25/q23p3/hmsPneg3p642_shmsPneg3p632_hmsTh16p75_shmsTh10p305_thpq2,2,-1,0.2,0.3,0.25,-999,-999,0.5,10,10,1.37445,4.90874,3.53429,6,8,0.184978,0.0031053,0.000219831,0.495425,0.0731286,0.127743,0.0346474,6.77471,3.68695,22.7381,7,3.24831,0.00189307,2,0,3,0,1,1,1,1,t2:ok_or_best,
