mode,group_id,tier_tag,curve_label_raw,plot_label,setting_id,pt_bin,z_bin,phi_bin,pt_lo,pt_hi,pt_center,z_lo,z_hi,z_center,phi_center,xsec,xsec_err,rel_xsec_err,n_sim,flag_bits,valid_default,is_plotted,plot_drop_reason,is_used_in_fit,fit_excl_reason,fit_tier,valid_fit_default,y_fit,residual,pull,attempts,note
group,grp_pass5_piminus_LH2_zOv_x0p25_q23p3_thpq2,tierOff,z0p36,z = 0.36,pass5/pi-sidis/LH2/z0p36/x0p25/q23p3/hmsPneg3p642_shmsPneg2p615_hmsTh16p75_shmsTh10p305_thpq2,0,0,0,0,0.1,0.05,0,1,0.5,0.19635,0.00271465,0.00045121,0.166213,765,0,1,1,,1,FIT_INCLUDED,2,1,0.00303798,-0.000323326,-0.716576,t2:ok_or_best,
group,grp_pass5_piminus_LH2_zOv_x0p25_q23p3_thpq2,tierOff,z0p36,z = 0.36,pass5/pi-sidis/LH2/z0p36/x0p25/q23p3/hmsPneg3p642_shmsPneg2p615_hmsTh16p75_shmsTh10p305_thpq2,0,0,1,0,0.1,0.05,0,1,0.5,0.589049,0.00240921,0.000437393,0.18155,918,0,1,1,,1,FIT_INCLUDED,2,1,0.0031649,-0.000755688,-1.72771,t2:ok_or_best,
group,grp_pass5_piminus_LH2_zOv_x0p25_q23p3_thpq2,tierOff,z0p36,z = 0.36,pass5/pi-sidis/LH2/z0p36/x0p25/q23p3/hmsPneg3p642_shmsPneg2p615_hmsTh16p75_shmsTh10p305_thpq2,0,0,2,0,0.1,0.05,0,1,0.5,0.981748,0.00397794,0.000396946,0.0997868,1483,0,1,1,,1,FIT_INCLUDED,2,1,0.00333635,0.000641593,1.61632,t2:ok_or_best,
group,grp_pass5_piminus_LH2_zOv_x0p25_q23p3_thpq2,tierOff,z0p36,z = 0.36,pass5/pi-sidis/LH2/z0p36/x0p25/q23p3/hmsPneg3p642_shmsPneg2p615_hmsTh16p75_shmsTh10p305_thpq2,0,0,3,0,0.1,0.05,0,1,0.5,1.37445,0.00340406,0.000258069,0.0758122,3376,0,1,1,,1,FIT_INCLUDED,2,1,0.00343703,-3.29668e-05,-0.127744,t2:ok_or_best,
group,grp_pass5_piminus_LH2_zOv_x0p25_q23p3_thpq2,tierOff,z0p36,z = 0.36,pass5/pi-sidis/LH2/z0p36/x0p25/q23p3/hmsPneg3p642_shmsPneg2p615_hmsTh16p75_shmsTh10p305_thpq2,0,0,4,0,0.1,0.05,0,1,0.5,1.76715,0.00337641,0.000166185,0.0492194,6936,0,1,1,,1,FIT_INCLUDED,2,1,0.00338854,-1.21255e-05,-0.072964,t2:ok_or_best,
group,grp_pass5_piminus_LH2_zOv_x0p25_q23p3_thpq2,tierOff,z0p36,z = 0.36,pass5/pi-sidis/LH2/z0p36/x0p25/q23p3/hmsPneg3p642_shmsPneg2p615_hmsTh16p75_shmsTh10p305_thpq2,0,0,5,0,0.1,0.05,0,1,0.5,2.15984,0.00322601,0.000118937,0.0368682,11386,0,1,1,,1,FIT_INCLUDED,2,1,0.00319826,2.77467e-05,0.233289,t2:ok_or_best,
group,grp_pass5_piminus_LH2_zOv_x0p25_q23p3_thpq2,tierOff,z0p36,z = 0.36,pass5/pi-sidis/LH2/z0p36/x0p25/q23p3/hmsPneg3p642_shmsPneg2p615_hmsTh16p75_shmsTh10p305_thpq2,0,0,6,0,0.1,0.05,0,1,0.5,2.55254,0.00295321,9.45628e-05,0.0320204,15953,0,1,1,,1,FIT_INCLUDED,2,1,0.00295824,-5.02846e-06,-0.0531758,t2:ok_or_best,
group,grp_pass5_piminus_LH2_zOv_x0p25_q23p3_thpq2,tierOff,z0p36,z = 0.36,pass5/pi-sidis/LH2/z0p36/x0p25/q23p3/hmsPneg3p642_shmsPneg2p615_hmsTh16p75_shmsTh10p305_thpq2,0,0,7,0,0.1,0.05,0,1,0.5,2.94524,0.00282465,8.34272e-05,0.0295355,19112,0,1,1,,1,FIT_INCLUDED,2,1,0.0027942,3.04472e-05,0.364955,t2:ok_or_best,
group,grp_pass5_piminus_LH2_zOv_x0p25_q23p3_thpq2,tierOff,z0p36,z = 0.36,pass5/pi-sidis/LH2/z0p36/x0p25/q23p3/hmsPneg3p642_shmsPneg2p615_hmsTh16p75_shmsTh10p305_thpq2,0,0,8,0,0.1,0.05,0,1,0.5,3.33794,0.00275259,8.17603e-05,0.029703,19797,0,1,1,,1,FIT_INCLUDED,2,1,0.0027942,-4.16116e-05,-0.508946,t2:ok_or_best,
group,grp_pass5_piminus_LH2_zOv_x0p25_q23p3_thpq2,tierOff,z0p36,z = 0.36,pass5/pi-sidis/LH2/z0p36/x0p25/q23p3/hmsPneg3p642_shmsPneg2p615_hmsTh16p75_shmsTh10p305_thpq2,0,0,9,0,0.1,0.05,0,1,0.5,3.73064,0.00305893,9.1709e-05,0.0299807,16953,0,1,1,,1,FIT_INCLUDED,2,1,0.00295824,0.000100695,1.09798,t2:ok_or_best,
group,grp_pass5_piminus_LH2_zOv_x0p25_q23p3_thpq2,tierOff,z0p36,z = 0.36,pass5/pi-sidis/LH2/z0p36/x0p25/q23p3/hmsPneg3p642_shmsPneg2p615_hmsTh16p75_shmsTh10p305_thpq2,0,0,10,0,0.1,0.05,0,1,0.5,4.12334,0.00303916,0.00011402,0.0375168,12475,0,1,1,,1,FIT_INCLUDED,2,1,0.00319826,-0.0001591,-1.39537,t2:ok_or_best,
group,grp_pass5_piminus_LH2_zOv_x0p25_q23p3_thpq2,tierOff,z0p36,z = 0.36,pass5/pi-sidis/LH2/z0p36/x0p25/q23p3/hmsPneg3p642_shmsPneg2p615_hmsTh16p75_shmsTh10p305_thpq2,0,0,11,0,0.1,0.05,0,1,0.5,4.51604,0.00315993,0.000157772,0.049929,7505,0,1,1,,1,FIT_INCLUDED,2,1,0.00338854,-0.000228607,-1.44897,t2:ok_or_best,
group,grp_pass5_piminus_LH2_zOv_x0p25_q23p3_thpq2,tierOff,z0p36,z = 0.36,pass5/pi-sidis/LH2/z0p36/x0p25/q23p3/hmsPneg3p642_shmsPneg2p615_hmsTh16p75_shmsTh10p305_thpq2,0,0,12,0,0.1,0.05,0,1,0.5,4.90874,0.00413543,0.00025978,0.0628182,3481,0,1,1,,1,FIT_INCLUDED,2,1,0.00343703,0.000698404,2.68844,t2:ok_or_best,
group,grp_pass5_piminus_LH2_zOv_x0p25_q23p3_thpq2,tierOff,z0p36,z = 0.36,pass5/pi-sidis/LH2/z0p36/x0p25/q23p3/hmsPneg3p642_shmsPneg2p615_hmsTh16p75_shmsTh10p305_thpq2,0,0,13,0,0.1,0.05,0,1,0.5,5.30144,0.00385426,0.000409862,0.10634,1475,0,1,1,,1,FIT_INCLUDED,2,1,0.00333635,0.000517914,1.26363,t2:ok_or_best,
group,grp_pass5_piminus_LH2_zOv_x0p25_q23p3_thpq2,tierOff,z0p36,z = 0.36,pass5/pi-sidis/LH2/z0p36/x0p25/q23p3/hmsPneg3p642_shmsPneg2p615_hmsTh16p75_shmsTh10p305_thpq2,0,0,14,0,0.1,0.05,0,1,0.5,5.69414,0.00301659,0.000462881,0.153445,875,0,1,1,,1,FIT_INCLUDED,2,1,0.0031649,-0.000148306,-0.320398,t2:ok_or_best,
group,grp_pass5_piminus_LH2_zOv_x0p25_q23p3_thpq2,tierOff,z0p36,z = 0.36,pass5/pi-sidis/LH2/z0p36/x0p25/q23p3/hmsPneg3p642_shmsPneg2p615_hmsTh16p75_shmsTh10p305_thpq2,0,0,15,0,0.1,0.05,0,1,0.5,6.08684,0.00294378,0.000472905,0.160646,752,0,1,1,,1,FIT_INCLUDED,2,1,0.00303798,-9.41952e-05,-0.199184,t2:ok_or_best,
group,grp_pass5_piminus_LH2_zOv_x0p25_q23p3_thpq2,tierOff,z0p36,z = 0.36,pass5/pi-sidis/LH2/z0p36/x0p25/q23p3/hmsPneg3p642_shmsPneg2p615_hmsTh16p75_shmsTh10p305_thpq2,1,0,0,0.1,0.2,0.15,0,1,0.5,0.19635,0.000868693,0.000443779,0.510858,266,256,0,0,VALID_DEFAULT0,0,,2,0,0.00134978,-0.000481087,-1.08407,t2:ok_or_best,PROB_TINY
group,grp_pass5_piminus_LH2_zOv_x0p25_q23p3_thpq2,tierOff,z0p36,z = 0.36,pass5/pi-sidis/LH2/z0p36/x0p25/q23p3/hmsPneg3p642_shmsPneg2p615_hmsTh16p75_shmsTh10p305_thpq2,1,0,1,0.1,0.2,0.15,0,1,0.5,0.589049,0.00136401,0.000449444,0.329503,330,0,1,1,,1,FIT_INCLUDED,2,0,0.00172466,-0.000360648,-0.80243,t2:ok_or_best,PROB_TINY
group,grp_pass5_piminus_LH2_zOv_x0p25_q23p3_thpq2,tierOff,z0p36,z = 0.36,pass5/pi-sidis/LH2/z0p36/x0p25/q23p3/hmsPneg3p642_shmsPneg2p615_hmsTh16p75_shmsTh10p305_thpq2,1,0,2,0.1,0.2,0.15,0,1,0.5,0.981748,0.00227379,0.000466744,0.205272,644,0,1,1,,1,FIT_INCLUDED,2,0,0.00229302,-1.92297e-05,-0.0411997,t2:ok_or_best,PROB_TINY
