z_label,pass,pt_bin,phi_bin,pt_lo,pt_hi,pt_center,phi_lo_rad,phi_hi_rad,phi_center_rad,random_subtracted_counts,coin_counts_raw,random_avg_counts,n_runs,n_manifests,n_groups
z0p36,pass4,0,0,0,0.01,0.005,0,0.087266463,0.043633231,1.25,2,0.75,72,4,4
z0p36,pass4,1,0,0.01,0.02,0.015,0,0.087266463,0.043633231,3.25,4,0.75,72,4,4
z0p36,pass4,2,0,0.02,0.03,0.025,0,0.087266463,0.043633231,5.25,6,0.75,72,4,4
z0p36,pass4,3,0,0.03,0.04,0.035,0,0.087266463,0.043633231,-1.25,0,1.25,72,4,4
z0p36,pass4,4,0,0.04,0.05,0.045,0,0.087266463,0.043633231,1,1,0,72,4,4
z0p36,pass4,5,0,0.05,0.06,0.055,0,0.087266463,0.043633231,0.75,1,0.25,72,4,4
z0p36,pass4,6,0,0.06,0.07,0.065,0,0.087266463,0.043633231,-0.25,0,0.25,72,4,4
z0p36,pass4,7,0,0.07,0.08,0.075,0,0.087266463,0.043633231,0,0,0,72,4,4
z0p36,pass4,8,0,0.08,0.09,0.085,0,0.087266463,0.043633231,0,0,0,72,4,4
z0p36,pass4,9,0,0.09,0.1,0.095,0,0.087266463,0.043633231,2,2,0,72,4,4
z0p36,pass4,10,0,0.1,0.11,0.105,0,0.087266463,0.043633231,0,0,0,72,4,4
z0p36,pass4,11,0,0.11,0.12,0.115,0,0.087266463,0.043633231,0,0,0,72,4,4
z0p36,pass4,12,0,0.12,0.13,0.125,0,0.087266463,0.043633231,0,0,0,72,4,4
z0p36,pass4,13,0,0.13,0.14,0.135,0,0.087266463,0.043633231,-0.5,0,0.5,72,4,4
z0p36,pass4,14,0,0.14,0.15,0.145,0,0.087266463,0.043633231,-0.25,0,0.25,72,4,4
z0p36,pass4,15,0,0.15,0.16,0.155,0,0.087266463,0.043633231,1,1,0,72,4,4
z0p36,pass4,16,0,0.16,0.17,0.165,0,0.087266463,0.043633231,0,0,0,72,4,4
z0p36,pass4,17,0,0.17,0.18,0.175,0,0.087266463,0.043633231,0,0,0,72,4,4
z0p36,pass4,18,0,0.18,0.19,0.185,0,0.087266463,0.043633231,0,0,0,72,4,4
z0p36,pass4,19,0,0.19,0.2,0.195,0,0.087266463,0.043633231,0,0,0,72,4,4
z0p36,pass4,20,0,0.2,0.21,0.205,0,0.087266463,0.043633231,1,1,0,72,4,4
z0p36,pass4,21,0,0.21,0.22,0.215,0,0.087266463,0.043633231,0,0,0,72,4,4
z0p36,pass4,22,0,0.22,0.23,0.225,0,0.087266463,0.043633231,0,0,0,72,4,4
z0p36,pass4,23,0,0.23,0.24,0.235,0,0.087266463,0.043633231,0,0,0,72,4,4
z0p36,pass4,24,0,0.24,0.25,0.245,0,0.087266463,0.043633231,0.75,1,0.25,72,4,4
z0p36,pass4,25,0,0.25,0.26,0.255,0,0.087266463,0.043633231,0,0,0,72,4,4
z0p36,pass4,26,0,0.26,0.27,0.265,0,0.087266463,0.043633231,0,0,0,72,4,4
z0p36,pass4,27,0,0.27,0.28,0.275,0,0.087266463,0.043633231,0,0,0,72,4,4
z0p36,pass4,28,0,0.28,0.29,0.285,0,0.087266463,0.043633231,0,0,0,72,4,4
z0p36,pass4,29,0,0.29,0.3,0.295,0,0.087266463,0.043633231,0,0,0,72,4,4
z0p36,pass4,30,0,0.3,0.31,0.305,0,0.087266463,0.043633231,0,0,0,72,4,4
z0p36,pass4,31,0,0.31,0.32,0.315,0,0.087266463,0.043633231,0,0,0,72,4,4
z0p36,pass4,32,0,0.32,0.33,0.325,0,0.087266463,0.043633231,0,0,0,72,4,4
z0p36,pass4,33,0,0.33,0.34,0.335,0,0.087266463,0.043633231,0,0,0,72,4,4
z0p36,pass4,34,0,0.34,0.35,0.345,0,0.087266463,0.043633231,0,0,0,72,4,4
z0p36,pass4,35,0,0.35,0.36,0.355,0,0.087266463,0.043633231,0,0,0,72,4,4
z0p36,pass4,36,0,0.36,0.37,0.365,0,0.087266463,0.043633231,0,0,0,72,4,4
z0p36,pass4,37,0,0.37,0.38,0.375,0,0.087266463,0.043633231,0,0,0,72,4,4
z0p36,pass4,38,0,0.38,0.39,0.385,0,0.087266463,0.043633231,1,1,0,72,4,4
z0p36,pass4,39,0,0.39,0.4,0.395,0,0.087266463,0.043633231,0,0,0,72,4,4
z0p36,pass4,40,0,0.4,0.41,0.405,0,0.087266463,0.043633231,0,0,0,72,4,4
z0p36,pass4,41,0,0.41,0.42,0.415,0,0.087266463,0.043633231,-0.25,0,0.25,72,4,4
z0p36,pass4,42,0,0.42,0.43,0.425,0,0.087266463,0.043633231,0,0,0,72,4,4
z0p36,pass4,43,0,0.43,0.44,0.435,0,0.087266463,0.043633231,-0.25,0,0.25,72,4,4
z0p36,pass4,44,0,0.44,0.45,0.445,0,0.087266463,0.043633231,0,0,0,72,4,4
z0p36,pass4,45,0,0.45,0.46,0.455,0,0.087266463,0.043633231,0,0,0,72,4,4
z0p36,pass4,46,0,0.46,0.47,0.465,0,0.087266463,0.043633231,0,0,0,72,4,4
z0p36,pass4,47,0,0.47,0.48,0.475,0,0.087266463,0.043633231,0,0,0,72,4,4
z0p36,pass4,48,0,0.48,0.49,0.485,0,0.087266463,0.043633231,0,0,0,72,4,4
z0p36,pass4,49,0,0.49,0.5,0.495,0,0.087266463,0.043633231,0,0,0,72,4,4
z0p36,pass4,50,0,0.5,0.51,0.505,0,0.087266463,0.043633231,0,0,0,72,4,4
z0p36,pass4,51,0,0.51,0.52,0.515,0,0.087266463,0.043633231,0,0,0,72,4,4
z0p36,pass4,52,0,0.52,0.53,0.525,0,0.087266463,0.043633231,0,0,0,72,4,4
z0p36,pass4,53,0,0.53,0.54,0.535,0,0.087266463,0.043633231,0,0,0,72,4,4
z0p36,pass4,54,0,0.54,0.55,0.545,0,0.087266463,0.043633231,-0.25,0,0.25,72,4,4
z0p36,pass4,55,0,0.55,0.56,0.555,0,0.087266463,0.043633231,0,0,0,72,4,4
z0p36,pass4,56,0,0.56,0.57,0.565,0,0.087266463,0.043633231,0,0,0,72,4,4
z0p36,pass4,57,0,0.57,0.58,0.575,0,0.087266463,0.043633231,0,0,0,72,4,4
z0p36,pass4,58,0,0.58,0.59,0.585,0,0.087266463,0.043633231,0,0,0,72,4,4
z0p36,pass4,59,0,0.59,0.6,0.595,0,0.087266463,0.043633231,0,0,0,72,4,4
z0p36,pass4,0,1,0,0.01,0.005,0.087266463,0.17453293,0.13089969,-1,0,1,72,4,4
z0p36,pass4,1,1,0.01,0.02,0.015,0.087266463,0.17453293,0.13089969,2,3,1,72,4,4
z0p36,pass4,2,1,0.02,0.03,0.025,0.087266463,0.17453293,0.13089969,-0.25,1,1.25,72,4,4
z0p36,pass4,3,1,0.03,0.04,0.035,0.087266463,0.17453293,0.13089969,-0.75,0,0.75,72,4,4
z0p36,pass4,4,1,0.04,0.05,0.045,0.087266463,0.17453293,0.13089969,1.5,2,0.5,72,4,4
z0p36,pass4,5,1,0.05,0.06,0.055,0.087266463,0.17453293,0.13089969,2,2,0,72,4,4
z0p36,pass4,6,1,0.06,0.07,0.065,0.087266463,0.17453293,0.13089969,0.5,1,0.5,72,4,4
z0p36,pass4,7,1,0.07,0.08,0.075,0.087266463,0.17453293,0.13089969,-0.25,0,0.25,72,4,4
z0p36,pass4,8,1,0.08,0.09,0.085,0.087266463,0.17453293,0.13089969,0.75,1,0.25,72,4,4
z0p36,pass4,9,1,0.09,0.1,0.095,0.087266463,0.17453293,0.13089969,0.75,1,0.25,72,4,4
z0p36,pass4,10,1,0.1,0.11,0.105,0.087266463,0.17453293,0.13089969,0,0,0,72,4,4
z0p36,pass4,11,1,0.11,0.12,0.115,0.087266463,0.17453293,0.13089969,-0.25,0,0.25,72,4,4
z0p36,pass4,12,1,0.12,0.13,0.125,0.087266463,0.17453293,0.13089969,0,0,0,72,4,4
z0p36,pass4,13,1,0.13,0.14,0.135,0.087266463,0.17453293,0.13089969,-0.25,0,0.25,72,4,4
z0p36,pass4,14,1,0.14,0.15,0.145,0.087266463,0.17453293,0.13089969,0,0,0,72,4,4
z0p36,pass4,15,1,0.15,0.16,0.155,0.087266463,0.17453293,0.13089969,0,0,0,72,4,4
z0p36,pass4,16,1,0.16,0.17,0.165,0.087266463,0.17453293,0.13089969,0,0,0,72,4,4
z0p36,pass4,17,1,0.17,0.18,0.175,0.087266463,0.17453293,0.13089969,0,0,0,72,4,4
z0p36,pass4,18,1,0.18,0.19,0.185,0.087266463,0.17453293,0.13089969,0,0,0,72,4,4
z0p36,pass4,19,1,0.19,0.2,0.195,0.087266463,0.17453293,0.13089969,0,0,0,72,4,4
z0p36,pass4,20,1,0.2,0.21,0.205,0.087266463,0.17453293,0.13089969,1,1,0,72,4,4
z0p36,pass4,21,1,0.21,0.22,0.215,0.087266463,0.17453293,0.13089969,0,0,0,72,4,4
z0p36,pass4,22,1,0.22,0.23,0.225,0.087266463,0.17453293,0.13089969,0,0,0,72,4,4
z0p36,pass4,23,1,0.23,0.24,0.235,0.087266463,0.17453293,0.13089969,0,0,0,72,4,4
z0p36,pass4,24,1,0.24,0.25,0.245,0.087266463,0.17453293,0.13089969,0,0,0,72,4,4
z0p36,pass4,25,1,0.25,0.26,0.255,0.087266463,0.17453293,0.13089969,0,0,0,72,4,4
z0p36,pass4,26,1,0.26,0.27,0.265,0.087266463,0.17453293,0.13089969,1,1,0,72,4,4
z0p36,pass4,27,1,0.27,0.28,0.275,0.087266463,0.17453293,0.13089969,0,0,0,72,4,4
z0p36,pass4,28,1,0.28,0.29,0.285,0.087266463,0.17453293,0.13089969,0,0,0,72,4,4
z0p36,pass4,29,1,0.29,0.3,0.295,0.087266463,0.17453293,0.13089969,0,0,0,72,4,4
z0p36,pass4,30,1,0.3,0.31,0.305,0.087266463,0.17453293,0.13089969,0,0,0,72,4,4
z0p36,pass4,31,1,0.31,0.32,0.315,0.087266463,0.17453293,0.13089969,0,0,0,72,4,4
z0p36,pass4,32,1,0.32,0.33,0.325,0.087266463,0.17453293,0.13089969,0,0,0,72,4,4
z0p36,pass4,33,1,0.33,0.34,0.335,0.087266463,0.17453293,0.13089969,0,0,0,72,4,4
z0p36,pass4,34,1,0.34,0.35,0.345,0.087266463,0.17453293,0.13089969,0,0,0,72,4,4
z0p36,pass4,35,1,0.35,0.36,0.355,0.087266463,0.17453293,0.13089969,0,0,0,72,4,4
z0p36,pass4,36,1,0.36,0.37,0.365,0.087266463,0.17453293,0.13089969,0,0,0,72,4,4
z0p36,pass4,37,1,0.37,0.38,0.375,0.087266463,0.17453293,0.13089969,0,0,0,72,4,4
z0p36,pass4,38,1,0.38,0.39,0.385,0.087266463,0.17453293,0.13089969,0,0,0,72,4,4
z0p36,pass4,39,1,0.39,0.4,0.395,0.087266463,0.17453293,0.13089969,0,0,0,72,4,4
z0p36,pass4,40,1,0.4,0.41,0.405,0.087266463,0.17453293,0.13089969,0,0,0,72,4,4
z0p36,pass4,41,1,0.41,0.42,0.415,0.087266463,0.17453293,0.13089969,0.75,1,0.25,72,4,4
z0p36,pass4,42,1,0.42,0.43,0.425,0.087266463,0.17453293,0.13089969,0,0,0,72,4,4
z0p36,pass4,43,1,0.43,0.44,0.435,0.087266463,0.17453293,0.13089969,0,0,0,72,4,4
z0p36,pass4,44,1,0.44,0.45,0.445,0.087266463,0.17453293,0.13089969,0,0,0,72,4,4
z0p36,pass4,45,1,0.45,0.46,0.455,0.087266463,0.17453293,0.13089969,0,0,0,72,4,4
